date,open,high,low,last,close,vol,count,value
20140309,1343.52,1348,1344,1347.98,1346.20,15000,2,22625000.00
20140317,1356.91,1357,1357,1356.91,1356.91,5000,1,7600000.00
20140406,1073.03,1073,1071,1071.24,1072.14,15000,2,18020000.00
20140419,1089.10,1089,1089,1089.10,1089.10,1618,1,1973960.00
20140427,902.52,903,903,902.52,902.52,15000,1,15165000.00
20140505,981.97,982,938,938.23,979.30,16000,4,17551000.00
20140510,1070.35,1070,982,981.97,983.76,11376,16,12531260.00
20140608,914.13,914,914,914.13,914.13,15000,1,15360000.00
20140611,919.48,919,911,910.56,915.91,15000,2,15396000.00
20140615,910.56,911,911,910.56,910.56,15000,1,15300000.00
20140621,910.56,911,911,910.56,910.56,38924,4,39702480.00
20140623,919.48,919,919,919.48,919.48,4000,1,4120000.00
20140630,924.84,925,925,924.84,924.84,31500,3,32634000.00
20140705,1071.24,1071,937,937.34,997.15,45000,6,50250000.00
20140706,941.80,942,942,941.80,941.80,8300,1,8756500.00
20140708,1071.24,1071,1071,1071.24,1071.24,12000,1,14400000.00
20140713,1133.73,1134,1116,1133.73,1131.95,36700,4,46525000.00
20140721,1133.73,1134,1134,1133.73,1133.73,15000,1,19050000.00
20140802,981.97,983,956,956.09,979.30,15000,3,16454100.00
20140805,1021.25,1021,956,956.09,966.80,30000,4,32499000.00
20140811,956.09,956,956,956.09,956.09,9400,2,10067400.00
20140816,910.56,911,911,910.56,910.56,15000,1,15300000.00
20140817,910.56,937,911,937.34,916.81,20000,2,20550000.00
20140819,910.56,911,911,910.56,910.56,20000,1,20400000.00
20140910,892.70,955,893,955.19,898.95,9360,5,9430000.00
20140915,901.63,902,902,901.63,901.63,15000,1,15150000.00
20140917,821.29,821,821,821.29,821.29,990,1,910800.00
20140927,714.16,714,714,714.16,714.16,7000,1,5600000.00
20141008,669.53,670,670,669.53,669.53,15000,1,11250000.00
20141014,821.29,821,821,821.29,821.29,12000,1,11040000.00
20141015,714.16,714,714,714.16,714.16,5000,1,4000000.00
20141027,715.95,716,716,715.95,715.95,15000,1,12030000.00
20141028,715.95,716,716,715.95,715.95,15000,1,12030000.00
20141101,892.70,893,893,892.70,892.70,35000,3,35000000.00
20141102,892.70,902,893,901.63,897.17,29000,2,29150000.00
20141110,892.70,893,893,892.70,892.70,21000,3,21000000.00
20141112,892.70,893,893,892.70,892.70,29000,2,29000000.00
20141118,892.70,893,803,803.43,870.39,19927,2,19427000.00
20141124,892.70,893,893,892.70,892.70,978,1,978000.00
20141203,678.45,678,678,678.45,678.45,15000,1,11400000.00
20141210,670.42,670,670,670.42,670.42,15000,1,11265000.00
20141230,669.53,670,670,669.53,669.53,12000,1,9000000.00
20150216,669.53,680,670,680.24,673.99,27000,2,20394000.00
20150221,598.11,598,598,598.11,598.11,1000,1,670000.00
20150303,630.25,630,630,630.25,630.25,4600,1,3247600.00
20150308,632.03,632,632,632.03,632.03,3000,1,2124000.00
20150310,632.03,632,632,632.03,632.03,15000,1,10620000.00
20150314,634.71,635,635,634.71,634.71,35000,1,24885000.00
20150404,892.70,893,893,892.70,892.70,4022,1,4022000.00
20150406,981.97,982,982,981.97,981.97,4000,1,4400000.00
20150418,892.70,893,893,892.70,892.70,15000,1,15000000.00
20150511,643.64,644,644,643.64,643.64,15000,1,10815000.00
20150531,643.64,644,636,635.60,636.50,15000,2,10689090.00
20150613,635.60,636,636,635.60,635.60,15000,1,10680000.00
20150714,673.31,673,673,673.31,673.31,1000,1,750000.00
20150715,718.20,808,718,807.97,783.73,30000,4,26200000.00
20150720,718.20,718,718,718.20,718.20,15000,2,12000000.00
20150801,718.20,718,718,718.20,718.20,15000,1,12000000.00
20150812,700.24,700,700,700.24,700.24,14000,2,10920000.00
20150818,700.24,700,700,700.24,700.24,1000,1,780000.00
20150819,700.24,718,700,718.20,710.12,19000,2,15020000.00
20150906,718.20,718,718,718.20,718.20,1200,1,960000.00
20151014,584.43,584,584,584.43,584.43,29500,6,19194500.00
20151021,584.43,584,584,584.43,584.43,573,1,373023.00
20151117,628.42,628,628,628.42,628.42,15000,1,10500000.00
20151213,628.42,628,628,628.42,628.42,30000,2,21000000.00
20151223,557.50,584,558,583.54,579.05,18000,2,11613000.00
20160113,565.58,566,566,565.58,565.58,15000,1,9450000.00
20160116,619.45,619,619,619.45,619.45,15000,1,10350000.00
20160117,637.40,637,637,637.40,637.40,13000,1,9230000.00
20160125,706.53,718,707,718.20,714.61,52000,4,41408400.00
20160126,727.18,727,727,727.18,727.18,5000,1,4050000.00
20160201,727.18,727,727,727.18,727.18,15000,1,12150000.00
20160214,727.18,727,727,727.18,727.18,12000,1,9720000.00
20160413,628.42,628,628,628.42,628.42,30000,2,21000000.00
20160416,628.42,628,628,628.42,628.42,2000,1,1400000.00
20160418,628.42,628,628,628.42,628.42,15000,1,10500000.00
20160608,628.42,628,628,628.42,628.42,15000,1,10500000.00
20160611,628.42,628,628,628.42,628.42,1250,1,875000.00
20160615,629.32,629,629,629.32,629.32,15000,1,10515000.00
20160807,571.37,571,571,571.37,571.37,3000,1,1893000.00
20160817,580.42,580,580,580.42,580.42,700,1,448700.00
20160821,579.52,580,580,579.52,579.52,15000,1,9600000.00
20160906,607.59,608,583,583.14,584.95,16000,5,10338000.00
20160910,584.95,585,585,584.95,584.95,3000,1,1938000.00
20161001,584.95,585,585,584.95,584.95,11000,2,7106000.00
20161008,543.30,544,543,544.20,543.30,4000,2,2401000.00
20161017,546.92,547,544,544.20,545.11,15000,4,9027000.00
20161114,544.20,544,543,543.30,543.30,14927,3,8960000.00
20161227,563.22,563,562,562.31,563.22,2685,2,1669070.00
20170102,588.57,589,589,588.57,588.57,3000,1,1950000.00
20170104,554.16,589,543,588.57,550.54,16200,6,9843000.00
