date,open,high,low,last,close,vol,count,value
20210511,16000.00,16000.00,15520.00,15520.00,15890.00,1293792,557,20296654740.00
20210512,15420.00,15860.00,15420.00,15420.00,15780.00,975274,305,15060157660.00
20210515,15000.00,15700.00,15000.00,15000.00,15380.00,2820534,783,42611433220.00
20210516,14700.00,15340.00,14620.00,14900.00,15190.00,2065433,585,30832117560.00
20210517,14450.00,15300.00,14450.00,14520.00,15060.00,1405711,470,20742261340.00
20210518,14350.00,15300.00,14310.00,14760.00,15000.00,1332674,438,19775701630.00
20210519,15000.00,15140.00,14250.00,14280.00,14870.00,857264,279,12241247950.00
20210522,14130.00,14140.00,14130.00,14130.00,14520.00,2243748,188,31704163260.00
20210523,13800.00,13810.00,13800.00,13800.00,14290.00,1516191,198,20923546850.00
20210524,13590.00,14800.00,13580.00,13950.00,14190.00,1174716,327,16309535710.00
20210525,14190.00,14250.00,13490.00,13720.00,14130.00,785760,329,10885920980.00
20210526,13550.00,14080.00,13430.00,13500.00,13930.00,1770220,455,24053726000.00
20210529,13500.00,14400.00,13430.00,14200.00,13980.00,6390965,1168,89315421190.00
20210530,14100.00,14670.00,14000.00,14280.00,14160.00,1838035,619,26577870420.00
20210531,13920.00,14550.00,13800.00,13860.00,14150.00,950620,332,13421867450.00
20210601,14160.00,14160.00,13640.00,13840.00,14130.00,342714,200,4743241120.00
20210602,13560.00,14200.00,13560.00,13930.00,14100.00,776353,357,10820847540.00
20210607,14000.00,14300.00,13810.00,14110.00,14090.00,917911,392,12897712580.00
20210608,14200.00,14200.00,13510.00,13710.00,14020.00,1467339,405,20338374040.00
20210609,13500.00,13880.00,13500.00,13690.00,13930.00,982966,401,13363178670.00
20210612,13500.00,13870.00,13450.00,13490.00,13830.00,1294892,357,17546290640.00
20210613,13450.00,13500.00,13200.00,13500.00,13690.00,1446012,365,19338133080.00
20210614,13350.00,14120.00,13350.00,14000.00,13740.00,3522953,544,48491264600.00
20210615,14000.00,14200.00,13750.00,13880.00,13800.00,1481094,376,20650725820.00
20210616,13800.00,14140.00,13500.00,13750.00,13770.00,971631,266,13259256470.00
20210619,13570.00,14080.00,13570.00,13750.00,13770.00,569576,223,7839113130.00
20210620,13800.00,14000.00,13200.00,13300.00,13710.00,1771674,392,24112384930.00
20210621,13600.00,14000.00,13310.00,13690.00,13700.00,1624993,446,22220673190.00
20210622,13710.00,14000.00,13710.00,13950.00,13730.00,1054897,289,14613246250.00
20210623,14000.00,14170.00,13690.00,14080.00,13820.00,1695324,464,23713592380.00
20210626,14150.00,14440.00,13900.00,14100.00,13950.00,1518290,565,21616868010.00
20210627,14200.00,14640.00,14150.00,14640.00,14630.00,9489162,1082,138822422850.00
20210628,15280.00,15360.00,14850.00,15360.00,15340.00,13323883,1159,204388848820.00
20210629,15690.00,15800.00,15130.00,15400.00,15470.00,5721603,1223,88526362350.00
20210630,15400.00,15900.00,15310.00,15500.00,15530.00,3554924,818,55292911260.00
20210703,15650.00,15650.00,15000.00,15170.00,15330.00,2655173,616,40275115100.00
20210704,15150.00,15560.00,14800.00,15500.00,15340.00,1596198,475,24540134170.00
20210705,14990.00,15650.00,14990.00,15300.00,15380.00,2461787,520,37958416280.00
20210706,15500.00,16140.00,15120.00,16140.00,16130.00,16683253,714,269158555620.00
20210707,16800.00,16930.00,16310.00,16720.00,16840.00,23556896,2843,396807548380.00
20210710,16900.00,17130.00,16320.00,17040.00,16830.00,5689502,1299,95744232140.00
20210711,17200.00,17670.00,16420.00,17670.00,17630.00,19879098,2171,350488073270.00
20210712,18430.00,18510.00,17790.00,18510.00,18440.00,16156421,2652,297948821090.00
20210713,18530.00,19220.00,17650.00,17690.00,18050.00,12540816,2631,226299916970.00
20210714,17800.00,18100.00,17410.00,17600.00,17710.00,4324478,1351,76422512280.00
20210717,17700.00,18420.00,17600.00,18240.00,18190.00,9535853,2015,173469741910.00
20210727,16750.00,17240.00,16720.00,16890.00,17170.00,925035,98,15612371740.00
20210728,16800.00,18020.00,16520.00,17550.00,17760.00,7720703,1581,137118764370.00
