date,open,high,low,last,close,vol,count,value
20110227,850.38,850,850,850.38,850.38,3968600,621,6548190000.00
20110228,892.64,893,893,892.64,892.64,150,1,259800.00
20110301,936.96,937,937,936.96,936.96,31401,8,57087018.00
20110302,983.35,983,983,983.35,983.35,223006,49,425495448.00
20110305,1032.31,1032,1032,1032.31,1032.31,1244231,247,2492194693.00
20110306,1083.85,1084,1084,1083.85,1083.85,1167210,257,2454642630.00
20110307,1137.96,1138,1138,1137.96,1137.96,1548652,201,3419423616.00
20110308,1194.65,1195,1195,1194.65,1194.65,9429,15,21856422.00
20110309,1253.92,1254,1254,1253.92,1253.92,202121,56,491760393.00
20110312,1316.28,1316,1316,1316.28,1316.28,2660,13,6793640.00
20110313,1381.74,1382,1382,1381.74,1381.74,42160,28,113030960.00
20110314,1450.80,1451,1451,1450.80,1450.80,986835,252,2777940525.00
20110315,1522.95,1523,1523,1522.95,1522.95,1438940,1217,4252067700.00
20110316,1598.71,1599,1599,1598.71,1598.71,6461557,4974,20043749814.00
20110319,1678.60,1679,1679,1678.60,1678.60,1803934,1073,5875413038.00
20110326,1762.09,1762,1762,1762.09,1762.09,781247,640,2671083493.00
20110327,1849.70,1850,1850,1849.70,1849.70,1819642,1357,6530695138.00
20110328,1941.96,1942,1942,1941.96,1941.96,184090,156,693651120.00
20110329,2038.85,2039,2039,2038.85,2038.85,259480,202,1026502880.00
20110330,2140.38,2140,2140,2140.38,2140.38,201103,171,835180759.00
20110403,2247.06,2247,2247,2247.06,2247.06,1041223,1645,4539732280.00
20110404,2359.42,2359,2359,2359.42,2359.42,3880074,3355,17762978772.00
20110405,2422.29,2448,2242,2247.58,2305.82,12618341,12831,56459988109.00
20110416,2190.89,2191,2191,2190.89,2190.89,24044,17,102211044.00
20110417,2081.63,2082,2082,2081.63,2081.63,39295,18,158712505.00
20110418,1978.03,1978,1978,1978.03,1978.03,56428,25,216570664.00
20110419,1879.60,1880,1880,1879.60,1879.60,1271362,343,4636657214.00
20110420,1785.80,1786,1786,1785.80,1785.80,124870,45,432674550.00
20110423,1696.64,1697,1697,1696.64,1696.64,265610,71,874388120.00
20110424,1612.11,1612,1612,1612.11,1612.11,4099,4,12821672.00
20110425,1531.71,1532,1532,1531.71,1531.71,28080,13,83453760.00
20110426,1455.44,1532,1455,1484.30,1468.32,8438496,3703,24042984647.00
20110427,1504.91,1542,1422,1525.53,1508.52,3942248,1619,11537370652.00
20110430,1494.61,1495,1433,1433.28,1456.47,292072,86,825346568.00
20110501,1383.80,1464,1384,1463.68,1404.93,2527083,977,6888018795.00
20110502,1475.02,1475,1475,1475.02,1475.02,40909,21,117081558.00
