date,open,high,low,last,close,vol,count,value
20131225,280.46,280,280,280.46,280.46,50,1,50000.00
20140129,673.10,673,673,673.10,673.10,11408,1,27379200.00
20140217,701.42,701,701,701.42,701.42,810,1,2025810.00
20140218,701.70,702,702,701.70,701.70,1000,1,2502000.00
20140223,701.98,702,702,701.98,701.98,1000,1,2503000.00
20140226,702.54,703,702,702.26,702.26,2833,3,7094832.00
20140302,702.54,785,703,785.28,775.46,6810,2,18829050.00
20140329,702.54,785,703,702.54,764.24,18687,5,50930935.00
20140407,703.95,704,704,703.95,703.95,240,1,602400.00
20140408,703.95,704,704,703.95,703.95,26411,1,66291610.00
20140519,705.07,705,705,705.07,705.07,12000,1,30168000.00
20140625,716.57,717,717,716.57,716.57,7800,1,19929000.00
20140630,716.85,717,717,717.13,716.85,10000,2,25563000.00
20140720,841.37,841,841,841.37,841.37,1666,2,4998000.00
20140727,864.71,865,865,864.71,864.71,24737,1,74235737.00
20140802,864.71,865,865,864.71,864.71,2000,1,6002000.00
20140804,864.71,865,735,734.76,834.17,4241,2,12276241.00
20140819,864.42,879,726,864.42,869.32,36106,10,108919986.00
20140831,864.42,864,864,864.42,864.42,7980,6,23940000.00
20140906,864.42,864,864,864.42,864.42,4210,2,12630000.00
20140908,950.86,951,951,950.86,950.86,3000,1,9900000.00
20140913,922.05,922,922,922.05,922.05,416,6,1331200.00
20140914,864.42,864,864,864.42,864.42,400,1,1200000.00
20140920,864.42,864,864,864.42,864.42,5332,4,15996000.00
20140922,864.42,864,864,864.42,864.42,3006,1,9018000.00
20140923,864.42,1037,864,1037.31,993.51,1097,2,3783000.00
20140929,1008.49,1153,1008,1152.56,1090.90,5996,3,22703000.00
20141004,896.41,896,896,896.41,896.41,100,1,311100.00
20141015,896.41,896,896,896.41,896.41,2998,1,9326778.00
20141028,1011.66,1012,896,896.41,920.03,1388,2,4431668.00
20141112,922.05,922,922,922.05,922.05,34822,2,111430400.00
20141119,922.05,922,922,922.05,922.05,485,1,1552000.00
20141125,922.05,1239,922,1152.56,1159.48,5582,3,22462400.00
20141210,922.05,922,922,922.05,922.05,100,1,320000.00
20141215,922.05,922,922,922.05,922.05,542,3,1734400.00
20141217,922.05,922,896,896.41,899.00,2928,2,9134907.00
20141227,893.24,893,893,893.24,893.24,9998,1,30993800.00
20141229,896.41,896,896,896.41,896.41,450,1,1399950.00
20150218,896.41,1153,896,1152.56,1024.34,2000,2,7111000.00
20150301,1024.34,1024,1024,1024.34,1024.34,4200,1,14931000.00
20150314,337.12,337,337,337.12,337.12,73,1,85410.00
20150415,864.42,864,864,864.42,864.42,10500,1,31500000.00
20150418,864.42,864,864,864.42,864.42,3124,1,9372000.00
20150419,864.42,864,864,864.42,864.42,6530,1,19590000.00
