date,open,high,low,last,close,vol,count,value
20210623,32500.00,32500,32500,32500.00,32500.00,25999923,2749900,844997497500.00
20210626,34125.00,34125,34125,34125.00,34125.00,763512,17626,26054847000.00
20210627,35831.00,35831,35831,35831.00,35831.00,1285514,17474,46061252134.00
20210628,37622.00,37622,37622,37622.00,37622.00,835160,24990,31420389520.00
20210629,39503.00,39503,39503,39503.00,39503.00,905123,32471,35755073869.00
20210630,41478.00,41478,41478,41478.00,41478.00,961351,35366,39874916778.00
20210703,43551.00,43551,43551,43551.00,43551.00,1195544,59703,52067136744.00
20210704,45728.00,45728,45728,45728.00,45728.00,1245576,59949,56957699328.00
20210705,48014.00,48014,48014,48014.00,48014.00,1296675,72217,62258553450.00
20210706,50414.00,50414,50414,50414.00,50414.00,861825,21010,43448045550.00
20210710,52934.00,52934,52934,52934.00,52934.00,1848855,83587,97867290570.00
20210711,55580.00,55580,55580,55580.00,55580.00,1703826,66170,94698649080.00
20210712,58359.00,58359,58359,58359.00,58359.00,1514773,61331,88400637507.00
20210713,61276.00,61276,61276,61276.00,61276.00,1535787,61764,94106884212.00
20210714,64339.00,64339,64339,64339.00,64339.00,2050381,110138,131919463159.00
20210717,67555.00,67555,66700,67555.00,67539.00,28291510,246912,1910787507940.00
20210718,67900.00,67980,64163,64163.00,65648.00,7390702,176701,485181911588.00
20210719,63500.00,68410,62366,67508.00,65636.00,14222269,158463,933488541809.00
20210726,67500.00,68250,62355,62355.00,63787.00,6077402,35723,387659781547.00
20210727,62300.00,62355,60598,60598.00,60911.00,2693200,23023,164045472017.00
20210728,58001.00,60500,57866,57866.00,58205.00,5467935,62920,318259974404.00
20210731,57800.00,61115.00,56100.00,61115.00,60375.00,5742085,32730,346677981558.00
