date,open,high,low,last,close,vol,count,value
20120709,118.61,119,67,67.48,67.54,143576591,3513,189670545907.00
20120710,70.19,70,70,70.19,70.19,2553788,279,3506350924.00
20120711,72.95,73,70,70.40,72.34,102023874,7457,144355889442.00
20120714,69.68,71,69,69.53,69.48,29872784,2557,40604846046.00
20120715,68.61,69,68,68.00,69.43,82141481,874,111511850214.00
20120716,68.51,69,68,67.64,68.66,79400442,433,106615871336.00
20120717,68.40,68,66,67.48,67.89,48489638,294,64410023856.00
20120718,67.89,69,67,67.54,67.79,1714540,284,2272702894.00
20120721,66.97,68,67,67.54,67.48,596788,112,787695391.00
20120722,67.48,68,66,67.48,67.48,5435296,307,7173276960.00
20120723,67.48,68,67,66.51,67.48,3108385,225,4101983702.00
20120724,66.56,67,65,65.44,66.21,1432912,199,1855528806.00
20120725,66.46,66,65,65.44,65.75,292149,69,372911411.00
20120728,63.65,66,63,63.14,63.19,3167340,290,3916062871.00
20120729,62.88,63,61,60.68,60.74,2768820,244,3287974610.00
20120730,61.20,62,60,61.35,60.99,728679,89,869312115.00
20120731,61.35,63,61,61.35,61.91,444483,62,541178026.00
20120801,61.86,62,61,60.84,61.96,633019,64,767179314.00
20120804,61.35,61,60,59.51,59.51,641352,69,746551800.00
20120805,57.26,61,57,58.49,60.02,1863799,182,2187470978.00
20120806,59.30,60,58,57.67,57.87,1105424,93,1251696667.00
20120807,57.67,59,56,56.08,59.30,54324022,79,62990450200.00
20120808,57.57,59,57,57.21,57.92,1764009,129,1997825230.00
20120811,58.74,59,57,58.28,58.08,415472,52,472382143.00
20120812,58.18,58,57,56.75,57.00,603255,26,672358602.00
20120813,55.88,56,56,56.29,56.70,211578,30,232383860.00
20120814,57.98,58,56,57.77,57.16,568995,73,636525518.00
20120815,58.23,59,57,56.75,57.36,315596,36,355468289.00
20120818,58.74,59,56,56.39,57.26,65936,15,72615586.00
20120821,55.93,57,56,56.29,56.95,223040,46,246045789.00
20120822,57.77,58,56,58.13,57.05,544263,58,607467956.00
