date,open,high,low,last,close,vol,count,value
20190713,6858.59,6859,6859,6858.59,6858.59,311419200,581693,9731850000000.00
20190714,7201.41,7201,7201,7201.41,7201.41,434364,1254,14252351568.00
20190715,7561.35,7561,7561,7561.35,7561.35,954438,2491,32882297976.00
20190716,7939.28,7939,7183,7939.28,7938.18,84339091,174190,3050475936375.00
20190717,7970.23,8335,7541,8241.50,8138.34,29523727,59994,1094771498693.00
20190720,8318.09,8340,8121,8308.22,8265.20,37314859,95999,1405251744850.00
20190727,8923.31,9151,8679,8936.57,8906.07,29768929,52863,999484183045.00
20190728,8925.70,8926,8542,8727.02,8699.70,20427597,46503,669969109740.00
20190729,8559.90,8754,8489,8700.76,8595.98,12099255,26025,392085589846.00
20190730,8626.22,8886,8626,8836.04,8784.05,8015598,16193,265438642538.00
20190731,8835.77,9223,8836,9223.05,9153.55,12556920,20337,433318147055.00
20190803,9284.06,9546,9223,9340.30,9371.33,10527198,18452,371914747558.00
20190804,9372.39,9374,9072,9175.30,9218.81,12079759,19529,419814686098.00
20190805,9151.43,9151,8954,9063.90,9005.54,9576325,16890,325116546736.00
20190806,8935.25,9125,8840,8992.28,8916.94,7846883,15499,263777992145.00
20190807,8886.97,8979,8837,8851.95,8865.48,5871238,14651,196227584216.00
20190810,8832.32,8832,8714,8785.37,8733.65,7407129,23283,243878528996.00
20190811,8727.02,9019,8698,8912.70,8850.89,4764456,10903,158974542694.00
20190813,8851.69,8859,8754,8785.11,8779.54,5495102,11005,181876010319.00
20190814,8768.40,8940,8768,8867.60,8836.57,5834904,10702,194380328473.00
20190817,8833.65,8836,8720,8743.20,8749.56,5508897,11780,181708444918.00
20190818,8716.94,8726,8621,8666.01,8678.47,5722335,11986,187217961084.00
20190819,8628.87,8666,8611,8650.89,8626.75,4770491,16013,155144173459.00
20190821,8631.52,8860,8631,8764.15,8727.28,4481194,8982,147435850448.00
20190824,8754.34,9019,8707,9018.80,8763.89,7511714,12734,248182239473.00
20190825,8885.91,8912,8723,8806.59,8791.74,4460916,7630,147851298064.00
20190827,8801.29,9078,8754,8756.20,8902.88,5489901,8362,184259606483.00
20190828,8727.02,8886,8657,8746.65,8740.55,4825932,7666,159020883726.00
20190831,8754.87,8886,8714,8737.36,8759.11,5746848,9865,189767341768.00
20190901,8737.63,8819,8729,8761.50,8758.05,4322324,7918,142709820475.00
20190902,8753.81,8765,8738,8758.85,8752.22,6515147,9521,214964202448.00
20190903,8740.28,8891,8740,8817.74,8808.45,3971306,8053,131875863339.00
20190904,8857.79,8858,8807,8850.36,8815.35,3924747,10124,130432864719.00
20190908,8939.22,9069,8939,8992.28,8989.09,5893075,8140,199705306197.00
20190911,8968.93,9052,8969,8994.13,8995.46,5606752,8788,190137863516.00
20190914,9013.50,9017,8926,8934.45,8971.59,7648553,10819,258691853701.00
20190915,8925.96,8939,8876,8915.35,8916.68,6598371,8368,221802901812.00
20190916,8991.48,9282,8940,9036.31,9041.88,6514124,9609,222049893731.00
20190917,9045.33,9151,8945,8951.16,9010.58,3212985,5468,109142561070.00
