date,open,high,low,last,close,vol,count,value
20190810,7589.80,7590,7590,7589.80,7589.80,67500000,600856,1248750000000.00
20190811,7969.29,7969,7969,7969.29,7969.29,50218,545,975484650.00
20190813,8367.65,8368,8368,8367.65,8367.65,116927,1149,2384843092.00
20190814,8785.70,8786,8786,8785.70,8785.70,172796,1662,3700426340.00
20190817,9224.68,9225,9225,9224.68,9224.68,370377,3469,8327926845.00
20190818,9685.81,9686,9686,9685.81,9685.81,306691,2966,7240667819.00
20190819,10169.92,10170,10170,10169.92,10169.92,649965,7517,16111982385.00
20190821,10678.23,10678,10678,10678.23,10678.23,445991,4003,11608253748.00
20190824,11211.98,11212,11212,11211.98,11211.98,727602,6793,19884635058.00
20190825,11772.39,11772,11772,11772.39,11772.39,296759,2706,8515499505.00
20190827,12360.70,12979,12361,12978.55,12948.19,10242062,74542,323245827294.00
20190828,12553.93,12718,12301,12677.01,12585.52,5849215,51124,179436673235.00
20190831,12631.88,12632,12308,12574.45,12628.19,3206410,18499,98696646936.00
20190901,12000.08,12012,11997,11996.80,11999.67,6142297,46283,179655217511.00
20190902,11491.77,11898,11400,11667.77,11550.85,14777638,108714,416057572812.00
20190903,11650.95,12128,11610,12128.08,12050.55,3809656,26521,111901332105.00
20190904,12471.88,12653,12332,12652.81,12594.96,4009970,22651,123104116990.00
20190907,12964.19,13225,12595,13224.71,13154.55,10297017,32863,330164516777.00
20190908,13292.40,13716,12907,13538.56,13350.66,8139646,28162,264879502778.00
20190911,13415.48,13867,13290,13382.66,13459.38,3870778,14837,126988524075.00
20190914,13414.66,13520,12924,13044.19,13133.63,5475482,22660,175284927171.00
20190915,12861.63,12882,12480,12650.34,12667.99,4629295,15620,142941785721.00
20190916,12677.01,12923,12431,12512.50,12647.88,3807486,10868,117381427044.00
20190917,12389.83,12513,12226,12303.68,12346.75,2401983,9376,72287411236.00
20190918,12049.31,12308,11730,12094.44,11819.16,4186256,10044,120603139631.00
20190921,11851.98,12410,11852,12409.93,12379.16,2297301,4877,69318270527.00
20190922,12878.04,12998,12787,12997.83,12945.32,2085053,4309,65791260392.00
20190923,13456.50,13538,13047,13130.76,13308.81,3564147,8795,115619699637.00
20190924,13136.91,13166,12645,12925.22,12898.14,3786228,12186,119035400815.00
20190925,12800.09,12952,12307,12943.68,12674.55,3206499,15207,99062348270.00
20190928,13307.99,13308,13251,13307.99,13303.48,1828886,3113,59305340396.00
20190929,13968.51,13969,13374,13968.51,13928.71,6920655,6483,234964057981.00
20190930,13948.82,14625,13949,14624.92,14486.67,2397005,2760,84639868520.00
20191001,15210.77,15211,14523,14810.36,15110.26,6425571,5853,236661525111.00
20191002,15052.41,15590,14355,14966.26,14928.92,3667538,5956,133456480633.00
20191005,14912.51,15358,14183,14182.66,14602.36,3890482,6666,138473871283.00
20191006,13872.51,14358,13873,13872.51,13906.15,3611390,4880,122411687181.00
20191007,13661.63,14564,13219,13219.37,13813.84,2756980,6483,92830686841.00
20191008,13251.78,13553,13123,13123.37,13228.81,1642903,3270,52975076238.00
20191009,12567.47,13073,12567,12882.14,12617.11,4942991,7144,152017961481.00
20191012,12931.78,13248,12932,13124.19,13110.25,2547661,4977,81412985751.00
20191013,13247.27,13765,12681,12718.04,13107.78,1737041,5012,55497689910.00
20191014,12922.76,12923,12453,12452.60,12464.91,1042192,1644,31664695230.00
20191015,12307.78,12308,11842,11841.72,11968.90,779921,1210,22753592209.00
20191016,11370.75,11692,11371,11370.75,11405.21,2903899,3734,80727804594.00
20191020,11401.11,11401,10835,10834.95,10939.15,663310,1016,17686628981.00
20191021,10392.28,11077,10392,10938.33,10582.64,2400750,3571,61928503380.00
20191022,11093.82,11111,10667,11111.46,11073.31,2344374,2502,63276830769.00
20191023,11273.92,11465,10667,11177.51,11024.49,1045118,3044,28084378093.00
20191026,11199.67,11200,10667,10994.95,10986.74,840668,2731,22513225809.00
