date,open,high,low,last,close,vol,count,value
20150408,647.83,648,648,647.83,647.83,749750000,35509,899700000000.00
20150411,680.22,680,680,680.22,680.22,40872964,2725,51499934640.00
20150412,714.23,714,714,714.23,714.23,20200815,1346,26725678245.00
20150413,749.86,750,750,749.86,749.86,25409675,1548,35294038575.00
20150414,787.11,787,787,787.11,787.11,37174235,2130,54200034630.00
20150415,825.98,826,826,825.98,825.98,32641058,1977,49940818740.00
20150418,825.98,867,796,867.01,839.48,428516964,72892,666461803989.00
20150419,881.04,881,881,881.04,881.04,33937508,1591,55386013056.00
20150420,924.77,925,925,924.77,924.77,34005636,1687,58251654468.00
20150421,970.66,971,971,970.66,970.66,100448789,4996,180606922622.00
20150422,944.75,966,923,935.57,935.57,187991175,25609,325750937268.00
20150425,936.65,956,936,935.57,937.73,48368336,4447,84009400841.00
20150426,937.73,939,891,891.30,922.61,50938300,3982,87030940995.00
20150427,876.73,877,877,876.73,876.73,24198111,1072,39297732264.00
20150428,833.00,833,833,833.00,833.00,1202350,114,1855226050.00
20150429,809.78,841,791,828.14,809.78,45104324,6269,67638724650.00
20150503,810.86,831,783,809.78,808.70,19285898,1761,28888918144.00
20150504,809.78,811,804,809.78,809.78,24257535,2107,36383729163.00
20150505,809.78,812,808,810.32,810.86,27197056,3597,40843701430.00
20150506,810.86,812,810,811.94,811.94,35281470,5523,53053389160.00
20150509,811.94,852,812,823.28,842.71,23447947,2755,36603386079.00
20150510,816.26,824,801,800.61,805.46,13215015,1200,19713485442.00
20150511,806.00,815,783,806.54,806.54,18061796,1544,26981188179.00
20150512,809.78,810,806,807.08,806.54,9905315,1484,14802468479.00
20150513,807.62,815,807,806.54,808.16,8284936,1608,12398891245.00
20150517,775.23,800,768,768.21,769.29,7933512,852,11306274284.00
20150518,756.34,780,756,770.37,770.91,9540610,2272,13623604322.00
20150519,774.69,780,775,777.93,777.93,5080106,563,7318900292.00
20150520,777.93,780,778,779.55,778.47,7295673,637,10522822301.00
20150523,780.63,781,777,781.17,778.47,16059045,1287,23158873092.00
20150524,779.55,787,778,780.09,779.01,6644447,534,9589897941.00
20150525,779.01,783,779,779.01,779.55,6481828,575,9358503369.00
20150526,779.55,781,780,779.55,779.55,8081800,1084,11673469321.00
20150527,780.09,781,780,780.09,779.55,6207401,3145,8965291292.00
20150530,780.09,781,779,780.63,779.55,6356221,661,9180110902.00
20150531,788.19,791,780,781.71,782.25,1363266,296,1975365097.00
20150601,788.19,791,782,782.79,784.41,5210403,352,7572549797.00
20150602,784.41,794,784,787.65,788.73,3078293,424,4498284347.00
20150606,807.62,808,794,804.38,797.91,1458068,171,2155429593.00
20150607,804.38,804,799,801.69,800.07,1637199,306,2426504558.00
20150608,803.84,804,800,801.69,801.69,4795222,764,7120435448.00
20150609,801.69,807,801,802.23,801.69,5733205,712,8516357678.00
20150610,801.69,815,802,815.18,804.92,3429034,546,5113073684.00
20150613,815.18,815,810,814.10,811.40,2445627,236,3674658910.00
20150614,811.40,818,811,817.34,814.64,2893264,326,4365532760.00
20150615,816.26,818,816,817.34,817.34,1573866,363,2382055164.00
20150616,817.88,818,817,817.88,817.88,2690171,447,4074891682.00
20150617,817.88,837,810,817.88,821.66,15368007,2386,23391680595.00
20150628,806.44,806,761,760.80,821.66,11700,4,16438800.00
20150629,745.04,802,745,782.53,805.36,1876627,280,2658731125.00
20150630,778.19,815,770,793.40,795.03,3232963,416,4679721984.00
20150701,798.29,805,772,773.29,789.60,1707748,246,2438165655.00
20150704,773.29,809,761,765.14,777.64,6043824,762,8646463684.00
20150705,762.43,783,744,744.49,760.80,3933798,816,5507324404.00
20150706,739.60,761,734,760.80,745.04,4164928,519,5710123192.00
20150707,747.75,782,748,781.99,779.27,1841496,194,2641566258.00
20150711,796.12,814,754,810.25,800.47,3135631,415,4619368100.00
20150712,798.84,825,793,793.40,812.42,3668721,363,5485501621.00
20150713,801.55,842,799,801.55,820.57,2982557,336,4502434569.00
20150714,802.10,829,780,798.84,793.40,2779497,325,4057380020.00
20150715,809.16,809,754,755.36,762.43,1334926,167,1873196955.00
20150720,745.04,754,734,741.78,740.69,1423909,147,1940284886.00
20150721,735.80,778,736,771.12,769.49,1881170,246,2663252051.00
20150722,772.21,786,756,759.17,765.69,1167985,112,1645118669.00
20150725,777.10,787,755,757.54,768.95,1827454,173,2586238672.00
20150726,758.08,769,744,749.93,753.19,1576767,167,2185218462.00
20150727,755.36,761,733,755.36,739.06,6981585,496,9496617817.00
20150728,755.36,766,737,739.60,751.56,2265976,192,3134658736.00
20150729,756.99,772,743,746.12,750.47,1360310,172,1879216201.00
20150801,759.17,759,731,733.62,735.80,1101111,190,1491003424.00
20150802,734.71,735,699,717.32,711.34,4494880,343,5881788569.00
20150803,717.87,718,687,698.85,698.85,3112229,200,4001492309.00
20150804,684.72,712,681,711.89,699.93,2586158,192,3329932267.00
20150805,717.32,722,704,706.45,715.15,1958528,159,2577757751.00
20150808,722.76,723,698,705.91,711.34,2197687,161,2877386403.00
20150809,706.45,717,685,684.72,701.02,1460356,143,1884050767.00
20150810,684.72,698,675,679.28,680.37,984601,131,1233168023.00
20150812,679.28,698,653,659.18,670.04,618851,145,763255521.00
20150815,659.18,659,647,649.39,651.02,1302830,162,1560767746.00
20150816,651.02,666,623,641.24,643.42,2030508,189,2404568366.00
20150817,646.13,658,620,642.87,635.26,1502107,170,1755841078.00
20150818,641.24,641,617,619.51,621.14,828363,110,946798851.00
20150819,624.94,635,599,617.33,615.70,1304674,143,1478528177.00
20150822,624.94,641,623,635.81,635.81,649155,133,759216691.00
20150823,631.46,648,625,637.44,640.16,461854,76,544273164.00
20150824,619.51,641,620,630.37,627.11,523579,56,604078171.00
20150825,635.81,643,596,596.14,614.61,2984274,337,3374043554.00
20150826,614.07,614,584,584.18,584.73,979452,125,1053927688.00
20150829,602.66,603,568,584.73,592.88,2404987,247,2623691939.00
20150830,576.03,592,564,564.62,566.79,1614019,181,1683525418.00
20150831,560.27,581,557,566.79,559.19,1018465,130,1048482607.00
20150901,573.31,575,562,562.99,570.60,963952,125,1012340777.00
20150902,575.49,587,571,585.27,577.66,693612,97,737062102.00
20150905,585.27,603,581,603.20,593.96,982643,151,1074051338.00
20150906,605.92,606,584,585.81,591.79,1117324,138,1216755994.00
20150907,581.47,597,566,581.47,582.01,601703,111,644158125.00
20150908,592.33,595,574,581.47,578.75,784199,93,835321117.00
20150909,591.25,591,571,580.92,573.86,447719,56,472701072.00
20150912,571.68,587,560,564.08,567.34,844153,97,881696885.00
20150913,560.27,565,550,552.12,554.84,919867,111,939231468.00
