date,open,high,low,last,close,vol,count,value
20010408,99.80,100,100,99.80,99.80,548,1,548000.00
20010428,99.80,100,100,99.80,99.80,84670,68,84670000.00
20010429,99.80,100,100,99.80,99.80,67078,22,67078000.00
20010430,99.80,100,100,99.80,99.80,280,1,280000.00
20010501,99.80,100,100,99.80,99.80,5642,2,5642000.00
20010506,99.80,100,100,99.80,99.80,1500,1,1500000.00
20010509,99.80,100,100,99.80,99.80,5000,2,5000000.00
20010512,99.80,100,100,99.80,99.80,24674,8,24674000.00
20010516,99.80,100,100,99.80,99.80,20000,12,20000000.00
20010519,99.80,100,100,99.80,99.80,2700,2,2700000.00
20010521,99.80,100,100,99.80,99.80,12324,7,12324000.00
20010523,100.80,101,101,100.80,100.80,26659,9,26925590.00
20010526,100.80,101,101,100.80,100.80,162,1,163620.00
20010528,100.80,101,101,100.80,100.80,3120,5,3151200.00
20010529,100.80,101,101,100.80,100.80,293,1,295930.00
20010530,100.80,101,101,100.80,100.80,3150,5,3181500.00
20010602,100.80,101,101,100.80,100.80,11919,5,12038190.00
20010603,100.80,101,101,100.80,100.80,13081,4,13211810.00
20010606,100.80,101,101,100.80,100.80,10996,10,11105474.00
20010609,100.80,101,100,100.80,100.80,26053,9,26282330.00
20011009,99.80,100,100,99.80,99.80,1000,3,1000000.00
20011020,99.80,101,100,100.80,100.80,35609,18,35709000.00
20011021,101.79,102,100,99.80,99.80,12020,4,12220400.00
20011022,99.80,100,100,99.80,99.80,35039,13,35059360.00
20011023,100.80,101,101,100.80,100.80,48198,17,48679980.00
20011024,100.90,101,101,100.80,100.80,8943086,34,9041446294.00
20011027,101.79,102,102,101.79,101.79,2140,2,2182800.00
20011028,102.79,103,103,102.79,102.79,1140,2,1174200.00
20011030,103.79,104,104,103.79,103.79,3326,7,3459040.00
20011031,104.79,105,105,104.79,104.79,1000,2,1050000.00
20011103,105.79,106,106,105.79,105.79,2114,2,2240840.00
20011104,106.78,107,107,106.78,106.78,1000,3,1070000.00
20011105,107.78,108,108,107.78,107.78,1000,2,1080000.00
20011106,108.78,109,109,108.78,108.78,1000,3,1090000.00
20011110,109.78,110,109,108.78,108.78,103224,29,113378060.00
20011111,108.78,109,108,108.78,108.78,23364,8,25451190.00
20011112,108.78,109,109,108.78,108.78,450,1,490500.00
20011113,108.98,109,109,108.78,108.78,11800,8,12872023.00
20011119,108.78,109,108,108.28,108.28,6475,8,7043735.00
20011201,108.28,108,108,108.28,108.28,5238,2,5683230.00
20011202,107.78,108,108,108.28,108.28,2257,5,2445845.00
20011203,108.18,108,108,108.18,108.18,1500,1,1626000.00
20011204,108.28,108,108,108.28,108.28,14239,3,15449315.00
20011205,108.28,108,108,108.28,108.28,118762,19,128843387.00
20011212,108.28,108,108,107.78,107.78,536,2,580060.00
20011215,107.78,108,108,108.28,108.28,56499,13,61148850.00
20011217,108.18,108,108,108.28,108.28,400,3,433734.00
20011218,107.98,108,108,107.98,107.98,110,1,119020.00
20011219,107.78,108,108,107.78,107.78,5000,1,5400000.00
20011222,107.68,108,108,107.68,107.68,10150,4,10951950.00
20011223,107.38,108,107,107.58,107.58,24000,7,25871614.00
20011225,107.08,108,107,108.28,108.28,175000,58,189181108.00
20011226,108.28,109,108,109.18,109.18,294879,51,321327626.00
20011230,110.18,110,110,110.18,110.18,2000,1,2208000.00
20011231,111.28,111,111,111.28,111.28,3420,3,3813300.00
20020101,112.37,112,112,112.37,112.37,30249,13,34060374.00
20020102,113.47,113,113,113.47,113.47,1524,2,1732788.00
20020106,114.57,115,115,114.57,114.57,1399,4,1606052.00
20020107,115.67,116,116,115.67,115.67,1000,1,1159000.00
20020112,116.76,117,117,116.76,116.76,1000,1,1170000.00
20020115,117.86,118,118,117.86,117.86,1000,1,1181000.00
20020116,118.96,119,119,118.96,118.96,1000,2,1192000.00
20020119,120.06,120,120,120.06,120.06,1000,2,1203000.00
20020120,121.26,121,121,121.26,121.26,500,2,607500.00
20020121,122.45,122,122,122.45,122.45,1000,2,1227000.00
20020122,123.65,124,124,123.65,123.65,1000,2,1239000.00
20020123,124.85,125,125,124.85,124.85,44500,15,55669500.00
20020126,126.05,126,126,126.05,126.05,1000,1,1263000.00
20020127,127.24,127,127,127.24,127.24,5000,8,6375000.00
20020128,128.44,128,128,128.44,128.44,40824,12,52540488.00
20020129,129.64,130,130,129.64,129.64,24940,7,32397060.00
20020130,130.84,131,131,130.84,130.84,1124,2,1473564.00
20020202,132.13,132,132,132.13,132.13,1000,1,1324000.00
20020205,133.43,133,133,133.43,133.43,100,1,133700.00
20020206,134.73,135,135,134.73,134.73,100,1,135000.00
20020209,136.03,136,136,136.03,136.03,150,1,204450.00
20020210,137.32,137,137,137.32,137.32,5850,3,8049600.00
20021229,109.78,110,110,109.78,109.78,1000,1,1100000.00
20030119,104.89,105,105,104.79,104.79,3000,3,3152000.00
20030120,99.80,100,100,99.80,99.80,3000,3,3000000.00
20030125,94.81,100,95,99.80,99.80,81865,25,77821750.00
20030129,94.81,100,95,99.80,99.80,41000,14,39212350.00
20030202,98.80,99,99,98.80,98.80,20,1,19800.00
20030203,98.40,98,98,98.40,98.40,7408,4,7304288.00
20030204,94.81,95,94,94.81,94.81,83966,17,79667700.00
20030205,90.22,90,90,90.12,90.12,22024,10,19897672.00
20030208,89.82,95,90,94.51,94.51,38216,12,34723380.00
20030209,94.81,95,90,90.12,90.12,13889,2,12724550.00
20030210,90.22,90,90,90.12,90.12,5715,2,5160836.00
20030218,94.61,95,95,94.61,94.61,2000,1,1896000.00
20030219,90.82,91,91,90.82,90.82,2241,1,2039310.00
20030223,90.82,91,91,90.82,90.82,1000,1,910000.00
20030224,90.82,91,91,90.82,90.82,116,1,105560.00
20030225,90.82,91,91,90.82,90.82,1000,1,910000.00
20030226,94.11,94,94,94.21,94.21,8068,8,7614492.00
20030301,94.21,94,94,94.41,94.41,3000,2,2834000.00
20030302,94.51,95,95,94.51,94.51,1140,1,1079580.00
20030303,94.81,99,95,98.80,98.80,2200,2,2170000.00
20030305,98.80,99,99,98.80,98.80,60,2,59400.00
20030309,98.20,99,98,98.80,98.80,16000,11,15799344.00
20030310,99.80,100,99,98.80,98.80,5000,2,4967360.00
20030312,99.70,100,100,99.70,99.70,662668,1,662005332.00
20030318,95.81,96,96,95.81,95.81,311,1,298560.00
20030330,99.70,100,100,99.70,99.70,15000,5,14987736.00
20030331,95.91,96,96,95.81,95.81,14695,6,14116200.00
20030405,94.81,100,95,99.70,99.70,5275,3,5060850.00
20030406,99.70,100,100,99.80,99.80,1064,2,1063000.00
20030407,95.21,100,95,99.80,99.80,8000,4,7767050.00
20030408,99.80,100,100,99.80,99.80,1000,1,1000000.00
20030409,99.80,100,100,99.70,99.70,5500,2,5495040.00
20030412,99.70,100,100,99.80,99.80,1100,3,1099000.00
20030413,99.80,100,100,99.80,99.80,1000,1,1000000.00
20030414,95.21,100,95,99.80,99.80,3255,3,3151270.00
20030415,99.70,100,100,99.80,99.80,20000,7,19992024.00
20030416,99.80,100,100,99.80,99.80,1000,1,1000000.00
20030420,99.70,100,95,99.70,99.70,19497,14,18809790.00
20030426,99.70,100,100,99.80,99.80,3400,3,3399884.00
20030428,99.80,100,100,99.80,99.80,10000,3,10000000.00
20030429,99.80,100,100,99.80,99.80,36891,22,36891000.00
20030504,99.90,100,100,99.90,99.90,13069,10,13082069.00
20030505,100.20,103,100,102.59,102.59,34372,7,34620800.00
20030506,107.68,108,108,107.68,107.68,5000,1,5395000.00
20030507,112.97,113,113,112.97,112.97,6374,3,7215368.00
20030512,112.77,113,113,112.77,112.77,4119,4,4653210.00
20030513,113.27,113,113,113.27,113.27,4000,2,4540000.00
20030514,113.07,114,113,113.77,113.77,2185,6,2482605.00
20030517,113.87,114,114,113.87,113.87,870,1,992670.00
20030518,113.77,115,114,114.77,114.77,6000,4,6850000.00
20030521,118.56,119,119,118.56,118.56,4000,1,4752000.00
20030524,112.67,124,113,124.45,124.45,12294,4,15036560.00
20030525,124.75,125,125,124.75,124.75,1000,1,1250000.00
20030526,124.75,125,125,124.75,124.75,116,1,145000.00
20030527,124.75,125,125,124.75,124.75,1884,1,2355000.00
20030528,124.75,125,125,124.75,124.75,4116,1,5145000.00
20030531,118.56,125,119,124.75,124.75,2000,2,2438000.00
20030601,124.75,125,125,124.75,124.75,1000,1,1250000.00
20050830,99.90,120,100,100.30,100.30,382000,40,384289805.00
20050831,105.29,105,105,105.29,105.29,40000,14,42200000.00
20050903,110.48,110,110,110.48,110.48,41000,7,45387000.00
20050904,115.97,116,106,115.87,115.87,439908,49,482498194.00
20050905,121.65,122,121,120.56,120.56,33000,13,40209590.00
20050906,126.54,127,122,126.15,126.15,51110,37,64642199.00
20050907,132.43,132,132,132.43,132.43,109304,27,145046408.00
20050910,139.02,139,133,138.22,138.22,57277,26,79332853.00
20050911,138.22,138,132,137.02,137.02,16204,15,21993699.00
20050912,130.24,136,130,135.83,135.83,6496,4,8477840.00
20050918,129.04,136,129,135.83,135.83,20,2,26540.00
20050919,129.04,136,129,135.83,135.83,86,2,111878.00
20050925,129.04,136,129,135.73,135.73,2010,2,2599600.00
20050928,128.94,135,129,135.43,135.43,5010,6,6473570.00
20051001,128.74,135,129,135.13,135.13,5010,6,6463540.00
20051005,128.44,135,128,134.93,134.93,3873,2,4985201.00
20051030,128.24,135,128,134.83,134.83,780,2,1002960.00
20051107,128.14,128,128,128.14,128.14,1000,1,1284000.00
20051108,121.75,122,122,121.75,121.75,1000,1,1220000.00
20051109,115.67,122,116,121.65,121.65,1010,2,1171190.00
20051204,115.67,116,116,115.67,115.67,1000,1,1159000.00
20051205,109.98,110,110,109.98,109.98,1000,1,1102000.00
20051210,104.49,110,104,109.88,109.88,1010,2,1058010.00
20051214,104.39,110,104,109.78,109.78,1010,2,1057000.00
20051221,104.29,110,104,109.68,109.68,1010,2,1055990.00
20051225,104.29,110,104,109.68,109.68,20,2,21440.00
20060107,104.29,104,104,104.29,104.29,255655,64,267205475.00
20060109,104.19,104,104,104.19,104.19,89034,18,92991125.00
20060114,104.09,104,104,104.09,104.09,1000,1,1043000.00
20060116,102.89,104,103,103.79,103.79,30010,4,30940400.00
20060117,102.89,104,103,103.59,103.59,20010,4,20630380.00
20060129,98.50,103,99,102.49,102.49,39252,14,39081124.00
20060130,100.90,102,101,102.09,102.09,28851,5,29142389.00
20060201,101.89,104,102,102.09,102.09,40017,9,41076395.00
20060207,97.00,101,97,101.40,101.40,20010,3,19450160.00
20060405,99.40,101,99,101.30,101.30,1010,4,1008992.00
20060607,104.79,105,105,104.79,104.79,28342,9,29759100.00
20060612,103.69,105,104,104.69,104.69,110,2,114390.00
20060704,102.69,103,70,100.80,100.80,37309,9,37700176.00
20060827,98.80,101,99,100.60,100.60,34474,10,34529440.00
20060828,98.60,101,99,100.30,100.30,228000,29,229326548.00
20060829,100.80,101,100,100.40,100.40,72239,18,72912695.00
20060830,100.80,101,100,100.40,100.40,7010,2,7080060.00
20060902,100.40,100,100,100.40,100.40,5000,1,5030000.00
20060903,100.40,100,100,100.40,100.40,4500,1,4527000.00
