date,open,high,low,last,close,vol,count,value
20010325,60.35,61,60,60.52,60.52,93478,18,242776828.00
20010328,59.47,61,59,60.61,60.61,56077,33,144360787.00
20010331,60.61,61,61,60.61,60.61,10473,6,27229990.00
20010403,60.63,61,61,60.63,60.63,3490,2,9077490.00
20010407,60.66,61,61,60.66,60.66,18993,10,49421790.00
20010408,60.68,61,61,60.66,60.66,18843,10,49037786.00
20010409,60.61,61,61,60.66,60.66,24086,14,62647441.00
20010410,60.68,61,61,60.77,60.77,23500,11,61174351.00
20010411,60.84,61,61,60.80,60.80,16104,20,42056982.00
20010414,60.82,61,61,60.80,60.80,8798,10,22954238.00
20010415,60.54,61,61,60.77,60.77,28584,18,74431864.00
20010417,60.33,60,60,60.07,60.07,45276,29,117127637.00
20010418,59.45,60,59,60.07,60.07,65827,36,169381232.00
20010421,59.91,60,59,60.07,60.07,29482,31,75753972.00
20010422,59.91,60,59,60.07,60.07,50127,33,129150783.00
20010423,60.07,60,60,60.10,60.10,76427,36,197065312.00
20010424,60.12,60,59,60.14,60.14,48029,34,123730318.00
20010425,59.52,61,59,60.61,60.61,80415,50,207286168.00
20010428,60.63,61,61,60.61,60.61,47338,39,123101408.00
20010429,60.61,62,61,60.66,60.66,135616,34,358101750.00
20010430,60.66,63,61,62.48,62.48,46649,42,124218298.00
20010501,62.48,63,62,62.94,62.94,66668,51,179784296.00
20010502,62.94,63,62,62.90,62.90,37293,37,100483360.00
20010505,62.48,63,62,62.92,62.92,64216,37,172733813.00
20010506,62.90,63,63,62.92,62.92,22843,18,61634895.00
20010507,62.85,63,62,62.71,62.71,150855,74,405213989.00
20010508,62.48,63,62,62.71,62.71,60174,44,161309380.00
20010509,62.71,63,63,62.69,62.69,15690,18,42254805.00
20010512,62.66,63,61,62.69,62.69,12918,11,34405971.00
20010513,62.64,63,62,62.59,62.59,33874,33,90699756.00
20010515,62.50,63,62,62.59,62.59,36549,28,98130556.00
20010516,61.33,63,61,62.59,62.59,46515,32,124480653.00
20010519,62.57,63,61,62.71,62.71,58705,34,157655769.00
20010520,62.99,64,63,63.87,63.87,55222,34,149903177.00
20010521,64.11,66,64,65.74,65.74,19209,16,53385800.00
20010523,66.44,66,66,66.14,66.14,22940,20,65098889.00
20010526,66.91,68,66,67.86,67.86,17323,28,49985685.00
20010527,68.07,69,68,68.63,68.63,7117,10,20815792.00
20010528,72.06,72,70,72.06,72.06,42473,41,131189683.00
20010529,72.06,72,72,72.24,72.24,178524,56,552381939.00
20010619,69.94,70,69,68.65,68.65,293962,109,868459285.00
20010620,68.12,68,65,67.09,67.09,31343,31,88596543.00
20010623,66.81,67,65,65.27,65.27,65365,39,183085589.00
20010624,64.43,65,64,65.30,65.30,69316,49,193368510.00
20010625,65.25,65,65,65.20,65.20,3366,4,9420014.00
20010626,64.34,65,64,65.18,65.18,64650,56,179835202.00
20010627,65.16,65,65,65.20,65.20,33274,21,93010786.00
20010630,65.04,65,65,65.27,65.27,97438,42,272211312.00
20010701,65.04,65,65,65.27,65.27,104882,43,293452464.00
20010702,65.27,65,65,65.25,65.25,76529,39,213763438.00
20010703,65.23,65,65,65.27,65.27,113143,50,316736785.00
20010704,65.27,66,65,65.27,65.27,131943,49,369513095.00
20010707,65.32,65,65,65.32,65.32,68932,46,193296236.00
20010708,65.32,65,65,65.23,65.23,26881,13,75327406.00
20010709,65.09,65,65,65.25,65.25,101538,42,283842368.00
20010710,65.04,65,64,64.08,64.08,25706,17,71015223.00
20010711,64.01,64,64,63.71,63.71,46769,23,127849899.00
20010714,63.57,65,64,65.27,65.27,301765,78,840399158.00
20010715,65.30,68,65,67.60,67.60,195607,62,555121697.00
20010716,67.63,68,68,67.60,67.60,71757,27,208213417.00
20010812,59.45,65,59,64.85,64.85,21078,23,55492712.00
20010813,64.85,68,65,68.09,68.09,23980,42,68803220.00
20010814,68.09,68,65,65.27,65.27,36217,32,103485357.00
20010815,64.90,65,65,65.27,65.27,42225,24,118123667.00
20010818,65.27,66,65,65.97,65.97,51303,33,144413422.00
20010819,66.21,68,66,67.60,67.60,45628,32,131150034.00
20010820,67.63,68,68,68.12,68.12,49192,38,142932718.00
20010821,68.65,69,68,69.03,69.03,21930,21,64537787.00
20010822,69.59,70,69,69.94,69.94,24480,13,73264529.00
20010825,70.64,71,70,71.10,71.10,6696,12,20368760.00
20010826,71.80,73,72,73.39,73.39,11343,17,35423549.00
20010827,73.39,73,71,71.10,71.10,57050,55,177837910.00
20010828,70.33,70,68,67.60,67.60,36416,30,105966032.00
20010829,67.60,70,67,70.29,70.29,49499,37,145618066.00
20010901,69.94,70,69,69.24,69.24,11194,13,33528910.00
20010902,67.60,69,68,67.60,67.60,17931,12,52392860.00
20010903,65.02,68,65,67.60,67.60,40551,38,114040483.00
20010904,65.37,68,65,67.60,67.60,37075,35,105666899.00
20010905,67.51,68,68,67.60,67.60,39100,28,113362893.00
20010908,67.65,68,68,67.60,67.60,48105,34,139510936.00
20010909,67.58,68,67,67.60,67.60,21927,21,63581825.00
20010910,67.37,68,66,67.60,67.60,19152,18,55170456.00
20010911,67.58,68,68,67.60,67.60,22901,16,66376807.00
20010912,67.56,70,66,69.94,69.94,78907,28,232598902.00
20010915,67.65,68,68,67.60,67.60,10389,14,30198100.00
20010916,66.44,67,66,67.14,67.14,19146,19,54601889.00
20010917,65.58,66,65,65.27,65.27,24565,17,68882451.00
20010918,65.04,65,64,64.11,64.11,132066,31,363934047.00
20010919,64.08,65,64,65.02,65.02,27324,18,75133997.00
20010922,65.04,65,64,64.11,64.11,80355,31,223936249.00
20010923,64.13,64,64,64.11,64.11,53495,33,147026576.00
20010924,64.22,64,64,64.11,64.11,9455,13,26002670.00
20010925,64.11,64,64,64.11,64.11,47484,17,130575696.00
20010926,63.20,64,63,64.11,64.11,35015,19,95044306.00
20010929,64.11,64,64,64.11,64.11,35799,21,98168825.00
20010930,64.11,64,64,63.64,63.64,35584,18,97837920.00
20011002,63.64,64,63,63.64,63.64,17573,17,47956769.00
20011003,63.62,64,63,63.66,63.66,570313,16,1557485018.00
20011006,63.71,64,64,63.87,63.87,38106,17,104218779.00
20011007,63.87,64,63,63.87,63.87,41609,44,113174930.00
20011008,63.06,64,63,63.50,63.50,4025,4,10922376.00
20011010,60.82,62,61,61.78,61.78,30000,20,78522480.00
20011013,61.68,62,62,61.73,61.73,10000,8,26481342.00
20011014,61.66,62,62,62.48,62.48,54159,31,143324062.00
20011016,62.45,63,62,62.71,62.71,37953,17,102100810.00
20011017,63.34,64,63,64.11,64.11,13629,10,37328837.00
