date,open,high,low,last,close,vol,count,value
20140222,0.78,1,1,0.78,0.78,1000,1,1100000.00
20140304,0.78,1,1,0.78,0.78,150,2,165000.00
20150114,0.78,1,1,0.78,0.78,1925,2,2117500.00
20150308,0.78,1,1,0.78,0.78,75,1,82500.00
20150623,0.78,1,1,0.78,0.78,1000,1,1100000.00
20150705,0.78,1,1,0.78,0.78,2000,2,2200000.00
20160510,0.78,1,1,0.78,0.78,2000,3,2200000.00
20170123,0.82,1,1,0.82,0.82,1000,1,1150000.00
20170520,0.82,1,1,0.82,0.82,2850,3,3280350.00
20170610,0.82,1,1,0.82,0.82,1000,1,1151000.00
20170620,0.82,1,1,0.82,0.82,1000,1,1151000.00
20180123,0.90,1,1,0.90,0.90,4450,27,5633700.00
20180415,0.99,1,1,0.99,0.99,600,6,835200.00
20190415,1.00,1,1,1.00,1.00,200,2,102000.00
