date,open,high,low,last,close,vol,count,value
20010325,840.07,840,840,840.07,840.07,1000,1,1600000.00
20010327,829.57,835,830,834.82,834.82,6340,16,10059060.00
20010328,840.07,843,840,842.69,842.69,1853,3,2966080.00
20010331,841.64,876,842,854.24,854.24,4696,4,7750619.00
20010407,854.77,876,855,876.30,876.30,7983,6,13111456.00
20010408,875.77,877,874,874.20,874.20,36473,15,60877277.00
20010409,856.35,856,856,856.35,856.35,5507,13,8981917.00
20010410,856.87,859,842,856.35,856.35,67442,47,110007366.00
20010411,840.59,877,841,876.82,876.82,54085,21,87795841.00
20010414,876.82,877,861,876.82,876.82,41203,28,68665212.00
20010415,850.57,872,851,863.70,863.70,27123,10,44225825.00
20010416,866.32,898,866,892.57,892.57,63954,50,106940372.00
20010417,877.87,892,877,882.07,882.07,62592,51,105648296.00
20010418,882.07,893,874,892.57,892.57,24762,21,41716244.00
20010421,892.57,937,893,937.20,937.20,41609,19,72515428.00
20010422,981.83,984,945,958.20,958.20,109830,49,201699825.00
20010423,981.31,1006,958,1002.83,1002.83,303322,75,573221223.00
20010424,1002.83,1003,971,973.95,973.95,106570,65,199497162.00
20010425,966.08,1008,961,1008.08,1008.08,125682,63,237361014.00
20010428,1029.61,1035,1008,1013.86,1013.86,161252,82,314963890.00
20010429,1015.43,1016,1007,1013.33,1013.33,94656,45,182798175.00
20010430,997.58,998,997,997.58,997.58,23100,18,43885672.00
20010501,993.91,994,966,971.33,971.33,63285,49,117093322.00
20010502,945.08,950,935,945.08,945.08,57484,46,103494990.00
20010505,945.08,971,945,971.33,971.33,89715,57,163485544.00
20010506,981.83,1003,982,997.58,997.58,58941,38,112012615.00
20010507,997.58,998,992,993.38,993.38,37496,51,71087840.00
20010508,997.06,998,991,992.33,992.33,34050,29,64498317.00
20010509,981.83,998,982,981.83,981.83,64090,77,120350409.00
20010512,982.36,982,981,981.83,981.83,28958,15,54149982.00
20010513,980.78,981,970,970.80,970.80,27079,19,50153502.00
20010515,946.65,948,945,946.65,946.65,25597,35,46140421.00
20010516,946.65,966,945,955.58,955.58,104926,71,190315727.00
20010519,987.08,987,956,976.58,976.58,106887,53,199610119.00
20010520,976.58,982,971,979.21,979.21,31886,41,59417900.00
20010521,971.33,971,956,969.75,969.75,62952,36,115132063.00
20010523,960.83,970,956,960.83,960.83,27688,26,50804942.00
20010526,960.83,961,950,955.58,955.58,99396,81,180653356.00
20010527,950.85,987,951,978.16,978.16,44043,34,81775319.00
20010528,997.58,1027,998,1026.98,1026.98,158284,88,307353639.00
20010529,1028.56,1050,1013,1013.33,1013.33,185097,124,364504213.00
20010530,997.58,1013,998,1008.08,1008.08,106996,166,204056775.00
20010602,1008.08,1009,998,999.68,999.68,35150,35,67256410.00
20010603,1004.41,1004,998,1002.83,1002.83,138174,69,263037751.00
20010606,1002.83,1013,1003,1005.46,1005.46,110941,79,212445028.00
20010609,1005.46,1008,1005,1005.46,1005.46,59167,35,113506281.00
20010611,1006.51,1024,1006,1023.83,1023.83,43850,31,84834980.00
20010612,1023.83,1034,1022,1022.26,1022.26,46145,34,90113762.00
20010613,1005.46,1011,1005,1008.08,1008.08,97113,53,186431160.00
20010616,1007.56,1008,998,997.58,997.58,61060,61,116561426.00
20010617,997.58,998,977,997.58,997.58,130336,57,245585966.00
20010618,992.33,998,986,997.58,997.58,68558,52,129472222.00
20010619,997.58,998,982,997.58,997.58,85050,50,160897524.00
20010620,987.08,998,982,997.58,997.58,150439,60,284535357.00
20010623,997.58,998,994,997.58,997.58,47343,39,89947649.00
20010624,997.06,998,993,997.58,997.58,82296,57,156186910.00
20010625,997.06,998,994,997.58,997.58,68033,50,129262626.00
20010626,997.58,1001,998,1001.26,1001.26,42694,37,81168943.00
20010627,1002.83,1008,998,1001.78,1001.78,118119,85,225750803.00
20010630,1002.83,1007,999,1005.98,1005.98,31762,37,60660609.00
20010701,1006.51,1008,1007,1008.08,1008.08,36262,49,69576975.00
20010702,1012.81,1024,1011,1015.96,1015.96,87155,62,168925104.00
20010703,1016.48,1050,1016,1040.64,1040.64,211519,122,416787067.00
20010704,1050.09,1055,1029,1029.08,1029.08,142565,66,284018856.00
20010707,1029.08,1029,1020,1023.83,1023.83,39578,37,77124472.00
20010708,1024.36,1024,1020,1023.83,1023.83,36127,43,70362874.00
20010709,1023.83,1030,1024,1029.08,1029.08,67933,48,133037945.00
20010710,1029.08,1029,1003,1023.83,1023.83,37554,37,73053619.00
20010711,1023.31,1024,1008,1023.83,1023.83,58803,45,113466967.00
20010714,1024.36,1034,1022,1034.33,1034.33,55596,51,108789377.00
20010715,1034.33,1045,1034,1036.96,1036.96,122522,89,242053983.00
20010716,1034.86,1038,1035,1038.01,1038.01,37907,35,74824329.00
20010717,1038.01,1050,1038,1050.09,1050.09,156461,116,312407072.00
20010718,1050.09,1092,1050,1086.84,1086.84,119891,62,246291481.00
20010721,1086.84,1092,1082,1086.84,1086.84,114049,60,236222572.00
20010722,1092.09,1118,1087,1113.09,1113.09,125034,86,263078085.00
20010723,1115.72,1121,1087,1096.29,1096.29,81767,67,172457342.00
20010724,1097.34,1097,1088,1097.34,1097.34,94733,53,197261061.00
20010725,1092.09,1102,1087,1093.14,1093.14,103408,65,214849849.00
20010728,1091.04,1099,1077,1095.24,1095.24,111501,86,232622763.00
20010729,1087.36,1108,1087,1107.84,1107.84,79130,49,165306244.00
20010730,1102.07,1113,1094,1112.57,1112.57,70622,32,148553714.00
20010731,1106.27,1114,1106,1113.09,1113.09,134150,80,283637661.00
20010801,1113.62,1145,1114,1128.84,1128.84,142380,110,305845488.00
20010804,1128.84,1185,1129,1161.92,1161.92,274729,146,604069744.00
20010805,1164.02,1169,1109,1144.59,1144.59,174692,134,386010846.00
20010806,1140.92,1150,1119,1144.59,1144.59,111028,80,238444302.00
20010807,1144.59,1154,1145,1151.94,1151.94,171824,93,376470894.00
20010808,1152.47,1169,1152,1165.60,1165.60,182674,92,403955937.00
20010811,1165.60,1181,1166,1173.47,1173.47,84574,79,189125085.00
20010812,1174.00,1181,1173,1173.47,1173.47,107064,76,240240174.00
20010813,1173.47,1181,1163,1163.50,1163.50,125357,270,280065807.00
20010814,1161.40,1181,1150,1181.35,1181.35,183510,115,406791847.00
20010815,1181.35,1208,1176,1191.85,1191.85,82069,56,185626121.00
20010818,1193.95,1208,1192,1200.25,1200.25,163003,112,372092498.00
20010819,1200.77,1208,1200,1207.07,1207.07,243974,108,559014272.00
20010820,1207.60,1208,1197,1203.92,1203.92,206966,110,474010406.00
20010821,1196.57,1197,1176,1178.72,1178.72,28977,31,65225016.00
20010822,1178.20,1178,1155,1155.09,1155.09,132728,55,293218303.00
20010825,1168.75,1169,1155,1159.29,1159.29,187818,105,414591886.00
20010826,1159.29,1160,1150,1149.84,1149.84,140327,93,309149727.00
20010827,1149.84,1155,1125,1151.42,1151.42,73514,60,160626080.00
