date,open,high,low,last,close,vol,count,value
20200923,1400.00,1400,1400,1400.00,1400.00,75308,1,105431200.00
20200926,1470.00,1470,1470,1470.00,1400.00,216858,3,318781260.00
20200927,1470.00,1470,1470,1470.00,1400.00,100601,2,147883470.00
20200928,1470.00,1470,1470,1470.00,1400.00,201954,3,296872380.00
20200929,1470.00,1470,1470,1470.00,1400.00,433609,8,637405230.00
20200930,1470.00,1470,1470,1470.00,1400.00,620692,11,912417240.00
20201003,1470.00,1470,1470,1470.00,1400.00,583169,9,857258430.00
20201004,1470.00,1470,1470,1470.00,1400.00,341314,6,501731580.00
20201005,1470.00,1470,1470,1470.00,1400.00,170895,4,251215650.00
20201006,1470.00,1470,1470,1470.00,1400.00,295431,5,434283570.00
20201007,1470.00,1470,1470,1470.00,1400.00,1242844,18,1826980680.00
20201010,1470.00,1470,1470,1470.00,1400.00,780145,26,1146813150.00
20201011,1470.00,1470,1470,1470.00,1400.00,709896,61,1043547120.00
20201012,1470.00,1470,1470,1470.00,1400.00,828418,67,1217774460.00
20201013,1470.00,1470,1470,1470.00,1400.00,1285375,116,1889501250.00
20201014,1470.00,1470,1330,1470.00,1400.00,1813889,212,2637259870.00
20201018,1470.00,1470,1330,1460.00,1400.00,1349496,192,1875149980.00
20201019,1460.00,1460,1330,1330.00,1400.00,980933,105,1323672250.00
20201020,1330.00,1330,1330,1330.00,1400.00,119836,22,159381880.00
20201021,1330.00,1330,1330,1330.00,1400.00,196019,32,260705270.00
20201024,1330.00,1330,1330,1330.00,1400.00,79522,17,105764260.00
20201026,1330.00,1330,1330,1330.00,1400.00,28036,8,37287880.00
20201027,1330.00,1330,1330,1330.00,1400.00,51849,6,68959170.00
20201028,1330.00,1330,1330,1330.00,1400.00,58970,6,78430100.00
20201031,1330.00,1330,1330,1330.00,1400.00,60627,9,80633910.00
20201101,1330.00,1330,1330,1330.00,1400.00,3816,1,5075280.00
20201104,1330.00,1330,1330,1330.00,1400.00,19000,3,25270000.00
20201107,1330.00,1330,1330,1330.00,1400.00,8800,2,11704000.00
20201108,1330.00,1330,1330,1330.00,1400.00,7800,2,10374000.00
20201109,1330.00,1330,1330,1330.00,1400.00,30819,6,40989270.00
20201110,1330.00,1330,1330,1330.00,1400.00,84145,9,111912850.00
20201111,1330.00,1330,1330,1330.00,1400.00,73218,11,97379940.00
20201114,1330.00,1330,1330,1330.00,1400.00,107828,9,143411240.00
20201115,1330.00,1330,1330,1330.00,1400.00,39688,4,52785040.00
20201116,1330.00,1330,1330,1330.00,1400.00,18795,4,24997350.00
20201117,1330.00,1330,1330,1330.00,1400.00,101820,6,135420600.00
20201118,1330.00,1330,1330,1330.00,1400.00,10000,1,13300000.00
20201121,1330.00,1330,1330,1330.00,1400.00,32502,7,43227660.00
20201123,1330.00,1330,1330,1330.00,1400.00,19000,3,25270000.00
20201124,1330.00,1330,1330,1330.00,1400.00,8232,2,10948560.00
20201125,1330.00,1330,1330,1330.00,1400.00,31382,5,41738060.00
20201129,1330.00,1330,1330,1330.00,1400.00,101951,7,135594830.00
20201130,1330.00,1330,1330,1330.00,1400.00,533595,22,709681350.00
20201201,1330.00,1330,1330,1330.00,1400.00,58900,7,78337000.00
20201202,1330.00,1330,1330,1330.00,1400.00,25000,3,33250000.00
20201205,1330.00,1330,1330,1330.00,1400.00,48188,8,64090040.00
20201206,1330.00,1330,1330,1330.00,1400.00,92620,10,123184600.00
20201207,1330.00,1330,1330,1330.00,1400.00,37763,6,50224790.00
20201208,1330.00,1330,1330,1330.00,1400.00,105000,3,139650000.00
20201212,1330.00,1330,1330,1330.00,1400.00,13475,2,17921750.00
20201213,1330.00,1330,1330,1330.00,1400.00,6400,1,8512000.00
20201216,1330.00,1330,1330,1330.00,1400.00,6200,1,8246000.00
20201219,1330.00,1330,1330,1330.00,1400.00,14000,2,18620000.00
20201222,1330.00,1330,1330,1330.00,1400.00,10169,2,13524770.00
20201223,1330.00,1330,1330,1330.00,1400.00,49362,7,65651460.00
20201226,1330.00,1330,1330,1330.00,1400.00,3820,1,5080600.00
20201227,1330.00,1330,1330,1330.00,1400.00,11266,2,14983780.00
20201228,1330.00,1330,1330,1330.00,1400.00,3500,1,4655000.00
20201230,1330.00,1330,1330,1330.00,1400.00,21490,3,28581700.00
20210102,1330.00,1330,1330,1330.00,1400.00,82319,6,109484270.00
