date,open,high,low,last,close,vol,count,value
20050711,189.54,190,190,189.54,189.54,24000000,1136,120000000000.00
20050726,157.73,167,157,161.11,161.11,176733,48,740723368.00
20050727,161.11,169,159,166.22,166.22,194752,80,854115473.00
20050730,174.53,175,175,174.53,174.53,127641,38,587659164.00
20050731,183.25,183,175,181.65,181.65,7686093,488,36292977645.00
20050801,181.73,182,173,173.58,173.58,265348,134,1215195303.00
20050802,171.15,182,171,179.04,179.04,184589,96,871924174.00
20050803,181.96,186,180,181.58,181.58,436829,345,2105966617.00
20050806,178.17,178,173,174.07,174.07,141766,74,651052185.00
20050807,166.98,169,165,166.11,166.11,176679,101,774219212.00
20050808,163.00,169,163,165.81,165.81,140772,62,615871018.00
20050809,166.07,169,166,166.41,166.41,127420,45,559407211.00
20050810,168.69,175,169,173.47,173.47,224209,102,1026015535.00
20050813,166.79,172,167,171.61,171.61,57730,29,258431070.00
20050814,170.89,174,171,171.49,171.49,23337,22,105366244.00
20050815,170.58,172,169,171.23,171.23,17204,16,77121632.00
20050816,169.22,171,169,170.77,170.77,31258,20,139861663.00
20050817,170.24,172,170,170.28,170.28,162355,122,729443227.00
20050820,171.87,179,172,177.29,177.29,121100,51,566406115.00
20050821,181.58,186,179,183.21,183.21,258215,90,1248160178.00
20050822,185.33,192,184,190.18,190.18,547005,201,2744695075.00
20050823,183.97,186,184,184.34,184.34,139948,70,680697861.00
20050824,183.93,185,180,183.02,183.02,101611,53,490013907.00
20050827,183.47,192,183,191.32,191.32,628342,191,3171322078.00
20050828,191.51,198,184,191.62,191.62,280045,115,1415809358.00
20050829,182.30,186,182,183.43,183.43,172754,65,836038762.00
20050830,183.43,186,183,185.14,185.14,124947,58,610288393.00
20050831,185.75,190,186,188.70,188.70,212556,85,1058284176.00
20050903,186.69,190,179,181.84,181.84,191995,89,921043513.00
20050904,181.65,182,175,179.15,179.15,92822,50,436852312.00
20050905,178.96,182,178,178.89,178.89,92674,52,437279339.00
20050906,178.89,182,179,180.25,180.25,150543,47,715888227.00
20050907,189.23,189,182,189.05,189.05,2844655,206,14197071364.00
20050910,197.04,198,191,196.44,196.44,447125,205,2317056014.00
20051019,185.75,189,174,186.47,186.47,532810,1303,2621150146.00
20051022,177.18,177,177,177.18,177.18,617532,1519,2886344568.00
20051023,168.35,174,168,168.42,168.42,690834,568,3069639925.00
20051024,165.47,166,163,164.10,164.10,1018914,1494,4432035675.00
20051026,164.82,169,165,167.21,167.21,119449,54,527092385.00
20051029,166.41,166,159,159.10,159.10,274608,64,1152772122.00
20051030,156.14,156,151,151.78,151.78,135493,72,542619123.00
20051031,144.20,144,144,144.20,144.20,265854,102,1011388511.00
20051101,137.00,144,137,137.23,137.23,289110,85,1046634200.00
20051102,130.36,137,130,131.50,131.50,338265,108,1173600991.00
20051105,138.02,138,133,132.71,132.71,26510,12,95829010.00
20051106,139.35,139,139,139.35,139.35,155168,49,570397568.00
20051107,139.50,144,135,138.74,138.74,116987,49,428195028.00
20051108,136.54,139,136,138.29,138.29,44331,19,160957721.00
20051109,136.43,138,134,137.95,137.95,14010,8,50070390.00
20051112,139.88,145,140,143.10,143.10,105225,44,399418030.00
20051113,144.81,146,142,143.29,143.29,108428,41,410038274.00
20051114,140.60,143,140,142.68,142.68,35072,17,130738212.00
20051115,142.15,142,141,142.19,142.19,35950,15,133859490.00
20051116,141.70,142,141,141.85,141.85,35846,25,133393467.00
20051119,140.26,141,139,141.32,141.32,36627,17,135510106.00
20051120,141.02,144,141,141.47,141.47,22608,12,84849134.00
20051121,141.77,142,140,140.68,140.68,99905,26,370386332.00
20051122,143.29,144,141,141.09,141.09,19660,10,74412120.00
20051123,146.06,148,146,147.35,147.35,198178,61,770433658.00
20051126,154.70,155,155,154.70,154.70,120000,49,489720000.00
20051127,162.43,162,152,161.98,161.98,947371,166,4048171313.00
20051129,166.83,174,162,169.75,169.75,610836,174,2735630956.00
20051130,178.20,178,171,177.52,177.52,1421109,392,6656253465.00
20051203,186.39,186,186,186.39,186.39,154678,56,760551726.00
20051204,195.68,196,186,194.96,194.96,1664814,372,8562272293.00
20051205,189.54,190,185,185.71,185.71,1237608,274,6063332936.00
20051206,180.10,182,176,177.03,177.03,408609,164,1908252129.00
20051210,171.72,172,168,168.58,168.58,514576,107,2288336594.00
20051211,169.83,177,168,175.06,175.06,197982,95,914414183.00
20051212,176.95,179,166,170.05,170.05,520626,220,2335992483.00
20051228,106.10,113,92,104.89,104.89,256515,75,710014058.00
20051231,110.12,110,107,109.52,109.52,460513,164,1330514887.00
20060101,109.52,110,107,108.83,108.83,101070,53,289945705.00
20060102,106.90,108,104,108.23,108.23,19267,8,53500012.00
20060103,104.25,105,103,104.93,104.93,77715,35,211587431.00
20060104,104.62,105,103,104.40,104.40,65767,27,180423551.00
20060107,101.97,104,100,103.72,103.72,22228,9,59090785.00
20060108,98.56,100,99,99.24,99.24,104577,49,272031236.00
20060109,98.94,99,97,98.71,98.71,47590,16,123042065.00
20060110,98.56,99,95,98.33,98.33,33232,19,85383424.00
20060114,96.32,102,93,96.21,96.21,79538,29,199788790.00
20060115,93.40,95,93,95.00,95.00,57746,21,142816795.00
20060116,94.73,95,90,93.67,93.67,39079,21,93813756.00
20060117,98.18,98,94,93.97,93.97,9010,9,23312424.00
20060118,94.77,98,94,94.35,94.35,36295,13,91267118.00
20060121,95.53,98,95,94.50,94.50,11841,14,30012294.00
20060122,98.52,99,96,96.10,96.10,46438,19,120953114.00
20060123,100.87,101,97,97.76,97.76,62606,31,164137616.00
20060124,97.38,98,94,97.65,97.65,7365,6,18686440.00
20060125,95.91,97,96,97.46,97.46,11877,9,30015848.00
20060128,97.35,97,95,97.12,97.12,21199,16,53454669.00
20060129,98.60,102,98,97.99,97.99,32500,18,86080486.00
20060130,94.81,99,95,97.95,97.95,11838,10,30515042.00
20060131,96.66,97,93,94.66,94.66,103123,40,256090169.00
20060201,94.35,95,94,94.47,94.47,60148,25,149743569.00
20060204,90.26,94,90,93.90,93.90,32568,13,79374173.00
20060205,89.23,94,89,93.63,93.63,6347,4,14941998.00
20060206,88.97,89,89,88.97,88.97,149583,52,351104301.00
20060207,87.15,88,85,86.73,86.73,87976,40,199512615.00
20060212,84.57,86,83,85.94,85.94,27137,16,59686948.00
20060213,83.40,84,82,84.15,84.15,51439,26,111070133.00
20060214,82.49,84,82,84.00,84.00,9010,4,19606160.00
20060215,82.34,86,82,83.09,83.09,151879,55,333031098.00
20060218,84.72,85,85,84.72,84.72,142000,36,317370000.00
20060219,86.39,86,85,84.80,84.80,7147,4,16287593.00
20060220,86.47,86,86,86.47,86.47,225620,51,514639220.00
20060221,88.17,88,86,87.72,87.72,636913,669,1468418252.00
20060222,87.72,89,88,87.76,87.76,900010,1107,2082778150.00
20060318,106.14,106,85,92.34,92.34,233034,65,567858839.00
20060319,91.93,94,92,92.99,92.99,107065,28,263019983.00
20060325,94.58,95,93,93.10,93.10,10010,3,25009560.00
20060326,94.39,94,93,93.14,93.14,554010,692,1363336570.00
20060327,95.00,95,93,93.21,93.21,6354,8,15920760.00
20060328,95.07,95,95,94.96,94.96,767461,864,1923986458.00
20060403,94.92,95,93,94.43,94.43,36393,15,89522175.00
20060404,94.20,94,93,94.39,94.39,2672,4,6593970.00
20060405,93.63,94,93,94.28,94.28,6935,14,17024960.00
20060408,92.42,94,92,93.93,93.93,23545,13,57593348.00
20060409,92.61,94,92,93.67,93.67,16214,15,39449776.00
20060410,93.67,94,94,93.63,93.63,15130,5,37381820.00
20060411,91.77,93,92,93.21,93.21,31210,21,75884590.00
20060412,91.40,92,91,91.93,91.93,82766,35,199614136.00
20060415,90.14,92,90,91.36,91.36,44547,16,106303572.00
20060417,89.54,90,90,90.07,90.07,84010,25,198441760.00
20060418,88.32,90,88,89.88,89.88,16990,9,39774630.00
20060419,88.40,90,88,89.50,89.50,28060,13,65358030.00
20060422,87.72,89,88,88.93,88.93,39200,12,90817004.00
20060423,87.38,88,87,87.79,87.79,83860,23,193254860.00
20060424,86.05,86,86,86.05,86.05,162347,38,368533190.00
20060425,84.34,86,84,85.90,85.90,31387,14,70815337.00
20060426,85.41,85,84,85.25,85.25,65034,22,145465318.00
20060429,83.66,84,84,84.31,84.31,68020,18,150082310.00
20060430,84.15,86,84,84.57,84.57,58815,22,132537215.00
20060501,86.24,86,85,84.76,84.76,31810,10,72367360.00
20060503,86.43,86,85,84.76,84.76,1011,3,2304640.00
20060506,86.43,86,86,86.43,86.43,241227,35,549997560.00
20060507,88.14,88,88,88.14,88.14,245080,35,569811000.00
20060508,89.88,90,88,88.14,88.14,3640,5,8629980.00
20060517,90.83,95,89,89.50,89.50,186696,53,440833624.00
20060520,90.60,91,91,91.21,91.21,250010,56,601754686.00
20060521,93.03,93,89,91.55,91.55,189347,50,457425695.00
20060522,89.73,90,90,89.73,89.73,121000,26,286407000.00
20060523,89.77,91,90,89.95,89.95,67352,29,160201315.00
20060524,91.40,92,90,90.56,90.56,1209510,51,2880714586.00
20060527,92.12,92,91,90.56,90.56,3505,4,8467165.00
20060528,92.19,92,90,90.60,90.60,107166,31,256337747.00
20060529,90.45,90,90,90.49,90.49,20112,12,47826374.00
20060530,90.98,92,90,90.56,90.56,22866,12,54882558.00
20060531,90.98,92,91,91.77,91.77,150315,48,364001108.00
20060603,92.00,94,92,92.15,92.15,47893,13,117212945.00
20060606,93.63,94,90,92.23,92.23,36621,22,89290759.00
20060607,92.49,92,91,92.15,92.15,39852,19,96831370.00
20060610,91.77,94,91,92.84,92.84,380835,110,932744742.00
20060626,87.95,93,85,86.85,86.85,62237,25,142617724.00
20060627,85.14,87,85,86.58,86.58,35870,13,80564400.00
20060628,84.88,86,85,86.47,86.47,13787,9,30869513.00
20060701,84.76,86,85,86.47,86.47,65,3,145790.00
20060702,84.76,86,85,86.47,86.47,92,2,206162.00
20060704,84.76,86,85,86.47,86.47,20,2,45170.00
20060710,84.76,86,85,86.43,86.43,1830,6,4092320.00
20060711,84.72,86,85,86.43,86.43,65,3,145725.00
20060712,84.72,86,85,86.43,86.43,448,2,1001730.00
20060716,84.72,86,85,86.39,86.39,50,2,112190.00
20060725,84.69,86,85,86.39,86.39,126,4,281934.00
20060726,84.69,86,85,86.39,86.39,20,2,45130.00
20060809,84.69,86,85,86.35,86.35,1010,3,2256780.00
20060814,84.65,86,85,86.32,86.32,1010,5,2255770.00
20060829,84.61,86,85,86.32,86.32,60,2,134370.00
20060830,84.61,86,85,86.20,86.20,14460,4,32275140.00
20060902,84.50,86,84,86.16,86.16,2327,3,5187323.00
20060903,84.46,86,84,86.13,86.13,4010,2,8934720.00
20060904,84.42,85,84,85.41,85.41,100856,26,224606572.00
20060905,83.70,85,84,84.69,84.69,100010,17,220822340.00
20060906,83.02,85,83,84.65,84.65,691,2,1513720.00
20060910,82.98,84,83,84.42,84.42,30540,8,66852440.00
20060911,82.75,84,83,83.62,83.62,110010,26,240152060.00
20060912,81.96,84,82,83.55,83.55,10010,3,21642040.00
20060913,81.88,83,82,83.21,83.21,44793,16,96753230.00
20060916,81.58,83,82,83.13,83.13,10930,4,23521770.00
20060917,81.50,83,82,82.98,82.98,20010,6,43021890.00
