date,open,high,low,last,close,vol,count,value
20131112,1.29,1,1,1.29,1.29,1000,1,2500000.00
20131130,1.29,1,1,1.29,1.29,100,1,250000.00
20131225,0.83,1,1,0.83,0.83,44750,2,71600000.00
20140609,0.72,1,1,0.72,0.72,100,1,140000.00
20140611,0.72,1,1,0.72,0.72,50,1,70000.00
20140614,0.72,1,1,0.72,0.72,120,2,168000.00
20140617,0.72,1,1,0.72,0.72,50,1,70000.00
20140621,0.72,1,1,0.72,0.72,10,1,14000.00
20140622,0.67,1,1,0.67,0.67,20050,1,26065000.00
20140806,0.72,1,1,0.72,0.72,31000,2,43400000.00
20140817,0.72,1,1,0.72,0.72,9670,1,13538000.00
20140906,0.72,1,1,0.72,0.72,5000,1,6100000.00
20140927,0.72,1,1,0.72,0.72,1100,2,1342000.00
20141208,0.73,1,1,0.73,0.73,10000,1,12300000.00
20141224,0.73,1,1,0.73,0.73,4000,1,4920000.00
20150104,0.73,1,1,0.73,0.73,4000,1,4920000.00
20160109,0.74,1,1,0.74,0.74,4000,1,5000000.00
20160430,0.74,1,1,0.74,0.74,160000,1,120000000.00
20160709,0.99,1,1,0.99,0.99,100000,1,100200000.00
20160725,0.99,1,1,0.99,0.99,10000,1,10000000.00
20170313,0.99,1,1,0.99,0.99,10000,1,10000000.00
20190408,2573.90,2968,2574,2967.60,554.94,20000,2,56020000.00
20190501,2967.60,2968,2968,2967.60,796.31,10000,1,30000000.00
20190506,4058.69,5444,4059,5443.57,3947.90,89375,7,390505625.00
20190608,5935.20,5935,5935,5935.20,5935.20,831355,52,4988130000.00
20190612,6449.58,8804,6450,8803.88,6860.10,1893346,121,13130958400.00
20190617,9892.99,11880,9893,11880.29,10072.03,1668710,153,16990946418.00
20190619,11870.40,12860,11870,12859.60,12138.47,1193712,180,14647756000.00
20190622,11276.88,12365,11277,12365.00,11827.86,1921534,213,22975486200.00
20190624,12859.60,14143,12860,14142.59,13275.06,977648,150,13120212434.00
20190626,14838.99,14839,14591,14590.70,14807.33,1671957,403,25027574499.00
20190701,11870.40,11870,11870,11870.40,11870.40,974432,181,11693184000.00
20190703,11870.40,12860,11870,12859.60,12205.74,664759,146,8202705000.00
20190706,13057.44,13379,13057,13378.93,13196.92,389110,121,5191031725.00
20190708,13433.33,13433,12365,12365.00,13271.11,654384,235,8778975360.00
20190710,11870.40,12364,11870,12364.01,11979.21,918730,210,11126254105.00
20190713,11872.38,12088,11872,12088.02,11897.11,502518,141,6044001286.00
20190715,11870.40,11872,11870,11872.38,11870.40,820313,239,9844049830.00
20190717,11375.80,11575,11376,11574.63,11384.70,804067,329,9253823590.00
20190720,10238.22,11376,10238,11375.80,10802.06,696648,98,7607360400.00
20190722,12363.02,12363,11870,11870.40,12280.92,340584,158,4228406634.00
20190724,11426.25,11475,11426,11474.72,11430.20,279803,168,3232996115.00
20190727,11375.80,11470,11376,11469.77,11379.75,209857,140,2414136685.00
20190729,11425.26,11425,11425,11425.26,11425.26,439753,131,5079147150.00
20190731,11173.01,11771,11173,11771.48,11245.22,553519,110,6292490360.00
20190803,11870.40,11870,11870,11870.40,11870.40,569135,159,6829620000.00
20190805,11870.40,12068,11870,12068.24,11910.96,416794,155,5018571400.00
20190817,11910.96,11971,11911,11971.30,11921.84,197557,66,2380928109.00
20190904,12278.93,12279,11911,11910.86,12241.03,419296,84,5145440194.00
20190916,11506.89,11507,11507,11506.89,11506.89,122711,8,1415594096.00
20190917,11161.76,11162,11162,11161.76,11161.76,86623,52,969311370.00
20190918,11161.76,11162,11162,11161.76,11161.76,3909,15,43741710.00
20190921,11161.76,11162,11162,11161.76,11161.76,12589,57,140870910.00
20190922,11161.76,11852,11162,11670.47,11256.52,1367554,521,15432971924.00
20190923,11852.01,12562,11850,12562.22,11930.81,591561,135,7075630064.00
20190924,12937.27,12938,12369,12938.26,12854.48,518423,215,6680757686.00
20190925,13239.50,13240,13237,13239.50,13239.50,366054,194,4858593639.00
20190928,13635.50,13636,12843,12979.16,13279.40,433912,307,5776752058.00
20190929,13166.69,13466,12881,13216.56,12974.17,454887,325,5916601591.00
20190930,13345.24,13345,12585,12967.19,12821.56,341434,270,4388884138.00
20191001,13165.69,13166,12438,12437.53,12514.34,406896,251,5104827327.00
20191002,12369.70,12889,12269,12889.39,12652.99,188081,172,2385716219.00
20191005,13032.03,13032,12884,13032.03,13029.04,286545,158,3742924389.00
20191006,13419.05,13419,12867,13418.05,13416.06,323438,115,4350370467.00
20191007,13817.04,13818,13526,13818.04,13805.07,158145,103,2188648004.00
20191008,14219.02,14219,13391,13391.12,13480.89,113149,88,1529172338.00
20191009,13081.90,13665,13077,13640.49,13129.78,253503,161,3336858686.00
20191012,13522.79,13523,13117,13522.79,13384.14,79766,92,1070339671.00
20191013,13764.18,13764,12983,12983.15,13072.92,128176,119,1679869702.00
20191014,13166.69,13345,12681,12680.92,12688.90,59178,67,752792512.00
20191015,12667.95,12668,12309,12308.86,12313.84,201876,72,2492160196.00
20191016,11944.78,11945,11945,11944.78,11944.78,65474,26,784051150.00
20191020,11348.29,11348,11348,11348.29,11348.29,11540,20,131290580.00
20191021,11008.15,11008,11008,11008.15,11008.15,75800,45,836528800.00
20191022,10972.24,11338,10678,10972.24,10981.22,329994,234,3632876952.00
20191023,11291.43,11310,10972,11310.38,11254.52,101756,71,1148150777.00
20191026,11590.67,11591,10972,10972.24,11173.73,94916,75,1063265030.00
20191028,11371.23,11371,10973,11368.24,11192.68,30403,50,341156460.00
20191030,11527.83,11528,11084,11527.83,11460.00,40320,33,463248165.00
20191102,11803.14,11803,11172,11803.14,11761.24,164833,105,1943548993.00
20191103,12113.35,12113,11967,12113.35,12003.63,149578,67,1799954673.00
20191104,12363.72,12364,11670,11969.72,11841.04,50177,59,595664242.00
20191105,12069.46,12069,11487,11989.66,11869.97,42659,65,507650866.00
20191109,12226.07,12226,11514,11969.72,11907.87,113750,113,1357996728.00
20191110,12226.07,12265,11551,11988.67,11933.81,240605,132,2878523130.00
20191111,11929.82,12291,11621,12248.01,11991.66,276137,210,3319731872.00
20191112,12348.76,12351,11984,12350.75,12320.83,195515,81,2415071096.00
