date,open,high,low,last,close,vol,count,value
20010328,230.37,230,230,230.37,230.37,1000,1,3300000.00
20010331,230.37,230,230,230.37,230.37,600,1,1980000.00
20010407,230.37,230,230,230.37,230.37,732,1,2415600.00
20010408,230.57,231,231,231.06,231.06,2275,4,7526540.00
20010409,231.13,231,231,230.78,230.78,12030,19,39823714.00
20010410,230.78,231,231,230.78,230.78,2290,2,7570740.00
20010414,231.69,232,232,231.76,231.76,1100,2,3651000.00
20010415,232.04,234,232,233.51,233.51,2585,5,8598294.00
20010416,234.07,236,234,235.95,235.95,1842,3,6196980.00
20010417,244.33,248,244,247.75,247.75,5236,7,18479566.00
20010418,252.08,255,252,254.80,254.80,3712,5,13462532.00
20010421,260.66,261,260,260.38,260.38,20345,30,75967595.00
20010422,260.38,261,260,260.38,260.38,6093,6,22730335.00
20010423,260.31,260,260,259.96,259.96,869,2,3237156.00
20010424,259.61,260,260,259.68,259.68,9200,9,34222625.00
20010425,254.87,259,255,254.80,254.80,3586,6,13171207.00
20010428,254.10,254,249,248.52,248.52,12250,12,43858500.00
20010429,248.38,260,248,259.68,259.68,175631,56,647830790.00
20010430,259.68,260,258,259.96,259.96,20461,10,76015060.00
20010501,259.96,262,260,259.89,259.89,20498,26,76303181.00
20010502,259.89,262,260,261.78,261.78,13756,18,51295441.00
20010505,265.27,265,265,265.27,265.27,6223,12,23647445.00
20010506,268.76,269,265,265.27,265.27,20245,26,77438525.00
20010507,265.27,265,265,265.27,265.27,10032,11,38122000.00
20010508,265.34,265,265,265.27,265.27,10248,11,38942800.00
20010509,265.27,267,265,267.36,267.36,4461,3,17011800.00
20010512,268.76,269,269,268.90,268.90,10122,13,38975144.00
20010513,270.85,271,271,270.85,270.85,1277,2,4954760.00
20010515,277.21,277,273,277.21,277.21,2800,5,11073600.00
20010516,284.12,284,284,284.12,284.12,11112,11,45225840.00
20010519,284.89,287,285,286.21,286.21,27359,16,111914766.00
20010520,286.91,289,287,289.07,289.07,6187,6,25520330.00
20010521,291.94,292,292,291.94,291.94,7614,8,31841748.00
20010523,294.80,295,295,294.80,294.80,2762,2,11663926.00
20010526,297.73,298,298,297.73,297.73,1762,4,7514930.00
20010527,300.66,301,301,300.66,300.66,10405,12,44814335.00
20010528,303.66,304,304,303.66,303.66,16132,25,70174200.00
20010529,300.66,307,301,300.66,300.66,27557,35,118980399.00
20010530,300.66,301,298,300.66,300.66,12928,17,55374392.00
20010602,299.41,301,299,300.45,300.45,11750,15,50569450.00
20010603,300.52,301,301,300.52,300.52,9020,16,38835408.00
20010606,300.52,301,301,300.52,300.52,6930,12,29834650.00
20010609,300.52,301,300,300.31,300.31,3334,4,14349411.00
20010611,300.45,300,300,300.31,300.31,14723,24,63334256.00
20010612,300.45,300,300,300.45,300.45,16830,16,72430320.00
20010613,300.45,301,300,300.94,300.94,7519,9,32384610.00
20010616,301.22,301,301,301.01,301.01,35701,36,153975536.00
20010617,302.97,303,303,302.97,302.97,2950,7,12803000.00
20010619,303.66,304,303,303.11,303.11,8712,13,37841546.00
20010620,307.15,307,307,307.43,307.43,6780,8,29842262.00
20010623,307.71,308,307,307.15,307.15,11880,20,52342929.00
20010624,307.15,307,304,303.66,303.66,7735,14,33976853.00
20010625,303.31,303,303,303.31,303.31,1131,1,4914195.00
20010626,296.75,303,297,296.68,296.68,24449,20,103956615.00
20010627,296.68,297,290,296.68,296.68,19830,24,83333378.00
20010725,321.12,326,283,326.42,326.42,774303,134,3521548670.00
20010728,326.42,335,326,334.52,334.52,1277900,8,5975715600.00
20010729,342.83,343,343,342.83,342.83,7617,16,37407087.00
20010730,351.34,351,351,351.34,351.34,14710,19,74035430.00
20010731,360.07,360,343,349.04,349.04,1100373,73,5416315244.00
20010801,349.25,350,348,349.04,349.04,68607,41,343365552.00
20010804,352.53,353,349,353.02,353.02,8326,5,42022350.00
20010805,361.81,362,354,354.20,354.20,24881,28,128273278.00
20010806,354.69,360,355,356.93,356.93,11433,11,58453984.00
20010807,359.93,360,358,359.93,359.93,28867,25,148409798.00
20010808,359.93,363,360,363.00,363.00,9775,13,50671923.00
20010811,372.08,372,363,372.08,372.08,27616,33,146186538.00
20010812,377.10,381,377,381.36,381.36,18843,21,102602418.00
20010813,385.13,385,385,385.13,385.13,3462,4,19099854.00
20010814,388.97,389,389,388.97,388.97,40148,48,223704656.00
20010815,392.81,393,393,392.81,392.81,4912,10,27639824.00
20010818,396.72,397,397,396.72,396.72,7575,9,43048725.00
20010820,400.63,401,401,400.63,400.63,17123,16,98268897.00
20010821,400.63,405,401,400.63,400.63,39391,61,227306342.00
20010822,400.00,401,397,396.65,396.65,5933,11,33974303.00
20010825,392.74,393,393,392.74,392.74,3028,3,17035528.00
20010826,388.83,389,389,388.83,388.83,1378,3,7675460.00
20010827,379.13,379,379,379.13,379.13,31000,20,168361000.00
20010918,209.42,220,209,219.89,219.89,1100,2,3315000.00
20010919,226.88,231,223,230.85,230.85,13205,13,42780122.00
20010922,236.58,237,237,236.58,236.58,26690,11,90452410.00
20010923,242.44,242,242,242.44,242.44,426,3,1479498.00
20010924,244.82,245,245,244.82,244.82,7793,13,27330051.00
20010925,247.26,247,247,247.26,247.26,5843,17,20695906.00
20010926,249.70,250,250,249.70,249.70,2150,3,7690550.00
20010929,252.15,252,252,252.15,252.15,2013,2,7270956.00
20010930,254.66,255,255,254.66,254.66,4243,11,15478464.00
20011002,257.17,257,257,257.17,257.17,1000,12,3684000.00
20011003,259.68,260,260,259.68,259.68,1000,1,3720000.00
20011006,262.27,262,262,262.27,262.27,2650,3,9956050.00
20011007,264.85,265,265,264.85,264.85,1464,3,5554416.00
20011008,267.43,267,267,267.43,267.43,25270,37,96809370.00
20011009,270.09,270,270,270.09,270.09,31776,21,122941344.00
20011010,272.74,273,267,267.43,267.43,62267,79,241625279.00
20011013,267.64,270,267,270.09,270.09,16356,16,62921466.00
20011014,272.74,273,273,272.74,272.74,8165,16,31900655.00
20011016,275.46,275,275,275.46,275.46,6000,6,23676000.00
20011017,278.18,278,278,278.18,278.18,8393,8,33446105.00
20011020,280.91,281,281,280.91,280.91,10000,8,40240000.00
20011021,283.70,284,284,283.70,283.70,2793,3,11350752.00
