date,open,high,low,last,close,vol,count,value
20160709,10014.03,10014,10014,10014.03,10014.03,10001438,151,100014380000.00
20160710,10014.03,10014,10014,10014.03,10014.03,121095,12,1210950000.00
20160711,10014.03,10014,10014,10014.03,10014.03,5526232,76,55262320000.00
20160712,10014.03,10014,10014,10014.03,10014.03,56093767,45,560937670000.00
20160713,10014.03,10014,10014,10014.03,10014.03,2543548,207,25435480000.00
20160810,10179.26,10186,10177,10186.27,10184.27,46320,117,471058800.00
20160813,10205.30,10205,10197,10198.29,10197.29,2021996,52,20590128474.00
20160814,10204.30,10213,10204,10213.31,10210.31,2904200,52,29610933800.00
20160815,10207.30,10208,10207,10207.30,10207.30,1000200,23,10195168900.00
20160816,10214.31,10214,10213,10213.31,10213.31,1016794,29,10370285016.00
20160817,10220.32,10233,10220,10233.34,10233.34,40460,4,413456190.00
20160820,10237.34,10237,10236,10236.34,10237.34,351000,12,3588105604.00
20160821,10255.37,10255,10255,10255.37,10255.37,3315,2,33948915.00
20160822,10260.38,10261,10260,10261.38,10261.38,30610,2,313655670.00
20160823,10259.37,10259,10252,10252.36,10252.36,81350,15,832880209.00
20160824,10258.37,10271,10257,10271.39,10265.38,66545,8,682161630.00
20160827,10275.40,10288,10275,10288.41,10280.40,8655,7,88855055.00
20160828,10293.42,10294,10280,10281.40,10281.40,1503035,44,15432016270.00
20160829,10287.41,10287,10287,10287.41,10287.41,3000120,67,30820232760.00
20160830,10302.43,10316,10302,10302.43,10303.44,31753,8,326703179.00
20160831,10309.44,10322,10309,10322.46,10320.46,303038,13,3123132904.00
20160903,10325.47,10339,10325,10339.49,10339.49,270155,34,2789297762.00
20160904,10339.49,10344,10339,10344.49,10343.49,95973,15,991314410.00
20160905,10337.48,10351,10336,10336.48,10348.50,17599,14,181861671.00
20160906,10354.51,10357,10348,10356.51,10350.50,2594362,59,26814815236.00
20160907,10348.50,10363,10348,10362.52,10362.52,5015500,72,51900390940.00
20160910,10378.54,10380,10379,10379.54,10379.54,1906800,23,19763978089.00
20160911,10382.55,10385,10383,10384.55,10384.55,112434,9,1165911362.00
20160913,10395.56,10396,10396,10395.56,10395.56,12809,4,132970229.00
20160914,10399.57,10400,10400,10399.57,10399.57,115099,17,1195303115.00
20160917,10414.59,10418,10406,10416.59,10417.60,2456079,71,25549808907.00
20160918,10410.59,10422,10410,10410.59,10409.58,4022031,76,41809071834.00
20160919,10415.59,10422,10416,10415.59,10416.59,4126360,50,42921273030.00
20160921,10427.61,10435,10428,10434.62,10434.62,4380,5,45638221.00
20160924,10442.63,10444,10443,10442.63,10442.63,574316,15,5988968248.00
20160925,10449.64,10453,10449,10448.64,10448.64,208765,14,2178298310.00
20160926,10454.65,10467,10455,10466.66,10462.66,509920,14,5327612390.00
20160927,10459.65,10473,10460,10461.66,10467.67,184000,10,1923339380.00
20160928,10467.67,10468,10466,10465.66,10467.67,23460,7,245221100.00
20161001,10483.69,10496,10483,10482.69,10494.70,14390,8,150806010.00
20161002,10488.70,10489,10489,10488.70,10488.70,6800,2,71223200.00
20161003,10506.72,10507,10495,10506.72,10506.72,8102087,87,85007013214.00
20161004,10499.71,10512,10500,10511.73,10511.73,2005745,26,21054240765.00
20161005,10511.73,10519,10507,10506.72,10506.72,9714080,113,101920937468.00
20161008,10524.75,10525,10524,10523.74,10523.74,11104,8,116693762.00
