date,open,high,low,last,close,vol,count,value
20171018,751.42,751,751,751.42,751.42,360040000,151449,633670400000.00
20171021,788.99,789,789,788.99,788.56,2777088,257,5132058624.00
20171022,827.84,828,828,827.84,827.84,10654003,581,20658111817.00
20171023,868.83,869,831,832.11,856.02,220994535,98521,443032525278.00
20171024,829.12,862,815,849.61,839.79,82611006,32149,162515179970.00
20171025,853.88,875,854,868.83,866.69,41633732,11974,84504250229.00
20171028,869.68,910,867,909.81,897.86,39789824,7702,83679629987.00
20171029,917.92,939,903,905.54,917.92,43761522,7039,94098625265.00
20171030,909.39,914,892,898.71,897.86,20477306,4821,43061094933.00
20171031,905.12,926,897,899.57,912.80,17376154,3068,37151503319.00
20171101,904.69,915,899,913.66,905.97,13020853,2393,27630184557.00
20171104,914.08,951,907,939.27,941.83,42558074,6025,93896715547.00
20171105,952.08,967,927,927.32,944.82,17687999,2593,39146327147.00
20171106,930.73,937,923,935.00,928.17,9929712,1739,21586547311.00
20171107,926.46,941,926,939.27,937.56,8434467,1533,18524784445.00
20171108,939.27,941,927,930.73,932.44,8315712,1035,18157974910.00
20171111,928.17,935,922,932.44,925.61,6548922,1274,14194834967.00
20171112,925.61,965,924,956.78,943.97,10012516,2006,22134603701.00
20171113,960.62,982,952,960.62,967.45,13265050,1866,30059229878.00
20171114,960.62,977,961,965.32,966.60,7456675,1019,16884540981.00
20171115,961.47,981,961,967.02,967.45,5283761,945,11970817011.00
20171118,969.16,969,954,958.48,959.77,6696415,735,15052152262.00
20171120,953.79,961,939,951.65,948.24,7083440,982,15733372693.00
20171121,952.08,982,944,973.43,968.73,9355169,1293,21223859296.00
20171122,973.43,1017,973,1010.57,1011.43,29395535,2538,69644180990.00
20171125,1016.98,1058,1016,1016.12,1035.76,13943635,1614,33830835292.00
20171126,1011.85,1024,996,1013.56,1008.01,9071495,1177,21414998089.00
20171128,1012.28,1033,999,1014.84,1017.40,7631687,987,18184459692.00
20171129,1015.69,1018,995,999.04,999.47,5913895,735,13846950159.00
20171202,1006.30,1007,986,990.50,998.19,2642677,683,6177198410.00
20171203,993.07,999,976,981.97,981.97,10254864,836,23590306041.00
20171204,977.70,1020,976,996.48,993.49,7846085,933,18256937446.00
20171205,1016.12,1033,1004,1022.53,1017.83,4766865,688,11364036975.00
20171209,1020.39,1055,1020,1040.88,1040.03,8475020,974,20644660089.00
20171210,1052.41,1052,1025,1028.93,1031.49,4413704,660,10664581545.00
20171211,1024.66,1030,1008,1029.78,1019.96,12126014,1111,28964235897.00
20171212,1009.72,1071,1010,1070.77,1065.22,23093067,2033,57621900744.00
20171213,1072.90,1106,1060,1083.15,1086.14,8889433,1165,22616152908.00
20171216,1110.90,1131,1084,1116.03,1103.22,12282179,1164,31731632017.00
20171217,1133.53,1158,1111,1141.64,1149.33,22098127,1929,59490752048.00
20171218,1165.55,1166,1115,1131.40,1130.97,4200399,829,11127378825.00
20171219,1130.97,1140,1112,1115.60,1120.72,2970549,892,7796267663.00
20171220,1105.78,1151,1096,1138.23,1122.43,4731796,1782,12441891940.00
20171223,1148.47,1157,1132,1151.46,1147.19,8685698,976,23335546016.00
20171224,1153.60,1154,1128,1131.40,1141.22,5821758,798,15564083890.00
20171225,1131.40,1165,1128,1148.90,1150.18,8907322,914,23999485286.00
20171226,1141.22,1153,1118,1131.40,1131.82,4985569,687,13216408283.00
20171227,1123.28,1123,1102,1110.05,1109.62,6465341,801,16804727657.00
