date,open,high,low,last,close,vol,count,value
20160312,1038.69,1039,1039,1038.69,1038.69,10000,1,10000000.00
20160403,623.21,623,623,623.21,623.21,100000,1,60000000.00
20160525,623.21,623,623,623.21,623.21,100000,1,60000000.00
20160606,623.21,623,623,623.21,623.21,4000,1,2400000.00
20160620,623.21,831,623,830.95,657.49,60000,2,38000000.00
20160629,1038.69,1039,1039,1038.69,1038.69,10000,1,10000000.00
20160710,1038.69,1039,1039,1038.69,1038.69,100,1,100000.00
20160831,1038.69,1039,1039,1038.69,1038.69,50,1,50000.00
20161107,1038.69,1039,1039,1038.69,1038.69,10,1,10000.00
20161214,1038.69,1039,1039,1038.69,1038.69,199850,2,199850000.00
20161221,1038.69,1039,1039,1038.69,1038.69,100000,1,100000000.00
20161228,1038.69,1039,1039,1038.69,1038.69,216400,2,216400000.00
20170104,1038.69,1039,1039,1038.69,1038.69,200000,2,200000000.00
20170325,1038.69,1039,1039,1038.69,1038.69,29166,1,29166000.00
20170409,1038.69,1039,1039,1038.69,1038.69,29256,2,29256000.00
20170417,1038.69,1039,1039,1038.69,1038.69,100000,2,100000000.00
20170530,1038.69,1039,1039,1038.69,1038.69,108200,3,108200000.00
20170610,1038.69,1039,1039,1038.69,1038.69,200000,4,200000000.00
20170705,1038.69,1039,1039,1038.69,1038.69,100000,2,100000000.00
20170715,1038.69,1039,1039,1038.69,1038.69,229900,5,229900000.00
20170718,1038.69,1039,1039,1038.69,1038.69,100000,2,100000000.00
20170819,1038.69,1039,1039,1038.69,1038.69,1000,1,1000000.00
20170916,1038.69,1039,1039,1038.69,1038.69,1000,1,1000000.00
20170917,1038.69,1039,1039,1038.69,1038.69,108200,3,108200000.00
20170927,1038.69,1039,1039,1038.69,1038.69,8200,1,8200000.00
20171014,1038.69,1039,1039,1038.69,1038.69,100000,2,100000000.00
20171122,1038.69,1039,1039,1038.69,1038.69,100000,2,100000000.00
20180117,1038.69,1039,1039,1038.69,1038.69,108200,3,108200000.00
20180128,1038.69,1039,1039,1038.69,1038.69,100000,4,100000000.00
20180218,1142.56,1143,1143,1142.56,1142.56,100000,3,110000000.00
20180227,1256.82,1257,1257,1256.82,1256.82,100073,4,121088330.00
20180228,1382.50,1382,1382,1382.50,1382.50,2200073,63,2928297163.00
20180303,1382.50,1382,1267,1319.14,1347.18,2781343,187,3606308935.00
20180304,1293.17,1346,1213,1221.50,1254.74,2190288,262,2646450800.00
20180305,1246.43,1246,1130,1130.10,1173.72,1630984,128,1843718058.00
20180306,1102.05,1153,1059,1081.28,1078.16,748242,84,776382771.00
20180307,1038.69,1078,992,992.99,1030.38,768888,78,762843884.00
20180310,1039.73,1133,966,1042.85,1069.85,3393594,261,3497019355.00
20180311,1039.73,1091,1028,1090.63,1075.05,1534312,114,1588124394.00
20180312,1090.63,1182,1070,1138.41,1151.91,16049392,1003,17793805555.00
20180313,1163.33,1163,1045,1049.08,1086.47,3457264,423,3617916443.00
20180314,1049.08,1070,979,1015.84,1012.72,1404403,218,1368636609.00
20180317,1032.46,1059,987,986.76,1010.65,824934,119,802900190.00
20180318,1037.65,1038,942,958.71,968.06,995912,174,927827260.00
20180319,957.67,1065,958,1064.66,1044.92,1884867,188,1895410630.00
20180325,1080.24,1089,1018,1038.69,1051.16,975107,177,987221700.00
20180326,1036.61,1129,987,1095.82,1050.12,1344481,207,1359594479.00
20180327,1069.85,1120,1066,1104.13,1093.74,1389753,151,1463219401.00
20180328,1101.01,1203,1091,1202.80,1165.41,3176612,339,3565344574.00
20180403,1245.39,1282,1187,1281.74,1268.24,2233666,236,2726282682.00
20180404,1349.26,1395,1300,1394.96,1380.42,1099032,94,1460995415.00
20180407,1454.17,1506,1270,1390.81,1392.88,3004630,430,4029358241.00
20180408,1412.62,1413,1254,1253.70,1257.85,4954482,444,5998664341.00
20180409,1278.63,1384,1209,1276.55,1320.18,3250732,329,4130823393.00
20180410,1327.45,1376,1247,1287.98,1308.75,1627825,209,2050334771.00
20180411,1289.02,1330,1226,1272.40,1251.62,1747367,175,2105336961.00
20180415,1313.94,1314,1205,1289.02,1244.35,585897,85,701621088.00
20180416,1268.24,1362,1268,1345.10,1346.14,781920,96,1013056044.00
20180417,1336.80,1410,1298,1298.36,1323.29,966707,147,1231120905.00
20180418,1298.36,1336,1218,1272.40,1257.85,858965,131,1040535683.00
20180421,1257.85,1337,1257,1267.20,1297.33,291767,75,364395237.00
20180422,1277.59,1336,1231,1302.52,1303.56,463920,89,582127374.00
20180423,1269.28,1291,1226,1273.44,1244.35,642739,71,769802578.00
20180424,1280.71,1350,1236,1350.30,1311.87,1205357,139,1522389387.00
20180425,1362.76,1443,1361,1381.46,1404.31,3806475,382,5146721184.00
20180428,1373.15,1393,1332,1355.49,1356.53,761060,93,993742500.00
20180429,1379.38,1379,1284,1283.82,1311.87,322049,67,406759663.00
20180430,1269.28,1326,1260,1268.24,1281.74,216889,91,267613216.00
20180501,1323.29,1392,1265,1277.59,1314.98,349661,67,442594529.00
20180505,1270.32,1389,1270,1319.14,1351.34,60786,17,79071762.00
20180506,1298.36,1319,1246,1279.67,1281.74,291395,62,359527538.00
20180507,1248.51,1316,1249,1276.55,1271.36,217052,60,265749858.00
20180508,1284.86,1319,1252,1256.82,1283.82,499449,92,617406792.00
20180509,1246.43,1267,1211,1246.43,1236.04,492481,79,586268853.00
20180512,1303.56,1306,1236,1246.43,1278.63,383120,79,471752413.00
20180513,1247.47,1335,1247,1305.63,1287.98,266733,55,330852997.00
20180514,1316.02,1417,1250,1407.43,1373.15,1782418,208,2355932691.00
20180515,1402.23,1510,1402,1506.10,1473.90,1452661,187,2061918130.00
20180516,1546.61,1558,1392,1433.39,1458.32,544708,153,764988472.00
20180519,1454.17,1596,1454,1572.58,1552.84,1091585,182,1632187314.00
20180520,1465.59,1660,1466,1541.42,1549.73,340556,77,507947465.00
20180521,1575.69,1576,1454,1488.44,1498.83,587451,143,847510758.00
20180522,1427.16,1473,1423,1454.17,1437.55,466119,73,645062087.00
20180523,1391.85,1523,1379,1415.74,1417.81,1517312,147,2071483351.00
20180526,1408.46,1521,1408,1492.60,1464.55,1113360,163,1570171639.00
20180527,1464.55,1465,1444,1448.97,1456.24,365452,49,512196188.00
20180528,1434.43,1484,1417,1454.17,1456.24,758176,107,1062884590.00
20180529,1482.21,1564,1458,1546.61,1525.84,481305,105,707217745.00
20180530,1558.04,1558,1423,1433.39,1464.55,1666156,250,2349115570.00
20180602,1452.09,1558,1405,1542.46,1493.64,3132213,295,4503675683.00
20180603,1496.75,1558,1433,1448.97,1491.56,1428074,182,2051396055.00
20180609,1534.15,1534,1459,1485.33,1489.48,309225,35,443370097.00
20180610,1499.87,1516,1455,1506.10,1504.02,414417,52,599991557.00
20180611,1506.10,1586,1506,1557.00,1553.88,982364,112,1469859296.00
20180612,1593.35,1593,1508,1537.26,1538.30,702629,69,1040386046.00
20180613,1568.42,1587,1480,1559.08,1533.11,957718,135,1413127754.00
20180617,1568.42,1580,1506,1535.19,1538.30,1053509,140,1560076851.00
20180618,1557.00,1557,1456,1491.56,1523.76,923026,122,1353775652.00
20180619,1485.33,1507,1457,1485.33,1468.71,557138,73,787998512.00
20180620,1458.32,1553,1437,1480.13,1500.91,980323,128,1416446122.00
20180623,1535.19,1535,1454,1456.24,1477.02,334456,56,475626690.00
20180624,1460.40,1548,1454,1454.17,1475.98,896065,117,1273513729.00
20180703,1454.17,1610,1388,1438.59,1463.52,366177,46,516071009.00
20180704,1438.59,1536,1439,1494.68,1479.10,67865,38,96629854.00
20180707,1506.10,1511,1402,1454.17,1415.74,391190,86,533298979.00
20180708,1441.70,1442,1310,1337.83,1359.65,868240,91,1136405412.00
20180710,1399.12,1454,1331,1381.46,1362.76,438869,75,575727470.00
20180711,1394.96,1440,1299,1299.40,1353.41,436644,50,568979357.00
20180714,1350.30,1421,1283,1305.63,1341.99,514104,81,664294027.00
20180715,1385.61,1391,1281,1284.86,1332.64,348552,51,447286316.00
20180716,1304.60,1321,1272,1297.33,1297.33,139391,32,174165542.00
20180717,1377.30,1377,1270,1297.33,1320.18,112458,21,142892849.00
20180718,1294.21,1311,1250,1253.70,1271.36,373000,65,456510886.00
20180721,1246.43,1350,1246,1321.21,1313.94,860808,76,1088557161.00
20180722,1358.61,1367,1297,1306.67,1340.95,290560,62,375179394.00
