date,open,high,low,last,close,vol,count,value
20200205,26250.70,26251,26251,26250.70,26250.70,49124809,1292789,1449181865500.00
20200208,27563.24,27563,27563,27563.24,27563.24,73759,2069,2284685025.00
20200209,28940.73,28941,28941,28940.73,28940.73,67949,1898,2209905327.00
20200210,30387.63,30388,30388,30387.63,30387.63,86512,2535,2954298288.00
20200212,31906.62,31907,31907,31906.62,31906.62,62096,1816,2226514176.00
20200215,33501.23,33501,33501,33501.23,33501.23,127604,2461,4804035392.00
20200216,35175.94,35176,35176,35175.94,35175.94,101935,2818,4029490550.00
20200217,36934.29,36934,36934,36934.29,36934.29,145157,3288,6024886442.00
20200218,38780.74,38781,38781,38780.74,38780.74,159584,4557,6954830304.00
20200219,40719.73,40720,40720,40719.73,40719.73,45325,1294,2074072000.00
20200224,42755.72,44893,42756,44893.15,44870.01,3355763,6067,169210327748.00
20200225,47113.34,47113,47113,47113.34,47113.34,276626,4287,14645963570.00
20200226,49468.78,49469,49469,49468.78,49468.78,3407104,7239,189407725568.00
20200229,51941.68,51942,51942,51941.68,51941.68,740282,12649,43211000622.00
20200301,54538.28,54538,54538,54538.28,54538.28,3386783,8062,207572543287.00
20200302,57264.79,60127,57265,60127.45,59862.28,921643,13308,62001210081.00
20200303,62854.86,62855,62855,62854.86,62854.86,901025,16269,63643900875.00
20200304,65996.93,65997,65997,65996.93,64393.42,440309,13676,32655957294.00
20200307,67612.91,67613,61174,67612.91,67612.91,2155747,53679,163797271716.00
20200309,70993.46,74543,70993,74543.09,74208.51,13011216,79131,1085055215998.00
20200310,74658.77,77918,70499,75059.21,76541.71,19573578,233585,1683637683391.00
20200311,76509.67,76510,72715,72715.33,73589.17,7762562,108773,641949588868.00
20200314,69910.51,69911,69911,69910.51,71043.30,418436,1743,32874005904.00
20200315,67491.89,67492,67492,67491.89,67491.89,1001647,787,75970918362.00
20200316,70565.44,70866,64118,69008.20,68084.53,8853254,88064,677382436195.00
20200317,68428.01,69210,64681,66454.32,66433.85,7127381,49635,532107748660.00
20200318,67184.00,69755,66561,69754.79,68973.50,5252701,27690,407143487820.00
20200324,71275.55,72422,68519,72421.68,70755.87,3094377,23109,246046736077.00
20200325,73412.98,74293,72790,74293.04,73937.10,1495130,8501,124228583676.00
20200328,77633.56,77634,77634,77633.56,77315.88,550093,5217,47991763599.00
20200329,81181.41,81181,73450,78812.61,78816.17,5270370,18750,466807886775.00
20200330,78307.18,80977,74876,77194.86,77240.24,5909997,32178,512995881554.00
20200404,77239.35,80087,74746,75103.70,76445.60,5684035,37156,488305843167.00
20200405,74035.88,74481,72624,72623.68,72968.94,1359464,6596,111477887277.00
20200406,69320.54,76527,69321,73724.43,72661.05,6520240,53009,532408443339.00
20200407,73510.86,76293,73511,74721.06,75608.25,4824591,46492,409931704253.00
20200408,76972.40,76972,71829,72371.85,73655.91,4726597,43829,391232459529.00
20200411,71198.13,72967,69974,69973.69,70583.24,4548867,25782,360816728831.00
20200412,68607.77,72434,68608,69586.61,70553.88,3280209,20644,260078475770.00
20200413,69724.53,70743,67630,67984.87,68533.02,2659563,15286,204829539667.00
20200414,67054.08,69407,65108,65764.68,66222.07,3543299,40340,263689685842.00
20200415,65137.33,69532,65137,69532.32,69193.29,2625289,24622,204136794816.00
20200418,72345.15,72652,71455,72652.15,72452.83,2153445,11502,175335036842.00
20200419,74569.79,74570,68830,68835.57,70795.92,4082481,14835,324796139384.00
20200420,69230.66,72555,69231,69764.58,70491.59,2839335,12571,224924368770.00
20200421,69675.59,71901,68519,68685.18,69312.53,2714563,11864,211443510718.00
20200422,69052.69,72778,69053,72777.62,71595.01,4138089,14310,332940032820.00
20200425,75169.55,75174,73858,75174.00,75104.59,3713138,9112,313392153160.00
20200426,78573.24,78573,72256,73858.80,75217.60,5089229,12918,430181010522.00
20200427,73857.91,73930,71817,72095.10,72802.54,3601270,13403,294635444210.00
20200428,72802.54,73223,72524,72790.08,72903.98,2708937,11899,221937018098.00
20200429,72256.17,76527,72256,76081.65,75737.28,4098820,12950,348857640508.00
20200502,78218.19,79524,76626,79523.61,79165.00,4519212,8825,402046975148.00
20200503,83123.07,83123,83123,83123.07,83123.07,832595,3330,77774364140.00
20200504,83112.39,86316,79197,84110.81,83145.31,5535350,12864,517206836380.00
20200505,87081.14,87095,78989,78988.81,81685.06,6905419,12611,633891728644.00
20200506,77601.52,81653,77602,80016.59,79523.61,3456887,10364,308933295449.00
20200509,83497.70,83499,83424,83499.48,83498.59,4074037,7857,382282835375.00
20200510,87649.76,87673,84536,87672.89,87207.50,4913570,10898,481539875461.00
20200511,89578.96,91475,83201,84536.16,87292.04,4070404,11784,399292484702.00
20200512,83023.40,86921,82928,82928.19,83222.73,879316,1924,82237361253.00
20200513,79061.77,84714,79062,79061.77,80589.65,3998103,9952,362089206565.00
20200516,77120.11,80354,76560,76560.39,77172.61,942307,2085,81721170336.00
20200517,73314.20,75647,73314,73314.20,73637.22,3230749,9158,267350418116.00
20200518,76083.43,77319,73859,77318.55,76924.34,2910997,8663,251643384816.00
20200519,78307.18,80076,74927,75237.18,77104.09,1895477,7976,164239223048.00
20200520,75993.56,76083,73249,73249.25,73495.73,2031318,8220,167773425550.00
20200523,69821.53,72968,69822,69852.67,70520.06,2014275,7962,159629126297.00
20200526,68963.71,73857,67629,68320.34,70632.18,2176758,9656,172780936881.00
20200527,67940.37,74163,67940,74163.13,73652.35,1522543,6358,126019839521.00
20200530,77334.57,77335,77335,77334.57,77047.14,556915,2912,48399811905.00
20200531,80899.32,80899,73966,75548.63,77566.82,1940610,5022,169158940909.00
20200601,75636.72,79188,73903,75103.70,76436.70,1207165,4246,103693650769.00
20200602,75197.14,79642,75193,76705.44,77576.61,2082538,5847,181553361728.00
20200606,78691.59,80971,74750,79639.29,78738.76,2413326,6211,213543391317.00
20200607,81158.27,81158,77418,78359.68,79779.89,3435012,7784,307965690956.00
