date,open,high,low,last,close,vol,count,value
20140114,11183.31,11183,11183,11183.31,11183.31,93000,2,1860000000.00
20180128,16774.96,16775,16775,16774.96,15555.66,6256,1,164220000.00
20180130,23333.50,0,0,23333.50,21638.11,6256,1,228425328.00
20180228,23346.61,23347,23347,23346.61,23346.61,6256,4,164307584.00
20180303,25672.03,25679,25672,25679.14,25673.81,2756,3,79599328.00
20180403,28241.01,28241,28241,28241.01,28241.01,5410,10,171875700.00
20180430,28241.01,28241,28241,28241.01,28241.01,350,2,11119500.00
20180507,31065.11,31065,31065,31065.11,28241.90,44,1,1537668.00
20180509,31067.78,31068,31068,31067.78,28397.46,5500,2,192225000.00
20180627,31236.67,31237,31237,31236.67,28526.35,4554,1,160027560.00
20180811,32507.63,40635,32508,40634.54,29130.45,5890,2,252990000.00
20180905,42440.52,42441,42441,42440.52,29266.80,1027,2,48269000.00
20180912,42440.52,42441,42441,42440.52,29795.05,4007,11,188329000.00
20181006,42440.52,42441,42441,42440.52,29902.51,850,1,39950000.00
20181010,42440.52,42441,42441,42440.52,29921.47,150,1,7050000.00
20181017,42440.52,42441,42441,42440.52,30174.31,2022,2,95034000.00
20190731,34674.02,34674,34674,34674.02,30849.17,15000,3,558750000.00
20190803,37139.83,37140,37140,37139.83,30897.58,772,1,30802028.00
20190805,37154.72,37155,37155,37154.72,31662.73,12228,3,488080620.00
20190814,37233.85,37234,37234,37233.85,31670.18,133,3,5320000.00
20190819,37140.76,37141,37141,37140.76,31705.55,644,2,25695600.00
20191007,32655.94,32656,32656,32655.94,32655.94,122,2,4280004.00
20191211,33635.19,33635,33635,33635.19,33635.19,1876,1,67787384.00
20200805,34644.23,34644,34644,34644.23,33661.04,14750,2,533773000.00
20201110,35344.05,35344,35344,35344.05,33661.04,140,1,5168660.00
20210130,35344.05,35344,35344,35344.05,33662.00,360,2,13290840.00
