date,open,high,low,last,close,vol,count,value
20160503,1048.34,1048,1048,1048.34,1048.34,11000,2,13200000.00
20160515,1048.34,1048,1048,1048.34,1048.34,835,1,1002000.00
20160518,1048.34,1136,1048,1135.71,1127.84,10000,3,12913400.00
20160521,1135.71,1136,1136,1135.71,1135.71,100,1,130000.00
20160531,1048.34,1136,1048,1135.71,1061.45,5897,3,7166001.00
20161107,1070.44,1070,1070,1070.44,1070.44,3000,1,3570000.00
20170329,1078.54,1119,1079,1078.54,1081.24,28404,9,34151210.00
20170410,1095.63,1096,1096,1095.63,1095.63,1090,2,1327620.00
20170412,1106.42,1124,1106,1124.41,1118.12,7134,3,8867500.00
20170415,1128.91,1230,1129,1229.66,1159.50,19784,7,25499120.00
20170416,1169.39,1275,1160,1274.64,1248.55,13200,4,18326000.00
20170417,1259.34,1259,1259,1259.34,1259.34,1000,1,1400000.00
20170419,1523.81,1524,1524,1523.81,1523.81,26501,8,40811540.00
20170424,1676.19,1676,1647,1647.49,1669.26,8480,24,14302120.00
20170426,1669.26,1669,1669,1669.26,1669.26,11363,4,19169381.00
20170429,1503.03,1503,1503,1503.03,1503.03,6237,2,9474003.00
20170510,1353.62,1354,1354,1353.62,1353.62,12276,6,16793568.00
20170513,1353.62,1354,1354,1353.62,1353.62,1000,1,1368000.00
20170515,1335.80,1484,1336,1484.23,1462.46,22406,9,33116700.00
20170516,1484.23,1484,1484,1484.23,1484.23,1000,1,1500000.00
20170520,1484.23,1484,1484,1484.23,1484.23,66,1,99000.00
20170521,1365.49,1365,1336,1335.80,1341.74,5231,5,7092865.00
20170522,1433.76,1435,1434,1434.75,1434.75,7852,3,11382385.00
20170524,1504.02,1578,1504,1523.81,1525.79,10584,4,16324360.00
20170527,1484.23,1678,1484,1678.17,1569.32,8000,6,12689000.00
20170529,1504.02,1726,1504,1725.66,1615.83,12788,8,20883424.00
20170530,1777.12,1777,1506,1777.12,1709.83,9268,3,16017594.00
20170531,1830.55,1880,1553,1880.02,1851.33,12835,8,24010950.00
20170603,2028.44,2036,2028,2036.36,2035.37,22770,7,46841900.00
20170607,2238.22,2238,2238,2238.22,2238.22,24701,11,55873662.00
20170611,2461.84,2462,2462,2461.84,2461.84,239700,14,596373600.00
20170614,2707.23,2707,2707,2707.23,2707.23,111304,17,304527744.00
20170617,2977.36,2977,2977,2977.36,2977.36,147804,10,444742236.00
20170618,3274.21,3274,3274,3274.21,3274.21,80994,11,268009146.00
20170619,3600.74,3601,3295,3600.74,3562.15,925089,128,3329883240.00
20170620,3760.04,3760,3206,3473.09,3402.84,507312,70,1744481962.00
20170621,3402.84,3742,3403,3741.24,3739.26,510553,139,1929222510.00
20170624,4101.42,4101,3366,3384.04,3562.15,301313,92,1084688973.00
20170625,3658.13,3887,3384,3760.04,3630.42,605702,123,2222293780.00
20170628,3858.99,3993,3681,3992.57,3925.29,258378,78,1024960021.00
20170701,4317.12,4317,3988,4317.12,4302.28,965959,178,4200113447.00
20170702,4650.58,4651,3960,4007.41,4275.57,48430,15,209255500.00
20170703,4341.86,4441,4106,4106.36,4376.49,268832,37,1189025920.00
20170704,3939.14,4789,3939,4352.75,4511.06,1220621,234,5564767184.00
20170705,4304.26,4547,4062,4061.84,4306.24,271437,67,1181309052.00
20170708,4298.32,4298,3876,3875.81,3928.26,406135,98,1612446039.00
20170709,3581.94,4057,3535,4056.89,3785.77,575126,159,2200653536.00
20170710,4163.75,4164,3463,4056.89,3976.74,354377,127,1424090717.00
20170711,4056.89,4245,3763,3955.96,3999.50,461219,114,1864404165.00
20170712,4150.89,4151,3600,3599.75,3639.33,332834,87,1224146500.00
20170715,3512.67,3705,3276,3277.17,3304.88,1209764,192,4040567027.00
20170716,3458.25,3458,3119,3304.88,3268.27,162477,67,536677115.00
20170717,2978.35,3243,2942,2969.44,2989.23,555244,114,1677415790.00
20170718,2795.30,3164,2781,2968.46,2975.38,167057,51,502382187.00
20170723,3272.82,3273,3273,3272.82,3272.82,137178,23,455842494.00
20170725,3599.81,3600,3600,3599.81,3599.81,91773,15,335430315.00
20170726,3959.30,3959,3959,3959.30,3959.30,474962,82,1909347240.00
20170729,4355.23,4355,4274,4355.23,4353.26,609323,112,2693419040.00
20170730,4727.52,4789,4627,4788.58,4757.07,399663,68,1930270880.00
20170731,5231.79,5233,4829,5232.77,5210.12,337464,119,1785353012.00
20170801,5731.13,5731,5731,5731.13,5731.13,11761,10,68437259.00
20170802,6303.36,6303,5733,5889.70,6115.24,1032502,361,6410660625.00
20170806,5527.26,5712,5505,5504.60,5530.21,848733,231,4765605385.00
20170807,5652.34,5653,5045,5466.19,5416.95,564724,132,3106134211.00
20170816,5909.40,5909,5909,5909.40,5909.40,55357,12,332142000.00
20170819,6303.36,6500,5909,6500.34,6228.51,474125,184,2998390941.00
20170820,6844.07,6851,6206,6850.96,6664.82,237690,85,1608519828.00
20170821,7330.61,7331,7200,7330.61,7326.67,628563,248,4675973431.00
20170822,8015.11,8015,6595,6608.68,7043.02,1085359,399,7761302780.00
20170823,6500.34,6893,6339,6338.81,6401.85,348611,158,2265849705.00
20170826,5924.17,7042,5924,7041.05,6871.64,935942,317,6529911705.00
20170827,6894.30,7482,6703,6914.00,7167.11,226601,116,1649045147.00
20170828,7287.27,7288,6451,6463.90,6610.65,383256,165,2572505833.00
20170829,6204.87,6481,5950,6056.15,6061.07,505741,223,3112266041.00
20170830,6372.30,6667,6022,6666.79,6553.52,595171,155,3960154058.00
20170902,6894.30,7208,6894,7077.49,7092.26,524509,140,3776782095.00
20170903,7081.43,7189,6502,6521.02,6832.25,103118,44,715350608.00
20170904,6401.85,6993,6382,6943.54,6851.95,70548,50,490801717.00
20170905,7091.28,7091,6614,6894.30,6807.63,70945,42,490359577.00
20170906,6845.05,6893,6520,6776.11,6773.15,27428,23,188610633.00
20170910,6257.07,6844,6257,6352.60,6350.63,176710,53,1139434576.00
20170911,5990.16,6737,5990,6342.75,6252.14,94113,48,597397905.00
20170912,6342.75,6402,6126,6204.87,6212.75,69129,29,436058751.00
20170913,6126.08,6298,6018,6116.23,6096.53,79714,34,493409110.00
20170916,6283.66,6359,6128,6320.10,6177.29,47485,25,297804690.00
20170917,6107.36,6795,6107,6460.94,6637.24,104680,64,705454669.00
20170918,6893.31,6893,6304,6304.34,6337.83,147484,49,949012022.00
20170920,6456.02,6456,5909,6106.38,6043.34,85365,52,523794639.00
20170923,6007.89,6126,5772,5820.76,5915.31,224007,90,1345340671.00
20170924,5324.37,6106,5324,5965.54,5904.47,182387,91,1093434338.00
20170925,6192.06,6402,6109,6137.89,6257.07,149877,69,952198430.00
20170926,6270.86,6271,5831,5909.40,5968.49,37663,25,228246731.00
20170927,5732.12,5998,5714,5958.64,5921.22,99840,37,600244592.00
20171002,6006.90,6205,5814,6204.87,6039.40,93442,46,573028432.00
20171003,5940.91,6087,5871,6086.68,5931.07,14857,7,89470577.00
20171004,5820.76,6204,5817,6202.90,6082.74,55569,53,343199498.00
20171007,5949.78,6313,5950,6293.51,6212.75,7167,13,45206596.00
20171008,6352.60,6353,5592,5592.26,5679.92,106914,40,616544380.00
20171009,5955.69,6244,5515,6007.89,5845.38,32195,25,191087064.00
20171010,5566.65,6008,5526,5639.54,5735.07,21663,16,126135188.00
20171011,5663.17,5663,5319,5319.44,5527.26,43733,30,245413008.00
20171014,5377.55,5643,5121,5416.95,5290.88,106617,49,572784798.00
20171015,5318.46,5397,5316,5315.50,5322.40,42513,12,229721528.00
20171016,5305.65,5514,5161,5494.76,5376.57,30995,33,169215581.00
20171017,5318.46,5506,4924,5219.97,5134.28,204015,74,1063467633.00
20171018,5492.79,5647,5485,5647.41,5567.64,72390,50,409220506.00
20171021,5810.91,5860,5137,5416.95,5389.37,72677,48,397699053.00
20171022,5181.56,5703,5182,5549.91,5482.94,120632,53,671594490.00
20171023,5640.52,6031,5476,6030.54,5926.14,177618,93,1068810227.00
20171024,5763.63,6392,5764,6105.39,6152.67,110882,72,692709907.00
20171025,6351.62,6352,5712,5799.09,5907.43,130888,59,785083481.00
20171028,6062.06,6087,5909,5974.40,6053.19,51724,36,317884317.00
20171029,5623.78,6126,5624,6101.45,6045.31,86061,48,528284830.00
20171030,5471.12,6205,5471,6106.38,6084.71,123447,79,762699410.00
20171031,5914.32,6301,5606,5888.72,5794.16,500905,198,2946914631.00
20171101,5727.19,6042,5629,5909.40,5791.21,53501,52,314569503.00
20171104,6105.39,6342,5909,5911.37,6099.48,268367,153,1661914901.00
20171105,6106.38,6499,6105,6135.92,6248.20,119496,83,758042804.00
20171106,6326.01,6326,5666,5811.89,5936.98,116250,63,700730965.00
20171107,5751.81,6006,5703,5988.19,5763.63,65530,26,383502483.00
20171108,5741.96,6087,5712,5938.94,5845.38,195159,59,1158192625.00
20171111,5801.06,6229,5801,6116.23,6124.11,112301,125,698248445.00
20171112,5942.88,6401,5943,6047.28,6188.12,145611,67,914818255.00
20171113,6061.07,6291,6061,6144.79,6085.69,56969,35,351993560.00
20171114,6107.36,6213,6050,6050.24,6070.92,48829,33,300970225.00
20171115,6050.24,6438,5722,6349.65,6228.51,211701,142,1338725076.00
20171118,6372.30,6697,6254,6264.95,6393.97,68353,59,443765886.00
20171120,6489.50,6490,6212,6211.76,6383.13,132850,49,860993176.00
20171121,6208.81,6490,6204,6293.51,6297.45,61965,69,396176652.00
20171122,6401.85,6402,6126,6302.37,6167.44,101899,25,638044619.00
20171125,5930.08,6392,5930,5939.93,6097.51,8225,41,50918374.00
20171126,6273.81,6274,5960,6180.25,5998.04,24505,28,149234566.00
20171128,6104.41,6598,6104,6597.84,6502.31,365112,140,2410577168.00
20171129,6520.04,7091,6227,6401.85,6498.37,146066,53,963806703.00
20171202,6156.61,6306,6126,6306.31,6192.06,31697,10,199294735.00
20171203,6106.38,6205,6105,6204.87,6109.33,5325,6,33031340.00
20171204,6520.04,6589,5812,5930.08,5941.90,122282,40,737718903.00
20171205,6276.77,6277,5772,5805.98,5849.32,33095,31,196547575.00
20171209,5433.69,6244,5434,6007.89,6036.45,188059,107,1152536257.00
20171210,6174.34,6175,5634,5633.63,5805.98,54110,39,318972027.00
20171211,5318.46,5975,5318,5712.42,5664.16,42890,53,246662342.00
20171212,5836.52,5837,5437,5466.19,5511.50,99550,36,557126064.00
20171213,5319.44,5663,5033,5096.86,5178.60,102805,49,540584585.00
20171216,5121.48,5696,5092,5695.67,5565.67,184611,89,1043206194.00
20171217,6122.14,6122,6122,6122.14,6122.14,34605,15,215104680.00
20171218,6207.82,6208,5880,5909.40,5996.07,86004,68,523598507.00
20171219,5910.38,6595,5811,6594.89,6393.97,145162,69,942362850.00
20171220,6588.98,7033,6589,7033.17,7000.67,581393,216,4132572507.00
20171223,7698.96,7700,7200,7699.95,7643.81,375935,148,2917462017.00
20171224,8406.12,8406,7397,7897.91,7999.36,163645,95,1329044429.00
20171225,7240.00,7943,7200,7199.62,7236.06,155312,87,1141100482.00
20171226,7534.48,7534,6523,6895.28,6854.90,159832,68,1112405083.00
20171227,7445.84,7533,6806,6920.89,7121.81,68946,25,498545502.00
20171230,6920.89,7091,6620,6795.81,6774.14,37420,26,257372020.00
20171231,6099.48,6547,6098,6497.38,6100.47,86895,54,538194701.00
20180101,6687.47,6687,5491,5674.01,5573.55,268376,119,1518667304.00
20180102,5623.78,5998,5624,5771.51,5842.42,57530,44,341274122.00
20180103,5535.14,6129,5269,5663.17,5479.00,148201,79,824421119.00
20180106,5219.97,5860,5023,5800.07,5518.39,51935,52,290967705.00
20180107,5876.90,5988,5624,5624.76,5750.83,87285,69,509625394.00
20180108,5906.44,5906,5515,5604.08,5587.34,43930,31,249196576.00
20180109,5761.66,5762,5421,5515.44,5511.50,13453,19,75284633.00
20180110,5436.65,5634,5418,5633.63,5433.69,41492,17,228900132.00
20180113,5427.78,5712,5418,5429.75,5432.71,24063,24,132739027.00
20180114,5219.97,5702,5220,5530.21,5590.29,36899,24,209449296.00
20180115,5416.95,5797,5379,5378.54,5488.85,73187,41,407851104.00
20180116,5389.37,5417,5307,5318.46,5326.34,38373,33,207533586.00
20180117,5318.46,5407,5318,5350.96,5358.84,5576,14,30336793.00
20180120,5349.97,5369,5185,5194.36,5266.26,108599,40,580709674.00
20180121,4840.78,5391,4841,5121.48,4978.67,113741,47,574927017.00
20180122,5095.87,5378,5096,5295.81,5246.56,91990,34,490002923.00
20180123,5262.32,5663,5259,5319.44,5446.50,137175,61,758613108.00
20180124,5673.02,5797,5271,5797.12,5600.14,65204,40,370748231.00
20180127,5466.19,5747,5041,5040.72,5116.55,366747,165,1905404379.00
20180128,4658.58,5256,4659,5122.46,5062.38,105408,57,541746891.00
20180129,5170.72,5215,4924,5013.14,5057.46,7528,13,38653451.00
20180130,5088.98,5120,4885,5120.49,5076.17,35010,28,180452033.00
20180131,4826.01,5269,4826,5141.18,5074.20,38384,32,197737890.00
20180203,5170.72,5292,4951,5210.12,5070.26,5445,8,28032043.00
20180204,5259.36,5259,5023,5121.48,5097.84,25470,14,131833600.00
20180205,5218.98,5219,5044,5209.13,5208.15,7815,11,41323707.00
20180206,5219.97,5220,4974,5170.72,5153.00,13519,10,70731181.00
20180207,5101.78,5121,5102,5121.48,5108.67,15100,8,78330360.00
20180210,5108.67,5253,5109,5253.45,5144.13,34467,14,180008396.00
20180212,5254.44,5633,5171,5240.65,5309.59,93382,50,503430426.00
20180213,5514.45,5599,4974,5219.97,5255.42,330853,123,1765553568.00
20180214,5318.46,5780,5318,5780.38,5645.44,262171,122,1502676758.00
20180217,6209.79,6210,5909,6209.79,6186.15,834176,156,5239404067.00
20180218,6303.36,6646,5744,5909.40,6054.18,189504,86,1164897185.00
20180219,6283.66,6284,5636,5909.40,5896.59,137083,52,820763536.00
20180221,5845.38,6303,5308,5318.46,5472.10,264803,110,1471210674.00
20180224,5515.44,5523,4934,5035.79,5127.39,455257,195,2369949662.00
20180225,5239.67,5318,5072,5219.97,5208.15,117726,68,622558176.00
20180226,5269.21,5368,5220,5219.97,5236.71,88555,37,470811035.00
20180227,5315.50,5515,5220,5219.97,5331.26,150677,87,815629332.00
20180228,5416.95,5515,5220,5328.31,5332.25,99267,54,537478337.00
20180303,5396.27,5417,5220,5221.94,5307.62,84939,50,457702834.00
20180304,5122.46,5141,5072,5088.98,5091.93,88819,49,459190426.00
20180305,5168.75,5269,4986,5074.20,5144.13,26463,32,138228059.00
20180306,5217.01,5318,4986,5185.50,5279.06,42785,32,229338076.00
20180307,5409.07,5409,5033,5100.80,5130.34,15281,20,79603490.00
20180310,5121.48,5298,4631,5297.78,4887.07,166730,34,827367584.00
20180311,5216.03,5216,4826,4923.51,4951.09,11042,20,55504288.00
20180312,4730.47,5043,4728,4924.50,4912.68,890543,75,4441883515.00
20180313,5018.06,5403,4828,5403.16,5250.50,308840,94,1646425450.00
20180314,5318.46,5515,5036,5043.67,5283.99,39095,46,209733917.00
20180317,5072.23,5361,4944,5032.84,5047.61,28184,37,144429731.00
20180318,5357.85,5358,4884,5091.93,4940.26,120107,69,602419190.00
20180319,5219.97,5220,4936,5072.23,5018.06,27751,14,141405093.00
20180325,5072.23,5150,4936,5120.49,4963.89,6347,8,31990813.00
20180326,5120.49,5204,5120,5121.48,5138.22,1900,4,9912000.00
20180327,4973.74,5121,4974,5082.08,5105.72,28701,10,148793680.00
20180328,5022.99,5072,5023,5022.99,5023.97,12285,10,62663250.00
20180403,5022.99,5023,4974,4973.74,4985.56,6404,9,32417651.00
20180404,4973.74,5110,4924,5109.66,4930.41,40101,15,200734450.00
20180407,4924.50,5068,4806,5068.29,4894.95,6189,12,30760071.00
20180408,4862.45,4874,4728,4874.27,4790.55,190690,62,927428697.00
20180409,4806.31,4904,4728,4791.54,4761.00,49934,34,241389196.00
20180410,4795.48,5062,4795,5062.38,5007.23,14546,8,73959024.00
20180411,4728.50,4729,4550,4581.75,4640.85,23859,14,112432702.00
20180415,4579.78,4819,4580,4589.63,4711.76,15522,16,74257465.00
20180416,4589.63,4678,4241,4245.90,4286.28,32020,15,139343658.00
20180417,4648.73,4649,4345,4530.54,4532.51,29682,24,136601130.00
20180418,4137.56,4715,4138,4579.78,4418.26,28905,19,129662582.00
20180421,4697.97,4826,4255,4728.50,4651.68,67984,36,321106706.00
20180422,4836.84,5048,4728,4727.52,4819.11,32877,28,160875687.00
20180423,4924.50,4924,4728,4924.50,4906.77,59097,18,294414764.00
20180424,4924.50,5023,4875,4968.82,4948.14,65113,26,327103823.00
20180425,4776.76,4924,4777,4924.50,4901.85,17759,12,88389400.00
20180428,4432.05,4796,4412,4626.07,4498.04,67116,42,306524062.00
20180429,4781.69,4782,4236,4627.06,4401.52,34470,19,154044360.00
20180430,4432.05,4841,4432,4727.52,4723.58,557411,38,2673522135.00
20180501,4350.30,5195,4252,4826.99,4895.94,939142,222,4668332699.00
20180505,4697.97,5061,4698,4855.56,4903.82,21933,18,109213747.00
20180506,5022.99,5338,4875,5101.78,4992.46,709045,85,3594077784.00
20180507,5267.24,5267,4996,5131.33,5001.32,86001,29,436741970.00
20180508,4957.98,5141,4958,5062.38,5041.70,37594,23,192448431.00
20180509,4741.31,5107,4740,5106.70,4997.38,12050,11,61136000.00
20180512,5106.70,5307,4926,5138.22,5105.72,57131,32,296174651.00
20180513,5091.93,5217,4924,5121.48,4985.56,40718,29,206117466.00
20180514,5023.97,5358,4828,5121.48,5137.24,125776,65,656004836.00
20180515,5308.61,5309,4747,5110.64,4901.85,107569,50,535394678.00
20180516,5013.14,5107,4924,5087.01,5022.99,31405,10,160162063.00
20180519,4892.98,5051,4893,5050.57,4914.65,16997,12,84820600.00
20180520,5022.99,5406,5023,5406.11,5288.91,470435,102,2526436291.00
20180521,5669.08,5669,5053,5467.18,5379.52,133823,58,730995552.00
20180522,5594.23,5917,5368,5917.28,5836.52,156510,70,927437770.00
20180523,5909.40,6420,5909,6419.58,6363.44,355630,91,2297603254.00
20180526,6411.70,6889,5909,6401.85,6394.95,84415,50,548089379.00
20180527,6697.32,7034,5764,6963.24,6959.30,424328,74,2998420705.00
20180530,7651.69,7652,6894,7460.61,7217.34,76823,20,562960027.00
20180602,7654.64,7655,6500,7288.26,7337.50,35959,21,267876820.00
20180603,7868.36,7868,6628,6628.37,6864.75,16125,7,112397510.00
20180609,6894.30,6903,6178,6178.28,6204.87,247971,33,1562147392.00
20180610,5880.84,6094,5624,6093.57,5694.69,17259,11,99786308.00
20180611,5598.17,6106,5598,6106.38,6091.60,128684,14,795922798.00
20180612,6106.38,6106,6106,6106.38,6106.38,9918,9,61491600.00
