date,open,high,low,last,close,vol,count,value
20210501,16525.50,16525.50,16525.20,16525.20,16525.20,301,4,33079900.00
20210502,16524.60,16524.60,16524.40,16524.40,16524.40,1044,5,114735600.00
20210503,16516.90,16516.90,16516.50,16516.50,16516.50,6751,2,741867390.00
20210505,16516.60,16516.60,16507.40,16507.40,16507.40,4167,15,443535480.00
20210508,16508.00,16508.00,16508.00,16508.00,16508.00,46,1,5049880.00
20210510,16503.50,16503.50,16503.50,16503.50,16503.50,4000,1,439120000.00
20210511,16502.40,16502.40,16502.30,16502.30,16502.30,1194,3,131041500.00
20210512,16496.60,16496.60,16485.40,16485.40,16485.40,15000,5,1646100000.00
20210515,16483.50,16483.50,16479.50,16479.50,16479.50,833,4,89430880.00
20210516,16342.20,16342.20,16240.70,16240.70,16240.70,38433,18,4125013890.00
20210519,16183.50,16241.10,10251.40,10357.70,10357.70,384905,336,27330910010.00
20210522,10685.80,10866.90,10685.80,10866.90,10866.90,924442,541,68868409120.00
20210523,11230.90,11342.90,11230.90,11342.90,11342.90,237070,229,18434778550.00
20210524,11613.50,11908.80,11613.50,11908.80,11908.80,219967,55,17958105880.00
20210525,11935.80,12114.10,11935.80,12114.10,12114.10,72894,59,6248473680.00
20210526,12278.80,12691.50,12278.80,12691.50,12691.50,201362,74,17558766400.00
20210529,12778.60,13111.50,12778.60,12838.40,12838.40,564293,682,49664964410.00
20210530,12822.10,12822.10,12797.60,12797.60,12797.60,10841,24,906416010.00
20210531,12796.70,12796.70,12524.80,12524.80,12524.80,73466,18,6123391100.00
20210601,12524.00,12524.00,12520.70,12520.70,12520.70,1011,6,82467270.00
20210602,12517.50,12517.50,12486.50,12493.70,12493.70,7230,25,589534200.00
20210607,12493.30,12493.30,12489.50,12489.50,12489.50,1185,10,96423450.00
20210608,12483.00,12483.00,12471.70,12471.70,12471.70,4952,18,402795680.00
20210609,12470.80,12470.80,12452.80,12452.80,12452.80,5361,12,435474030.00
20210612,12451.50,12451.50,12414.70,12414.70,12414.70,10791,23,875258010.00
20210613,12414.50,12414.50,12409.10,12409.10,12409.10,1642,8,132772120.00
20210614,12401.60,12401.60,12364.90,12364.90,12364.90,12545,9,1013886900.00
20210615,12364.90,12364.90,12346.10,12346.10,12346.10,5474,15,440875960.00
20210616,12345.70,12345.70,12340.70,12340.70,12340.70,1609,8,129379690.00
20210619,11260.20,11298.00,11194.80,11194.80,11194.80,914099,1340,70152776510.00
20210620,11179.00,11179.00,10769.10,10769.10,10769.10,276533,671,20415625860.00
20210621,11109.70,11254.30,11109.70,11254.30,11254.30,260539,400,20101369290.00
20210622,11428.70,11815.40,11428.70,11806.10,11806.10,597859,415,48388402700.00
20210623,11695.60,11695.60,11344.00,11344.00,11344.00,467105,746,36326014180.00
20210626,10904.30,10904.30,10792.70,10796.70,10796.70,360729,450,26699776920.00
20210627,10783.40,11077.50,10777.80,11072.20,11072.20,267578,604,20310560510.00
20210628,11085.20,11403.60,11085.20,11403.60,11403.60,317880,679,24850877040.00
20210629,11326.80,11445.40,11264.80,11418.40,11418.40,533094,1085,41729820980.00
20210630,11406.50,11406.50,10945.60,10945.60,10945.60,407457,558,30574483150.00
20210703,10931.70,10931.90,10847.90,10847.90,10847.90,141781,274,10504827310.00
20210704,10843.20,10843.20,10749.60,10749.60,10749.60,91468,200,6667187200.00
20210705,10748.20,10944.10,10738.20,10944.10,10944.10,193145,421,14500107730.00
20210706,10945.70,11294.20,10875.10,11294.20,11294.20,443833,559,34364702550.00
20210707,11522.70,11827.90,11522.70,11808.80,11808.80,433521,725,35095490390.00
20210710,11924.00,12299.20,11924.00,12299.20,12299.20,652403,717,55008617520.00
20210711,12555.50,12909.60,12555.50,12909.60,12909.60,454578,483,40230793340.00
20210712,13005.30,13470.20,13005.30,13470.20,13470.20,608792,784,56218285070.00
20210713,13651.10,14065.60,13651.10,14065.60,14065.60,760543,896,73335887590.00
20210714,13765.00,13885.80,13750.70,13750.70,13750.70,2031765,1500,191529179690.00
20210717,13327.30,13327.30,13115.60,13115.60,13115.60,698403,912,62795602020.00
20210718,13114.50,13114.50,12676.00,12681.10,12681.10,234994,386,20429191830.00
20210726,12738.30,12738.30,12738.30,12738.30,12738.30,24406,71,2190063370.00
20210727,12717.10,13323.40,12714.60,13323.40,13323.40,801529,729,73210234700.00
20210728,13361.70,13876.80,13361.70,13876.80,13876.80,503285,545,47878280600.00
20210731,14072.00,14565.80,14072.00,14549.90,14549.90,534824,466,53346660030.00
20210801,14894.90,15233.20,14894.90,15225.90,15225.90,423213,608,44175201660.00
