date,open,high,low,last,close,vol,count,value
20210501,25240.50,25240.50,25232.60,25232.60,25232.60,3838,29,636532300.00
20210502,25230.90,25230.90,25227.70,25227.70,25227.70,1724,14,285804720.00
20210503,25227.30,25227.30,25215.60,25215.60,25215.60,4699,27,778859250.00
20210505,25214.20,25214.20,25195.40,25195.40,25195.40,7968,36,1320058560.00
20210508,25190.70,25190.70,25166.70,25166.70,25166.70,11107,26,1838652780.00
20210509,25167.10,25167.10,25165.60,25165.60,25165.60,620,11,102517000.00
20210510,25165.60,25165.60,25162.40,25162.40,25162.40,1306,12,215934040.00
20210511,25033.30,25033.30,25006.20,25006.20,25006.20,60830,85,10056415600.00
20210512,25002.40,25002.40,24993.40,24993.40,24993.40,5057,33,830814530.00
20210515,24959.00,24959.00,24845.50,24845.50,24845.50,11689,56,1879824980.00
20210516,24839.10,24839.10,24697.60,24697.60,24697.60,11776,66,1882629120.00
20210517,24695.60,24695.60,24680.80,24680.80,24680.80,1355,15,215336600.00
20210518,24663.40,24663.40,24633.70,24633.70,24633.70,3837,23,609392340.00
20210519,24629.30,24629.30,24586.30,24586.30,24586.30,3849,11,610104990.00
20210522,24580.60,24580.60,24566.60,24566.60,24566.60,1644,13,260097240.00
20210523,24564.40,24564.40,24557.60,24557.60,24557.60,704,7,111288320.00
20210524,24557.00,24557.00,24545.30,24545.30,24545.30,983,12,155333660.00
20210525,24162.10,24162.10,22920.20,22920.20,22920.20,65543,255,9807199090.00
20210526,22868.80,22868.80,22754.30,22754.30,22754.30,14322,80,2112208560.00
20210529,22731.40,22731.40,21617.90,21617.90,21617.90,204023,417,29873047660.00
20210530,20784.10,20784.10,20607.10,20656.50,20656.50,2579107,4304,360838914180.00
20210531,21106.00,21116.00,20434.40,20434.40,20434.40,1072929,2502,148498139630.00
20210601,19417.50,19417.50,19415.50,19415.50,19415.50,313027,630,41163922190.00
20210602,18493.10,19007.60,18493.10,19007.60,19007.60,889274,2112,114485142590.00
20210607,19761.80,19761.80,19646.00,19715.70,19715.70,612921,1553,81847139850.00
20210608,19836.60,19974.70,19457.50,19457.50,19457.50,736163,1708,97017171230.00
20210609,19359.40,19888.30,19147.70,19888.30,19888.30,789706,1427,106377566640.00
20210612,20838.60,20838.60,20716.20,20752.60,20752.60,685498,1299,96353006750.00
20210613,20909.20,20909.20,20704.90,20704.90,20704.90,509929,1393,71510503310.00
20210614,20681.90,21031.30,20612.10,20951.90,20951.90,593366,1671,84203896710.00
20210615,20891.70,20891.70,20158.80,20158.80,20158.80,374848,1070,51180886200.00
20210621,20188.70,20188.70,20117.10,20162.10,20162.10,179610,506,24390949920.00
20210622,20211.50,20507.80,20150.50,20150.50,20150.50,549322,1099,74554975950.00
20210623,20129.10,20129.10,19990.30,20109.00,20109.00,469105,1136,63536501350.00
20210626,19776.50,20038.20,19776.50,19981.80,19981.80,589310,1362,79312629250.00
20210627,19958.40,19958.40,19669.50,19669.50,19669.50,445050,1262,58960933660.00
20210628,19661.60,19682.30,19493.00,19682.30,19682.30,451952,1258,59914408500.00
20210629,19729.10,20555.60,19729.10,20555.60,20555.60,619717,1135,85799917040.00
20210630,21284.60,21477.90,21284.60,21477.90,21477.90,678711,975,98183868020.00
20210703,22542.70,22544.50,22523.50,22523.50,22523.50,1450968,2538,220118147970.00
20210704,22656.90,23136.60,22630.30,23005.70,23005.70,912066,2159,141326720920.00
20210705,22968.90,23485.30,22601.40,23485.30,23485.30,973544,2156,153997953380.00
20210706,23809.60,24464.30,23809.60,24357.90,24357.90,573633,1558,94110068920.00
20210707,24464.40,24709.30,24464.40,24709.30,24709.30,525838,1448,87513579330.00
20210710,24469.00,24801.70,24457.80,24726.10,24726.10,339407,1170,56524895490.00
20210711,24696.90,24696.90,23778.60,23780.10,23780.10,1024773,2224,164136182040.00
20210712,23504.00,23506.30,22834.00,23506.30,23506.30,1208626,2723,191355084410.00
20210713,23770.60,24597.30,23770.60,24597.30,24597.30,872377,1728,144529096330.00
20210714,24774.70,25336.70,24774.70,25336.70,25336.70,428116,1529,73059152840.00
20210717,25074.60,25074.60,24496.20,24496.20,24496.20,882787,2203,145652149890.00
20210718,23333.10,23333.10,23300.60,23305.40,23305.40,798972,1694,125415243870.00
20210719,23217.10,23217.10,22657.40,22657.40,22657.40,702057,1790,107138274080.00
20210726,22427.40,22427.40,21910.10,21910.10,21910.10,595163,1585,87830011690.00
20210727,22066.10,22222.10,21953.70,21953.70,21953.70,365686,1129,54072845510.00
20210728,21895.10,21910.60,21627.50,21665.10,21665.10,394510,1001,57568081980.00
20210731,21693.80,22072.80,21693.80,21985.10,21985.10,247214,856,36607107760.00
20210801,21960.90,21962.40,21762.90,21765.70,21765.70,265068,988,38859045050.00
