date,open,high,low,last,close,vol,count,value
20210501,110593.00,110593.00,110563.00,110563.00,110563.00,623269,60,2516935710.00
20210502,110632.00,110632.00,110618.00,110618.00,110618.00,111519,31,482405760.00
20210503,110622.00,110622.00,110617.00,110617.00,110617.00,118579,27,505768095.00
20210505,110633.00,110633.00,110609.00,110609.00,110609.00,150217,45,714512145.00
20210508,110625.00,110625.00,110613.00,110613.00,110613.00,134711,27,592030035.00
20210509,110635.00,110635.00,110618.00,110618.00,110618.00,93141,30,435823599.00
20210510,110634.00,110634.00,110568.00,110568.00,110568.00,410023,62,1819585978.00
20210511,110569.00,110569.00,110413.00,110413.00,110413.00,1290436,184,6105840550.00
20210512,110461.00,110461.00,110387.00,110387.00,110387.00,600335,95,2544114952.00
20210515,110251.00,110251.00,109473.00,109473.00,109473.00,999795,174,5178973372.00
20210516,109436.00,109436.00,109116.00,109116.00,109116.00,479567,105,2105037052.00
20210517,109138.00,109138.00,108990.00,108990.00,108990.00,358845,51,1381053329.00
20210518,108968.00,108968.00,108925.00,108925.00,108925.00,145529,38,575082347.00
20210519,108970.00,108970.00,108639.00,108639.00,108639.00,451442,54,1985312768.00
20210522,108562.00,108562.00,108256.00,108256.00,108256.00,1305057,183,3995494425.00
20210523,108282.00,108282.00,108247.00,108247.00,108247.00,128395,31,755633350.00
20210524,108279.00,108279.00,108213.00,108213.00,108213.00,170791,39,632283828.00
20210525,108258.00,108258.00,108016.00,108016.00,108016.00,342036,65,1492299000.00
20210526,107317.00,107317.00,106965.00,106965.00,106965.00,1130777,79,5202695768.00
20210529,106725.00,106725.00,102896.00,102896.00,102896.00,6908699,651,29230671179.00
20210530,101142.00,101142.00,98821.20,98821.20,98821.20,40447460,2490,129165098905.00
20210531,97993.50,97993.50,94986.30,94986.30,94986.30,8331726,672,29479997563.00
20210601,91841.20,91841.20,91651.90,91663.10,91663.10,144057694,9510,582534461907.00
20210602,93300.40,94186.90,93300.40,94186.90,94186.90,105210111,7550,397988420984.00
20210607,94277.90,95443.80,93785.70,93785.70,93785.70,98545590,8255,383196879744.00
20210608,93890.30,94401.10,92849.30,92849.30,92849.30,77417042,6933,298876520313.00
20210609,89709.30,89709.30,89250.70,89250.70,89250.70,62408232,4608,231703162202.00
20210612,87479.20,87479.20,86187.80,86187.80,86187.80,50108466,4249,181348837264.00
20210613,86806.50,86806.50,85866.50,86387.50,86387.50,51915482,4471,181103333578.00
20210614,88570.60,88570.60,82304.00,82304.20,82304.20,39707870,4484,173675819642.00
20210615,81005.90,81005.90,79218.00,79218.00,79218.00,42302530,3596,152981428621.00
20210616,77858.20,77858.20,76799.10,76799.10,76799.10,40541720,3552,131111204096.00
20210619,76973.00,77616.10,76848.00,76848.00,76848.00,26295507,2568,88277136516.00
20210620,76817.60,76817.60,74831.80,74831.80,74831.80,42936929,3313,144167927503.00
20210621,74117.80,76093.60,74117.80,76093.60,76093.60,52396747,3728,172614007423.00
20210622,78882.70,78977.80,78882.70,78939.10,78939.10,62063033,3531,210553576505.00
20210623,79700.40,79900.80,79164.80,79725.30,79725.30,56240158,6497,314341554194.00
20210626,79706.40,80507.70,79706.40,80313.90,80313.90,63199636,5275,262026190865.00
20210627,78773.60,79346.30,78334.60,79315.00,79315.00,50981456,5318,227553142563.00
20210628,79230.50,79901.50,79201.60,79201.60,79201.60,52057859,4854,206690985539.00
20210629,78322.30,80582.10,78072.80,80581.30,80581.30,64579972,5750,275523050852.00
20210630,81145.70,81898.70,81145.70,81288.00,81288.00,43271773,4285,170069227617.00
20210703,81164.00,81164.00,78554.10,78554.10,78554.10,60262445,4554,226065660600.00
20210704,77955.10,78881.60,77663.60,78881.60,78881.60,30192226,3466,131936335956.00
20210705,79174.30,79468.30,79123.90,79131.60,79131.60,37776715,3808,148385451929.00
20210706,79336.90,80005.40,79336.90,79777.10,79777.10,44558161,4261,175500706488.00
20210707,79538.70,82375.30,79291.90,82375.30,82375.30,105354548,6553,405316228735.00
20210710,83910.00,83910.00,83595.70,83748.00,83748.00,53127760,5078,218560028485.00
20210711,82999.80,84163.60,82999.80,84163.60,84163.60,58189605,5709,236564641007.00
20210712,86632.60,87266.20,86632.60,86639.10,86639.10,79344211,6244,328383361499.00
20210713,86365.20,86948.00,85188.60,85188.60,85188.60,50459610,4286,212003557100.00
20210714,85046.40,85046.40,84405.20,84423.20,84423.20,36168873,3565,146701399016.00
20210717,84424.40,84424.40,82906.00,82906.00,82906.00,57951011,5096,232778744032.00
20210718,82125.70,82125.70,80486.30,80486.30,80486.30,42196039,3823,160652543989.00
20210719,81283.00,82446.00,81283.00,81766.40,81766.40,38810373,3543,144079151398.00
20210726,81769.00,82165.80,81664.50,82165.80,82165.80,5408708,940,56662683341.00
20210727,82200.20,82200.20,81559.70,81640.00,81640.00,13431469,1360,57919198917.00
20210728,81568.90,82108.40,81568.90,81890.70,81890.70,14185461,1791,67060917823.00
20210731,81841.90,81880.00,81480.90,81480.90,81480.90,11521785,1713,61236193256.00
20210801,81488.90,81488.90,81130.30,81130.30,81130.30,10099815,1307,46630150423.00
