date,open,high,low,last,close,vol,count,value
20210503,1484330.00,1484330.00,1484320.00,1484320.00,1484320.00,721,2,11615310.00
20210505,1484320.00,1484320.00,1484310.00,1484310.00,1484310.00,1020,3,16432200.00
20210509,1484300.00,1484300.00,1484300.00,1484300.00,1484300.00,315,1,5074650.00
20210510,1484290.00,1484290.00,1484280.00,1484280.00,1484280.00,1670,3,26903700.00
20210511,1484260.00,1484260.00,1484260.00,1484260.00,1484260.00,4916,1,79196760.00
20210515,1484290.00,1484290.00,1483800.00,1483800.00,1483800.00,6500,3,102505000.00
20210516,1483380.00,1483380.00,1483350.00,1483350.00,1483350.00,1054,2,16621580.00
20210518,1483380.00,1483380.00,1483380.00,1483380.00,1483380.00,670,2,10565900.00
20210522,1483390.00,1483390.00,1483390.00,1483390.00,1483390.00,526,1,8295020.00
20210524,1483370.00,1483370.00,1483370.00,1483370.00,1483370.00,350,1,5519500.00
20210525,1483190.00,1483190.00,1483170.00,1483170.00,1483170.00,3346,2,52766420.00
20210526,1483380.00,1483380.00,1483380.00,1483380.00,1483380.00,650,2,10250500.00
20210529,1483350.00,1483350.00,1483240.00,1483240.00,1483240.00,2400,4,37848000.00
20210530,1483340.00,1483340.00,1483310.00,1483310.00,1483310.00,1530,3,24128100.00
20210531,1483410.00,1483410.00,1483410.00,1483410.00,1483410.00,320,1,5046400.00
20210601,1479300.00,1479300.00,1458740.00,1458740.00,1458740.00,151232,38,2259406080.00
20210602,1458370.00,1458370.00,1458270.00,1458270.00,1458270.00,1665,3,25807500.00
20210607,1458280.00,1458280.00,1458120.00,1458120.00,1458120.00,3500,2,54250000.00
20210608,1458260.00,1458260.00,1458230.00,1458230.00,1458230.00,2155,4,33402500.00
20210609,1458370.00,1458370.00,1458290.00,1458290.00,1458290.00,1353,3,20971500.00
20210612,1385970.00,1385970.00,1385970.00,1385970.00,1385970.00,1033837,48,16024473500.00
20210613,1385950.00,1385950.00,1385540.00,1385540.00,1385540.00,5764,8,84903720.00
20210614,1385840.00,1385840.00,1385710.00,1385710.00,1385710.00,3507,6,51658110.00
20210615,1385000.00,1385000.00,1384690.00,1384690.00,1384690.00,17090,6,251735700.00
20210616,1384990.00,1384990.00,1384760.00,1384760.00,1384760.00,4272,4,62883840.00
20210619,1384930.00,1384930.00,1384880.00,1384880.00,1384880.00,2724,3,40097280.00
20210621,1385030.00,1385030.00,1384770.00,1384770.00,1384770.00,4367,5,64282240.00
20210622,1385050.00,1385050.00,1385030.00,1385030.00,1385030.00,698,2,10274560.00
20210623,1382950.00,1382950.00,1382290.00,1382290.00,1382290.00,39171,17,576597120.00
20210626,1382090.00,1382090.00,1381060.00,1381060.00,1381060.00,18875,13,277273750.00
20210627,1381430.00,1381430.00,1380230.00,1380230.00,1380230.00,17870,15,262331600.00
20210628,1366080.00,1366080.00,1323650.00,1323650.00,1323650.00,401321,176,5578361900.00
20210629,1323240.00,1323240.00,1322190.00,1322190.00,1322190.00,17419,22,244911140.00
20210630,1322460.00,1322460.00,1322090.00,1322090.00,1322090.00,5832,9,81997920.00
20210703,1322370.00,1322370.00,1322250.00,1322250.00,1322250.00,3706,6,52106360.00
20210704,1322420.00,1322420.00,1321920.00,1321920.00,1321920.00,8806,11,123812360.00
20210705,1261520.00,1296280.00,1261520.00,1296280.00,1296280.00,18739289,4580,271662013170.00
20210706,1339790.00,1339790.00,1309270.00,1309270.00,1309270.00,7153442,2994,104742543020.00
20210707,1304880.00,1304880.00,1261950.00,1261950.00,1261950.00,5721285,2314,80744301710.00
20210710,1261860.00,1276850.00,1257320.00,1274830.00,1274830.00,3034687,1308,43265676230.00
20210711,1274750.00,1274750.00,1264280.00,1265330.00,1265330.00,2806537,1124,39714729950.00
20210712,1269500.00,1274040.00,1259770.00,1259770.00,1259770.00,2158856,1084,30415212840.00
20210713,1254700.00,1254700.00,1240310.00,1240310.00,1240310.00,2366622,981,32827358970.00
20210714,1240950.00,1243450.00,1230400.00,1230400.00,1230400.00,2329333,1003,32051966460.00
20210717,1231820.00,1231820.00,1204390.00,1205750.00,1205750.00,3258118,1274,43934266930.00
20210718,1204530.00,1204530.00,1174680.00,1182140.00,1182140.00,3008995,974,39780294100.00
20210719,1186150.00,1226090.00,1186150.00,1226090.00,1226090.00,3304979,1105,45317866310.00
20210726,1229170.00,1267830.00,1226630.00,1267830.00,1267830.00,5509075,1679,78111702760.00
20210727,1270380.00,1281770.00,1268230.00,1268230.00,1268230.00,1888962,826,26791630540.00
20210728,1266150.00,1266150.00,1249300.00,1249300.00,1249300.00,1239082,513,17311862120.00
20210731,1239870.00,1239870.00,1202900.00,1203570.00,1203570.00,2745400,908,36953504500.00
20210801,1189490.00,1222540.00,1184300.00,1222540.00,1222540.00,3296929,912,45076445250.00
