date,open,high,low,last,close,vol,count,value
20210501,226018.00,226018.00,222595.00,222595.00,222595.00,2027773874,50373,3817410443760.00
20210502,221727.00,221727.00,221015.00,221015.00,221015.00,99054044,3611,169918824239.00
20210503,220678.00,220678.00,219369.00,219369.00,219369.00,272348030,5111,411166981809.00
20210505,215586.00,215792.00,215569.00,215779.00,215779.00,1532280674,37134,2847524696642.00
20210508,213265.00,213265.00,212506.00,212506.00,212506.00,393208153,10674,682760311034.00
20210509,212271.00,212271.00,210213.00,210213.00,210213.00,84804164,2338,154003763847.00
20210510,206517.00,207327.00,206402.00,207327.00,207327.00,2246753582,53255,4063334635393.00
20210511,208335.00,211132.00,207656.00,211087.00,211087.00,2148265208,66372,4077200401044.00
20210512,213231.00,213231.00,210196.00,210196.00,210196.00,1049854788,32613,2007212553666.00
20210515,209016.00,210071.00,208962.00,209127.00,209127.00,893846313,30358,1815004571933.00
20210516,212161.00,214793.00,212161.00,214678.00,214678.00,2559963526,67926,6345837077466.00
20210517,216357.00,216357.00,211296.00,211296.00,211296.00,2084200069,56142,4427240322072.00
20210518,204084.00,204384.00,204084.00,204095.00,204095.00,1769246769,40839,3535402159994.00
20210519,201881.00,201881.00,197862.00,197862.00,197862.00,743187534,23363,1379585951975.00
20210522,192815.00,192815.00,190909.00,190911.00,190911.00,1375684222,23615,2285052868311.00
20210523,186043.00,186043.00,185054.00,185056.00,185056.00,1007370902,24419,1625949742204.00
20210524,181473.00,181559.00,180300.00,180612.00,180612.00,792793943,20060,1385575223359.00
20210525,181416.00,183607.00,181130.00,183607.00,183607.00,1050522196,35430,2312499497294.00
20210526,183778.00,184351.00,183182.00,183182.00,183182.00,1248473215,54066,2480476668813.00
20210529,187440.00,188785.00,187440.00,188734.00,188734.00,1455847941,45608,2941586446523.00
20210530,194327.00,194404.00,191297.00,191297.00,191297.00,1957102289,72270,3925443081066.00
20210531,185701.00,186714.00,185508.00,185508.00,185508.00,1322142894,37743,2314490734063.00
20210601,184274.00,184274.00,180385.00,180385.00,180385.00,1310702122,38170,2183431730387.00
20210602,179702.00,182914.00,179702.00,182914.00,182914.00,1529203975,51075,2956963726084.00
20210607,185317.00,187921.00,185317.00,187921.00,187921.00,1508961641,42444,3048104059514.00
20210608,194027.00,194396.00,194022.00,194022.00,194022.00,3134255656,67911,6119612593633.00
20210609,193588.00,197006.00,193493.00,196586.00,196586.00,2739142646,72431,5578061146196.00
20210612,197524.00,197524.00,192259.00,192259.00,192259.00,2143256730,68901,4115827956378.00
20210613,191983.00,194043.00,190113.00,194043.00,194043.00,2405378343,65926,4232539289044.00
20210614,199358.00,199591.00,199358.00,199491.00,199491.00,2486777053,54531,4563640542250.00
20210615,203678.00,205577.00,201497.00,201497.00,201497.00,3819087988,103267,8187878298180.00
20210616,199778.00,200817.00,199098.00,199099.00,199099.00,2218821323,73937,5389207586616.00
20210619,198954.00,199181.00,197140.00,197140.00,197140.00,2000666981,70674,4697377454197.00
20210620,196413.00,196413.00,191208.00,191208.00,191208.00,1926829883,66463,4442189234759.00
20210621,188114.00,195284.00,188114.00,195284.00,195284.00,2969873090,82707,6363533911625.00
20210622,201983.00,202322.00,201830.00,201830.00,201830.00,2924570990,74128,6045457355585.00
20210623,202932.00,204688.00,202155.00,204302.00,204302.00,3986777501,136114,9542671985165.00
20210626,203583.00,206147.00,203583.00,205393.00,205393.00,2268145904,91033,5551853569085.00
20210627,204446.00,210919.00,204446.00,210738.00,210738.00,3572323529,99809,7701552696381.00
20210628,210170.00,210706.00,209562.00,209562.00,209562.00,1931011022,73751,4637223804908.00
20210629,209900.00,212914.00,209900.00,212044.00,212044.00,2147849473,78784,5284360476206.00
20210630,210241.00,212601.00,210241.00,211655.00,211655.00,2411281822,89111,6221146272151.00
20210703,210721.00,210721.00,206558.00,206558.00,206558.00,2086052185,80218,5463279246699.00
20210704,202278.00,206444.00,202278.00,206048.00,206048.00,2146413594,76736,4764934302832.00
20210705,208196.00,209048.00,207661.00,207796.00,207796.00,1697724695,68276,4189075775381.00
20210706,209224.00,211955.00,209224.00,209983.00,209983.00,1753998812,77962,4462643932744.00
20210707,208926.00,209040.00,207304.00,207304.00,207304.00,1370166432,65845,3620063456345.00
20210710,206933.00,206933.00,202654.00,202654.00,202654.00,1163838521,67257,3588781347593.00
20210711,203158.00,206483.00,203158.00,206483.00,206483.00,1780292660,82453,5109364425959.00
20210712,207946.00,210273.00,207946.00,208050.00,208050.00,1577635309,71169,4334699101837.00
20210713,207406.00,207620.00,205668.00,205671.00,205671.00,1321986910,67326,3770625317481.00
20210714,205744.00,209708.00,205565.00,209708.00,209708.00,1977498626,83251,5161909219372.00
20210717,212665.00,213551.00,211874.00,211874.00,211874.00,2673480265,89554,5966207518102.00
20210718,210961.00,210961.00,207825.00,207825.00,207825.00,1965583973,75642,5004851588991.00
20210719,207404.00,207691.00,206960.00,206960.00,206960.00,826027010,53050,2898794402976.00
20210726,207208.00,207208.00,206131.00,206131.00,206131.00,611978080,41791,2535612798682.00
20210727,205014.00,205014.00,202010.00,202010.00,202010.00,1071587185,46482,2920291100087.00
20210728,200611.00,200692.00,197483.00,197483.00,197483.00,1234318035,61747,3324454161860.00
20210731,197733.00,199323.00,197733.00,198253.00,198253.00,1620237725,75568,4142612361345.00
20210801,197977.00,199726.00,197236.00,198992.00,198992.00,1576580359,75467,3980060738451.00
