date,open,high,low,last,close,vol,count,value
20210501,108444.00,108444.00,107934.00,107934.00,107934.00,22329984,7969,690340546360.00
20210502,107462.00,107611.00,107329.00,107611.00,107611.00,14177527,7381,488439583740.00
20210503,107522.00,107728.00,107333.00,107402.00,107402.00,7466225,4398,323447037880.00
20210505,107006.00,107315.00,106985.00,107315.00,107315.00,48275520,14993,1400421905100.00
20210508,106989.00,107352.00,106989.00,107186.00,107186.00,24862345,6322,684621767920.00
20210509,107061.00,107076.00,106703.00,106734.00,106734.00,6982749,2974,188726707600.00
20210510,106694.00,106694.00,106038.00,106286.00,106286.00,54881375,14004,1479280535200.00
20210511,106413.00,106570.00,106388.00,106418.00,106418.00,57407883,17641,1531971632670.00
20210512,106986.00,107048.00,106149.00,106149.00,106149.00,72833646,29302,2030145125470.00
20210515,105445.00,105445.00,103785.00,103785.00,103785.00,61005407,18792,1510987818500.00
20210516,103498.00,103682.00,102759.00,102759.00,102759.00,57121096,20432,1495493495790.00
20210517,102581.00,102581.00,101774.00,101774.00,101774.00,28354486,9798,690171985720.00
20210518,101171.00,101306.00,100301.00,100301.00,100301.00,82238376,23263,2067337303870.00
20210519,100590.00,100590.00,99518.30,99518.40,99518.40,70936802,22970,1817285900200.00
20210522,99575.30,99575.30,98325.00,98325.00,98325.00,54178501,14822,1318509321450.00
20210523,97821.70,97821.70,97273.90,97273.90,97273.90,28342888,7521,670347432280.00
20210524,96598.70,96598.70,95855.60,95855.60,95855.60,58135538,11175,936772663220.00
20210525,95848.30,96110.30,95800.40,95852.50,95852.50,68861428,20129,1336398712310.00
20210526,95927.60,96053.70,95563.70,95563.70,95563.70,57348898,20377,1016123630910.00
20210529,96092.90,96261.70,95883.20,96261.70,96261.70,57477744,15836,1280942788864.00
20210530,97012.20,97269.30,95908.80,95908.80,95908.80,116218793,27745,2230606484348.00
20210531,95884.40,95884.40,95509.80,95509.80,95509.80,86984860,22251,1672464919500.00
20210601,95898.30,96166.30,95878.20,95878.40,95878.40,42826252,12633,915015835706.00
20210602,96622.00,96758.10,96356.80,96356.80,96356.80,56037975,13219,757286729425.00
20210607,97167.50,97443.60,97161.10,97440.90,97440.90,44175456,14351,790557428519.00
20210608,98015.50,98484.00,98015.50,98258.00,98258.00,49696763,13965,864193765315.00
20210609,98238.00,98238.00,97928.90,97929.00,97929.00,112785258,48634,3203518050675.00
20210612,97981.50,97981.50,97653.50,97653.60,97653.60,16955972,5730,320313850417.00
20210613,97397.60,97397.60,97179.50,97179.50,97179.50,18288955,5767,309754058789.00
20210614,96961.70,96961.70,96583.70,96768.10,96768.10,53701692,11339,794513415743.00
20210615,96777.80,96830.90,96738.50,96738.50,96738.50,27971171,6584,268406755658.00
20210616,96719.50,96719.50,96563.00,96687.50,96687.50,24346518,5522,305695926506.00
20210619,96677.10,96781.50,96220.20,96554.60,96554.60,21014784,5573,344717975550.00
20210620,96558.40,96910.00,95553.40,96825.80,96825.80,86480244,30481,2390250560569.00
20210621,96844.70,97786.60,96708.30,97786.60,97786.60,51791974,16271,1308763743184.00
20210622,98517.10,98915.00,98398.00,98904.40,98904.40,65758981,18201,1491195251270.00
20210623,99806.00,100913.00,99791.00,100912.00,100912.00,58755043,16013,1077984084137.00
20210626,101538.00,103338.00,101538.00,103338.00,103338.00,76171613,19682,1180799800901.00
20210627,104586.00,105059.00,104586.00,105059.00,105059.00,236094837,105135,8375013580648.00
20210628,104090.00,104099.00,103886.00,104059.00,104059.00,87471052,25440,1929192699810.00
20210629,103679.00,105208.00,103247.00,105208.00,105208.00,235301502,64629,7048389169667.00
20210630,106483.00,107897.00,106483.00,107896.00,107896.00,166120637,58823,5460456608188.00
20210703,107632.00,108069.00,107632.00,107762.00,107762.00,194144931,70089,5501875184666.00
20210704,107422.00,107780.00,107273.00,107690.00,107690.00,125752923,46942,3509897525239.00
20210705,108274.00,108274.00,107481.00,107569.00,107569.00,107987353,42216,2719746213696.00
20210706,107528.00,108041.00,107528.00,107782.00,107782.00,133015614,53447,3540689331624.00
20210707,107098.00,108596.00,107098.00,108596.00,108596.00,160010580,47818,3604290970285.00
20210710,109534.00,110284.00,109534.00,110284.00,110284.00,107908268,39616,2639922462496.00
20210711,111086.00,111086.00,110751.00,110855.00,110855.00,109395083,37699,2211501238543.00
20210712,110774.00,110995.00,110701.00,110701.00,110701.00,105823043,45321,2807138100039.00
20210713,110503.00,112574.00,110503.00,112081.00,112081.00,154871504,43065,3148275186125.00
20210714,112766.00,112921.00,112616.00,112783.00,112783.00,112210987,43845,2681726794714.00
20210717,113139.00,113139.00,112178.00,112178.00,112178.00,120326097,43274,3012811299448.00
20210718,112043.00,113534.00,112043.00,113534.00,113534.00,142657480,46088,3917073085395.00
20210719,114223.00,114635.00,113828.00,114635.00,114635.00,93106708,38517,2558403905442.00
20210726,114949.00,115644.00,114949.00,115309.00,115309.00,142772986,38275,3345763667374.00
20210727,115333.00,115333.00,113824.00,113824.00,113824.00,101322068,36863,2616778963552.00
20210728,114041.00,114404.00,114041.00,114296.00,114296.00,84409072,32779,2092320585028.00
20210731,115783.00,115920.00,115274.00,115274.00,115274.00,110594672,35075,2587908977499.00
20210801,115317.00,115317.00,114273.00,114273.00,114273.00,100393080,41200,2529705094821.00
