date,open,high,low,last,close,vol,count,value
20210501,7369.30,7369.30,7283.50,7283.50,7283.50,853893783,31401,3303741009720.00
20210502,7277.40,7311.70,7272.40,7311.40,7311.40,1377602145,47274,4930597498859.00
20210503,7315.90,7338.30,7282.50,7282.50,7282.50,580719469,25696,2225313922614.00
20210505,7315.10,7496.50,7312.70,7496.50,7496.50,1009512416,43332,4191728292450.00
20210508,7574.20,7575.70,7544.80,7544.80,7544.80,594289315,29146,2407254122075.00
20210509,7471.90,7481.70,7461.20,7481.70,7481.70,1187804054,31001,5088323245014.00
20210510,7494.50,7513.40,7494.50,7513.40,7513.40,604426653,25311,2531573455914.00
20210511,7532.10,7574.80,7532.10,7569.00,7569.00,642333697,26992,2407007082124.00
20210512,7596.70,7604.40,7580.20,7580.20,7580.20,701576705,24535,2662092719398.00
20210515,7562.30,7568.00,7546.80,7546.80,7546.80,438567081,22368,2257530153002.00
20210516,7536.50,7607.00,7536.50,7607.00,7607.00,677895035,28363,2733959117256.00
20210517,7623.40,7629.60,7589.90,7590.00,7590.00,536744642,23786,2367051055766.00
20210518,7569.10,7575.80,7546.50,7546.50,7546.50,670810685,26139,2893020529752.00
20210519,7534.80,7534.80,7471.20,7471.20,7471.20,757984318,22473,2790092641859.00
20210522,7408.90,7408.90,7372.00,7372.20,7372.20,675217120,16305,2928864252607.00
20210523,7187.70,7188.20,7184.20,7184.30,7184.30,470292333,12962,1297760586326.00
20210524,7157.50,7157.50,6713.90,6713.90,6713.90,891603613,22484,2454548293982.00
20210525,6684.40,6707.40,6626.70,6626.70,6626.70,1176317628,48288,5114768999754.00
20210526,6646.40,6674.50,6646.40,6667.80,6667.80,467966492,29537,1867353721426.00
20210529,6730.10,6833.40,6730.10,6833.40,6833.40,783188867,32976,3086802632010.00
20210530,6930.00,6961.40,6917.00,6917.00,6917.00,1162510773,42134,4133925701912.00
20210531,6889.80,6889.80,6832.10,6832.10,6832.10,763650339,25982,2804712021496.00
20210601,6787.70,6802.90,6753.40,6753.40,6753.40,568163643,23679,2234189926128.00
20210602,6745.20,6796.20,6745.20,6796.20,6796.20,464361877,23733,1936975198385.00
20210607,6818.80,6869.10,6818.80,6869.10,6869.10,468063956,25043,1903129517638.00
20210608,6958.10,7078.50,6958.10,7067.30,7067.30,1341860057,38221,4762874818042.00
20210609,7059.90,7064.10,7030.60,7033.30,7033.30,755671957,27710,2566626024827.00
20210612,7026.30,7026.30,6927.90,6927.90,6927.90,529119009,20319,2263500093340.00
20210613,6916.10,6916.10,6884.10,6884.10,6884.10,464086380,19513,2088341733809.00
20210614,6864.40,6876.60,6808.10,6838.30,6838.30,769251309,31008,2508944563935.00
20210615,6855.20,6886.00,6846.90,6846.90,6846.90,561261787,23226,1906990271785.00
20210616,6840.00,6841.50,6801.50,6801.50,6801.50,438732923,19952,1675546615974.00
20210619,6935.20,6953.70,6935.20,6952.80,6952.80,779239018,23603,2576295533155.00
20210620,7013.90,7013.90,6957.50,6957.50,6957.50,1249111708,39258,3938229814136.00
20210621,6954.70,7061.30,6947.20,7061.30,7061.30,1200793914,32916,4187110960025.00
20210622,7119.90,7262.20,7119.90,7262.20,7262.20,1194300750,34555,4241544006532.00
20210623,7333.00,7353.80,7333.00,7350.90,7350.90,1302785156,45010,4485618308615.00
20210626,7339.90,7381.10,7339.70,7345.00,7345.00,948012379,41236,3142197990523.00
20210627,7312.30,7331.80,7301.00,7301.00,7301.00,730720834,31015,2374740474741.00
20210628,7297.20,7456.70,7295.30,7456.70,7456.70,1644177548,48161,5306634754633.00
20210629,7482.70,7482.70,7408.20,7408.20,7408.20,791603603,31936,2509399776197.00
20210630,7399.90,7399.90,7374.90,7374.90,7374.90,585553789,26769,2251697988766.00
20210703,7363.80,7363.80,7225.40,7225.40,7225.40,819983761,32670,3027823909479.00
20210704,7193.00,7193.00,7144.40,7171.60,7171.60,622843470,25461,2068593303242.00
20210705,7189.80,7244.00,7189.80,7244.00,7244.00,729110740,24989,2436752216925.00
20210706,7252.70,7315.40,7252.70,7307.20,7307.20,481552887,22828,1851407097052.00
20210707,7300.90,7315.60,7291.20,7291.20,7291.20,594562045,25686,2116733485149.00
20210710,7292.40,7292.40,7232.30,7232.30,7232.30,469405592,23610,1822540693788.00
20210711,7238.10,7288.70,7238.10,7288.70,7288.70,1045327550,34022,3818112313010.00
20210712,7354.50,7473.30,7354.50,7458.70,7458.70,1077886310,38698,4025343654220.00
20210713,7470.80,7497.10,7470.80,7482.10,7482.10,1261836148,41693,4578209738902.00
20210714,7478.10,7517.00,7461.30,7517.00,7517.00,1031626896,35503,4123355102920.00
20210717,7542.20,7548.50,7499.90,7499.90,7499.90,841450439,32375,2713273180446.00
20210718,7490.90,7490.90,7405.30,7405.30,7405.30,1047261419,32137,3224229805413.00
20210719,7401.60,7402.30,7379.30,7379.30,7379.30,176200507,11446,706746148793.00
20210726,7378.70,7378.70,7364.90,7364.90,7364.90,32816893,2953,258266112798.00
20210727,7362.50,7362.50,7206.10,7206.10,7206.10,359871200,15233,1349882969864.00
20210728,7202.10,7202.90,7108.40,7108.40,7108.40,629688787,26937,2342789824852.00
20210731,7118.50,7171.80,7118.50,7168.10,7168.10,808771700,32029,2428390468133.00
20210801,7158.80,7162.70,7123.60,7157.80,7157.80,789113215,34442,2426572982295.00
