date,open,high,low,last,close,vol,count,value
20210501,15552.40,15552.40,15530.10,15530.10,15530.10,6120726,376,25556220740.00
20210502,15536.70,15536.70,15530.00,15530.00,15530.00,1370531,55,10394634720.00
20210503,15529.90,15529.90,15522.40,15522.40,15522.40,1501682,114,10883899480.00
20210505,15522.10,15522.10,15507.90,15507.90,15507.90,2734588,172,16343298000.00
20210508,15506.20,15506.20,15503.50,15503.50,15503.50,349846,34,1330408795.00
20210509,15503.50,15503.50,15500.90,15500.90,15500.90,540871,49,2599197670.00
20210510,15500.80,15500.80,15498.50,15498.50,15498.50,354141,39,1495400073.00
20210511,15498.20,15498.20,15358.10,15358.10,15358.10,33446391,1162,108076163651.00
20210512,15273.20,15273.20,15206.80,15206.80,15206.80,24114069,1150,89958981400.00
20210515,15189.00,15189.00,15011.00,15019.60,15019.60,25075474,1576,75027934508.00
20210516,14768.50,14831.70,14768.50,14792.80,14792.80,96455473,3907,285034617058.00
20210517,14696.40,14697.80,14612.30,14612.30,14612.30,54405541,3601,157883706135.00
20210518,14496.90,14496.90,14386.40,14386.40,14386.40,55031915,2033,152718635873.00
20210519,14277.60,14277.60,14143.20,14174.30,14174.30,63554590,8133,184369030335.00
20210522,14087.70,14087.70,13975.30,13975.30,13975.30,44639873,3676,116322582719.00
20210523,13983.00,13983.00,13654.90,13707.60,13707.60,77549800,10596,236839986437.00
20210524,13809.80,13809.80,12776.80,13767.80,13767.80,46909577,13097,140432216210.00
20210525,13835.60,13914.80,13835.60,13898.10,13898.10,36586966,11208,110888315953.00
20210526,13943.60,14011.10,13939.40,14004.30,14004.30,35241709,14015,123707368390.00
20210529,14070.20,14124.90,14070.20,14117.40,14117.40,54326570,13738,204374615575.00
20210530,14108.60,14108.60,14066.00,14066.00,14066.00,16888162,6955,71179274105.00
20210531,14037.80,14037.80,13773.60,13776.10,13776.10,31988671,6022,99752393536.00
20210601,13761.80,13761.80,13707.10,13707.10,13707.10,43804549,8041,144538043277.00
20210602,13510.30,13652.80,13510.30,13652.80,13652.80,43652870,9176,169687971534.00
20210607,13657.90,13769.60,13657.90,13763.60,13763.60,29033499,10453,104430187314.00
20210608,13804.20,13951.80,13804.20,13841.60,13841.60,50348109,10049,174339696420.00
20210609,13776.10,13776.10,13665.10,13667.90,13667.90,29636858,6911,95842212709.00
20210612,13670.50,13702.80,13628.20,13628.20,13628.20,26725089,21609,83319153748.00
20210613,13621.60,13633.20,13586.20,13630.40,13630.40,25359789,20517,76465877875.00
20210614,13560.50,13701.50,13560.50,13696.70,13696.70,29472351,24519,111347561413.00
20210615,13698.70,13698.70,13672.00,13673.80,13673.80,13850328,29936,49690367843.00
20210616,13674.60,13678.80,13656.70,13656.70,13656.70,16869339,46309,62791866039.00
20210619,13651.60,13684.80,13644.30,13684.80,13684.80,12761102,24006,50143681814.00
20210620,13686.70,13687.80,13598.60,13599.90,13599.90,18183748,26478,58113226896.00
20210621,13595.30,13788.80,13595.30,13786.40,13786.40,107806523,35720,315392486179.00
20210622,13830.30,13845.00,13822.90,13829.50,13829.50,62946303,51021,199343131629.00
20210623,13826.00,13923.90,13826.00,13921.50,13921.50,55737179,8948,176180167936.00
20210626,13924.80,14047.30,13924.80,13993.90,13993.90,100083461,7898,340005331131.00
20210627,13990.50,14071.30,13990.50,14026.00,14026.00,40013380,6848,136686389810.00
20210628,13985.80,13985.80,13920.50,13924.90,13924.90,43429961,6825,140522992113.00
20210629,13925.20,13958.90,13663.80,13689.40,13689.40,76708498,12371,405198549319.00
20210630,13754.10,13852.10,13754.10,13852.10,13852.10,67215517,10240,310763875668.00
20210703,13850.10,13956.60,13810.80,13932.20,13932.20,198077497,202216,784772217731.00
20210704,13873.90,13898.00,13873.90,13887.20,13887.20,91669094,237036,403325086179.00
20210705,13940.30,14039.30,13940.30,14039.30,14039.30,38506987,61659,189544250229.00
20210706,13778.40,13863.40,13778.40,13838.80,13838.80,50698641,52302,273397425775.00
20210707,13881.00,13881.00,13672.70,13844.90,13844.90,97211868,48556,789207119994.00
20210710,13959.90,13959.90,13687.10,13687.10,13687.10,186694438,187579,981648942674.00
20210711,13631.30,13652.30,13538.20,13578.70,13578.70,170813479,135400,1093474960975.00
20210712,13614.40,13721.20,13614.40,13671.90,13671.90,154774800,110857,1081948248549.00
20210713,13676.40,13823.30,13676.40,13813.60,13813.60,136700832,81225,874262967242.00
20210714,13751.80,13759.50,13653.60,13755.10,13755.10,109530395,68801,764528242586.00
20210717,13854.30,13867.30,13758.70,13758.70,13758.70,125491883,66456,808610980134.00
20210718,13677.50,13677.50,13439.40,13439.40,13439.40,70508413,19883,369093329532.00
20210719,13381.70,13447.60,13381.70,13395.40,13395.40,89966540,66036,569449198653.00
20210726,13363.40,13363.40,13217.30,13217.30,13217.30,88139174,38856,493946893547.00
20210727,13196.50,13215.00,12901.30,12901.30,12901.30,50664317,24981,276849131350.00
20210728,12736.90,12736.90,12598.50,12598.50,12598.50,84009980,49206,410697291634.00
20210731,12527.00,12599.20,12527.00,12567.60,12567.60,98472835,30036,467165545867.00
20210801,12572.90,12777.00,12572.90,12777.00,12777.00,89676788,27402,398245855656.00
