date,open,high,low,last,close,vol,count,value
20210501,26139.00,26139.00,25891.00,25891.00,25891.00,8276415,1786,147392469180.00
20210502,25888.70,25888.70,25700.00,25700.00,25700.00,2419854,332,38387774626.00
20210503,25692.40,25692.40,25544.80,25544.80,25544.80,1803241,222,29645372700.00
20210505,25528.20,25528.20,25400.10,25400.10,25400.10,1680044,369,26737491034.00
20210508,25394.00,25394.00,25378.50,25378.50,25378.50,303227,176,4804865040.00
20210509,25373.70,25373.70,25361.40,25361.40,25361.40,180153,91,2778684150.00
20210510,25356.20,25356.20,25162.30,25162.30,25162.30,2472868,390,40211242120.00
20210511,24627.80,24767.70,24586.50,24735.30,24735.30,58524484,14779,1010954349840.00
20210512,24812.10,24831.80,24442.00,24442.00,24442.00,14460716,4396,267331348460.00
20210515,24174.80,24776.40,24174.80,24776.40,24776.40,29114403,7507,490898245532.00
20210516,24883.00,25386.30,24883.00,25070.50,25070.50,20037848,6682,343045974780.00
20210517,24970.40,24970.40,24053.60,24053.60,24053.60,14478204,3478,238441553616.00
20210518,23592.80,23592.80,23270.80,23340.30,23340.30,24329583,5820,425701169428.00
20210519,23366.80,23366.80,22731.20,22731.20,22731.20,10650586,3374,182239968339.00
20210522,22504.20,22504.20,21988.80,21988.80,21988.80,7197008,1255,112780614720.00
20210523,21937.60,21937.60,21768.80,21768.80,21768.80,1983633,457,31744677561.00
20210524,21719.40,21719.40,20824.10,20865.30,20865.30,28679788,4598,417443288632.00
20210525,20880.80,21106.90,20880.80,20981.60,20981.60,15571515,4977,235324857960.00
20210526,20955.70,20994.30,20644.00,20644.00,20644.00,14532912,4773,206884786288.00
20210529,20925.60,21512.60,20925.60,21512.60,21512.60,15672340,2775,229111653950.00
20210530,21845.40,21928.70,21510.60,21510.60,21510.60,23539401,5717,360205080382.00
20210531,21474.70,21474.70,20854.00,20854.00,20854.00,11795588,3247,183816382204.00
20210601,20891.00,20924.70,20389.30,20389.30,20389.30,15781733,3821,272567041514.00
20210602,19811.80,20439.80,19811.80,20439.80,20439.80,31539310,5939,430097345308.00
20210607,20577.10,21128.70,20577.10,21124.30,21124.30,20819832,3887,307445013772.00
20210608,21414.30,21834.60,21414.30,21786.00,21786.00,49923195,5865,767989835772.00
20210609,21773.70,22052.10,21773.70,21847.40,21847.40,25608047,4707,369015059436.00
20210612,21866.50,21875.80,21541.70,21541.70,21541.70,12904908,2766,186440198275.00
20210613,21655.40,21655.40,21477.30,21503.00,21503.00,16581460,2999,269059576726.00
20210614,21677.60,22290.10,21677.60,22284.40,22284.40,29830293,3663,439235711954.00
20210615,22474.20,22598.70,22306.70,22306.70,22306.70,24197503,4490,368491227835.00
20210616,22276.90,22276.90,21667.60,21667.60,21667.60,16091425,3515,226385728794.00
20210619,21679.50,21696.80,21579.20,21696.80,21696.80,14198652,2840,204449793903.00
20210620,21686.30,21686.30,21231.10,21231.10,21231.10,14194935,3085,231178826897.00
20210621,21353.40,21972.00,21353.40,21972.00,21972.00,22420038,3293,339307139478.00
20210622,22513.20,22929.90,22513.20,22929.90,22929.90,25309698,1741,522890617964.00
20210623,23348.50,23776.30,23348.50,23776.30,23776.30,22544586,2714,525281956342.00
20210626,23965.90,24847.70,23965.90,24845.50,24845.50,21982483,2744,465043973014.00
20210627,25195.90,25561.30,25195.90,25409.20,25409.20,79067997,12078,1348747177242.00
20210628,25068.00,25068.00,24832.60,24998.00,24998.00,57767248,13822,1068256268568.00
20210629,25884.60,25999.30,25884.60,25943.80,25943.80,97719263,14792,1745206744410.00
20210630,25929.90,26030.10,25847.70,25847.70,25847.70,73412297,10287,787587134900.00
20210703,25819.80,25819.80,24938.00,24938.00,24938.00,175524746,18951,1450071201681.00
20210704,24891.50,25304.10,24891.50,25295.90,25295.90,77699267,12273,707453827759.00
20210705,25513.30,26231.00,25513.30,26231.00,26231.00,60989677,9271,668027784264.00
20210706,27264.00,27264.00,26795.90,26795.90,26795.90,80868459,13513,1072796966197.00
20210707,26531.40,26531.40,26112.90,26112.90,26112.90,47628943,8801,519862027016.00
20210710,26016.60,26016.60,25309.60,25309.60,25309.60,41167001,8098,439560851567.00
20210711,25287.80,25517.20,25287.80,25517.20,25517.20,43355273,7877,434220683977.00
20210712,25571.70,25782.40,25477.30,25477.30,25477.30,50124160,8823,566892933873.00
20210713,25452.00,25510.20,25115.60,25115.60,25115.60,49471884,9365,634260499874.00
20210714,25107.00,25978.50,25095.30,25976.30,25976.30,69673029,9730,874498621321.00
20210717,26272.60,26888.00,26272.60,26817.60,26817.60,89155259,13185,1349434831109.00
20210718,26803.80,26933.00,26803.80,26863.10,26863.10,63852092,11224,736151301882.00
20210719,26915.30,27767.40,26915.30,27759.60,27759.60,85528942,14230,1195501477402.00
20210726,27835.50,27870.20,27381.50,27381.50,27381.50,30093041,6678,485874139573.00
20210727,27246.40,27246.40,26327.60,26327.60,26327.60,45804449,6804,515734247148.00
20210728,26190.50,26244.70,25586.00,25586.00,25586.00,72618660,11388,830103944743.00
20210731,25571.60,25961.90,25571.60,25901.30,25901.30,57686616,9543,635243963674.00
20210801,25916.50,25943.70,25443.00,25443.00,25443.00,81355008,11873,1556191924612.00
