date,open,high,low,last,close,vol,count,value
20210501,5673.10,5673.10,5626.90,5626.90,5626.90,4816279,630,67158616450.00
20210502,5602.80,5602.80,5586.70,5586.70,5586.70,4008281,299,49239489830.00
20210503,5563.30,5563.30,5543.70,5543.70,5543.70,4135406,242,53729693900.00
20210505,5542.40,5542.40,5486.50,5486.50,5486.50,5220841,661,72692695680.00
20210508,5485.80,5485.80,5437.70,5437.70,5437.70,4993299,528,70924925070.00
20210509,5425.00,5425.00,5419.70,5419.70,5419.70,1127688,291,24703336400.00
20210510,5388.80,5388.80,5338.90,5338.90,5338.90,8571362,880,110137413390.00
20210511,5338.60,5338.60,5273.40,5275.60,5275.60,59914488,6462,565041082430.00
20210512,5278.60,5282.80,5215.20,5215.20,5215.20,26104222,3840,247397794060.00
20210515,5191.10,5191.10,5088.10,5088.10,5088.10,19409455,2654,191746553180.00
20210516,5071.60,5071.60,5028.50,5028.50,5028.50,19491338,3030,207286804540.00
20210517,5025.40,5025.40,4909.90,4909.90,4909.90,14973240,2059,138786430200.00
20210518,4878.20,4878.20,4782.50,4782.50,4782.50,16817658,2465,156117183240.00
20210519,4780.10,4780.10,4700.70,4700.70,4700.70,12338998,1324,91844028340.00
20210522,4688.00,4688.00,4648.70,4659.70,4659.70,5682069,450,40376186220.00
20210523,4658.30,4658.30,4564.10,4569.40,4569.40,12203137,853,85311672820.00
20210524,4563.60,4563.60,4499.60,4499.60,4499.60,20113869,2609,163492252310.00
20210525,4504.20,4546.50,4504.20,4545.70,4545.70,12851163,2338,104400449690.00
20210526,4542.20,4545.00,4540.90,4544.60,4544.60,7776814,1929,68635845790.00
20210529,4581.20,4675.40,4581.20,4675.40,4675.40,23127626,1467,191880379120.00
20210530,4712.60,4736.10,4712.60,4715.50,4715.50,19128539,2550,173244043140.00
20210531,4669.50,4669.50,4620.00,4620.00,4620.00,16792301,1606,135274773730.00
20210601,4617.00,4617.00,4587.10,4587.10,4587.10,5543059,1150,49555115130.00
20210602,4584.90,4584.90,4575.70,4575.70,4575.70,1403419,466,26679992910.00
20210607,4575.70,4575.70,4569.00,4569.80,4569.80,1495332,570,28511410980.00
20210608,4569.30,4569.80,4534.00,4534.00,4534.00,8321289,1377,72177889430.00
20210609,4530.70,4530.70,4513.40,4513.40,4513.40,6382896,1346,55809943480.00
20210612,4513.70,4513.70,4498.20,4498.20,4498.20,5541064,1116,45540593010.00
20210613,4495.10,4495.10,4469.50,4469.50,4469.50,5746358,1069,47707044750.00
20210614,4473.00,4481.00,4473.00,4479.70,4479.70,9832979,1648,79140209910.00
20210615,4480.60,4481.40,4467.10,4467.10,4467.10,5812102,1320,55070403660.00
20210616,4466.20,4466.20,4447.80,4447.80,4447.80,4505615,1126,38962396420.00
20210619,4446.00,4446.00,4438.90,4438.90,4438.90,7941613,1329,72811571400.00
20210620,4438.10,4438.10,4418.30,4418.30,4418.30,6886340,1289,54536566430.00
20210621,4416.90,4546.00,4409.00,4546.00,4546.00,40790592,2686,359866118690.00
20210622,4604.00,4723.70,4604.00,4723.70,4723.70,17896786,876,223004728810.00
20210623,4770.60,4804.30,4770.60,4802.60,4802.60,13021852,2083,191825564420.00
20210626,4804.80,5151.10,4804.80,5099.10,5099.10,135183717,8249,1153761680110.00
20210627,5083.30,5083.30,5049.70,5049.70,5049.70,29149452,3598,257095856430.00
20210628,5047.50,5257.40,5047.50,5257.40,5257.40,40528846,2790,446532801770.00
20210629,5327.90,5417.90,5327.90,5417.90,5417.90,21478009,2233,252400442930.00
20210630,5549.40,5549.40,5510.30,5510.40,5510.40,98611510,7471,921290449880.00
20210703,5503.90,5503.90,5327.00,5327.00,5327.00,18494654,2864,197382039150.00
20210704,5245.20,5245.20,5167.00,5167.00,5167.00,32703585,3819,299310110220.00
20210705,5170.10,5299.10,5168.80,5299.10,5299.10,46959470,3267,455028820040.00
20210706,5339.80,5364.30,5339.80,5343.40,5343.40,36953348,4194,374689468410.00
20210707,5338.30,5349.50,5324.00,5324.00,5324.00,17651185,2325,170242425380.00
20210710,5323.50,5386.90,5323.50,5371.10,5371.10,37020158,3958,361917433690.00
20210711,5370.30,5372.60,5358.50,5358.50,5358.50,22037462,3035,231520493160.00
20210712,5360.30,5390.00,5360.30,5382.90,5382.90,21345542,3655,262083969410.00
20210713,5380.60,5380.60,5316.40,5316.40,5316.40,13187179,3021,146246412780.00
20210714,5313.20,5331.10,5298.80,5331.10,5331.10,26622826,3755,281534800900.00
20210717,5335.70,5372.80,5335.70,5358.00,5358.00,23176964,1942,204859024030.00
20210718,5354.90,5354.90,5223.70,5223.70,5223.70,29742866,2375,251372317570.00
20210719,5226.90,5345.90,5226.90,5345.90,5345.90,27553447,1860,242580406680.00
20210726,5399.10,5484.60,5399.10,5484.40,5484.40,95809591,5549,881795542650.00
20210727,5475.50,5475.50,5365.90,5466.60,5466.60,38574468,3031,340571063590.00
20210728,5584.10,5585.60,5570.10,5570.10,5570.10,34737104,3474,317548513300.00
20210731,5566.10,5579.10,5558.10,5558.10,5558.10,33226546,4312,295732647940.00
20210801,5557.40,5713.70,5554.60,5713.70,5713.70,66343998,6098,610710526580.00
