date,open,high,low,last,close,vol,count,value
20210501,1321.50,1322.30,1321.20,1321.50,1321.50,31867515,8412,201213788920.00
20210502,1321.50,1321.50,1319.80,1320.50,1320.50,19353354,6527,111348340714.00
20210503,1320.30,1321.20,1320.30,1321.20,1321.20,13853747,6818,88065290599.00
20210505,1321.40,1321.40,1319.10,1319.10,1319.10,16190606,7215,110322655652.00
20210508,1319.00,1319.00,1315.90,1315.90,1315.90,12905566,6155,93959494628.00
20210509,1314.90,1314.90,1308.40,1308.40,1308.40,17713242,4290,156237241820.00
20210510,1308.20,1308.20,1300.80,1300.80,1300.80,24895203,5678,187298573447.00
20210511,1300.70,1300.70,1297.40,1297.70,1297.70,33486878,7478,251223869995.00
20210512,1296.70,1296.90,1294.00,1294.00,1294.00,32677826,7002,210980523028.00
20210515,1291.70,1291.70,1282.10,1282.10,1282.10,15387959,5303,112638060638.00
20210516,1275.90,1275.90,1275.20,1275.60,1275.60,24481554,6802,173540888488.00
20210517,1269.60,1269.60,1265.70,1267.00,1267.00,48512282,7086,310134097064.00
20210518,1261.90,1264.60,1261.10,1261.10,1261.10,43047009,8048,279235452096.00
20210519,1257.80,1257.80,1238.00,1239.50,1239.50,18384613,7084,187789314510.00
20210522,1238.30,1238.30,1230.60,1231.10,1231.10,23206563,4883,183184867210.00
20210523,1230.80,1230.80,1224.40,1224.40,1224.40,41412329,5090,308954724180.00
20210524,1221.40,1221.40,1218.00,1218.00,1218.00,41807605,7425,287382281070.00
20210525,1217.10,1217.10,1215.50,1216.30,1216.30,51047718,10968,342425842730.00
20210526,1213.80,1216.30,1213.80,1216.00,1216.00,96811093,16131,691377041150.00
20210529,1217.40,1225.40,1217.40,1222.70,1222.70,37460744,8002,276014895851.00
20210530,1228.80,1228.80,1221.30,1221.30,1221.30,105553277,8611,810993225002.00
20210531,1221.20,1221.20,1215.50,1216.00,1216.00,13142152,4099,94891012730.00
20210601,1218.30,1218.30,1213.50,1213.50,1213.50,16591910,4496,112112218546.00
20210602,1211.10,1211.30,1207.60,1207.60,1207.60,16188896,5284,107182808894.00
20210607,1201.70,1201.70,1184.00,1186.80,1186.80,18657726,6643,178375993737.00
20210608,1188.40,1188.40,1183.70,1183.90,1183.90,33355313,7277,213892669900.00
20210609,1182.90,1182.90,1170.40,1171.10,1171.10,31889224,5310,227123763296.00
20210612,1170.20,1170.50,1165.90,1165.90,1165.90,31742944,5327,217556826651.00
20210613,1165.60,1165.60,1157.90,1157.90,1157.90,48907900,5318,344990383043.00
20210614,1156.40,1156.40,1148.90,1148.90,1148.90,29873737,5952,212887228973.00
20210615,1145.60,1145.60,1134.90,1134.90,1134.90,61042799,5962,427803645069.00
20210616,1133.20,1133.20,1128.60,1128.60,1128.60,38260760,5979,261959604487.00
20210619,1114.50,1116.30,1113.30,1114.10,1114.10,78694878,15306,1225194522420.00
20210620,1111.80,1114.10,1106.80,1114.10,1114.10,83629200,21646,1565815410776.00
20210621,1125.20,1135.40,1125.20,1135.40,1135.40,45950339,8191,512843575775.00
20210622,1152.50,1162.20,1152.50,1162.20,1162.20,39746249,10315,538727164525.00
20210623,1170.10,1182.90,1170.10,1182.90,1182.90,37113103,16485,758831907939.00
20210626,1190.80,1208.10,1190.80,1208.10,1208.10,29252292,6745,254103374730.00
20210627,1225.30,1225.60,1220.00,1220.00,1220.00,62192738,14399,1193928572250.00
20210628,1215.30,1217.20,1209.60,1215.80,1215.80,51802332,14775,998229844790.00
20210629,1220.60,1221.00,1219.10,1219.10,1219.10,42945032,9053,466468896850.00
20210630,1229.00,1229.00,1224.70,1224.80,1224.80,56944319,14905,1099070623890.00
20210703,1216.30,1216.30,1213.40,1213.40,1213.40,29203963,8249,317561991360.00
20210704,1202.20,1211.50,1202.00,1211.10,1211.10,39940799,9729,624049139480.00
20210705,1216.10,1223.90,1216.10,1223.90,1223.90,19038512,5683,170171977750.00
20210706,1229.30,1232.00,1229.30,1232.00,1232.00,20524061,6204,146224334390.00
20210707,1231.90,1238.00,1231.90,1238.00,1238.00,54346534,5729,344770403130.00
20210710,1239.80,1255.60,1239.80,1255.60,1255.60,49848556,8935,373939122828.00
20210711,1262.50,1262.50,1256.00,1256.90,1256.90,51677013,15587,916776365489.00
20210712,1255.30,1281.20,1255.30,1272.50,1272.50,65493977,18285,910909193537.00
20210713,1274.20,1286.30,1274.20,1283.30,1283.30,50301103,12856,913348433658.00
20210714,1290.60,1297.90,1290.60,1297.00,1297.00,31016223,11288,502042527755.00
20210717,1308.60,1308.90,1299.00,1299.10,1299.10,48854639,15706,802347969650.00
20210718,1289.90,1295.00,1289.90,1294.20,1294.20,55945469,15104,1102277171850.00
20210719,1301.90,1302.70,1299.90,1300.00,1300.00,42080149,13902,818450786124.00
20210726,1308.30,1310.50,1306.40,1307.80,1307.80,99085860,15112,938544256148.00
20210727,1307.10,1311.00,1300.80,1300.80,1300.80,69308806,12181,654750766420.00
20210728,1310.10,1310.10,1302.90,1302.90,1302.90,75894701,10401,602353386431.00
20210731,1307.50,1309.90,1307.30,1307.80,1307.80,62763727,8823,438462154940.00
20210801,1312.20,1312.20,1309.50,1311.10,1311.10,89475899,8483,622641773286.00
