date,open,high,low,last,close,vol,count,value
20210501,60228.70,60449.00,60226.80,60449.00,60449.00,1708459,742,36278817080.00
20210502,60457.40,60515.30,60457.40,60515.30,60515.30,1172496,646,22716080090.00
20210503,60517.20,60537.60,58646.30,58646.30,58646.30,10547747,1696,78321674420.00
20210505,58553.30,58553.30,58138.20,58138.20,58138.20,11527301,985,91275267480.00
20210508,58100.30,58100.30,57691.30,57705.30,57705.30,19024332,1179,141524137590.00
20210509,57213.00,57566.80,57213.00,57566.80,57566.80,95013782,5624,610058628590.00
20210510,57557.20,57575.80,57551.50,57575.80,57575.80,1078765,442,20760256590.00
20210511,57572.60,57611.10,55677.20,55677.20,55677.20,3330155,816,75180459040.00
20210512,55677.70,57642.70,55676.00,57642.70,57642.70,26809760,3406,267049085470.00
20210515,57662.80,57980.20,57513.80,57601.30,57601.30,27630694,3920,225572894070.00
20210516,57799.80,57799.80,57530.70,57624.10,57624.10,18819756,2914,344138119580.00
20210517,57646.90,57646.90,56439.20,56439.20,56439.20,17374660,3609,306875369510.00
20210518,56290.30,56290.30,55907.30,55907.70,55907.70,12838080,2579,159023734630.00
20210519,55854.70,55856.20,55530.90,55530.90,55530.90,12838097,2465,175312905140.00
20210522,55474.40,55474.40,55082.30,55082.30,55082.30,8764981,1741,85664291880.00
20210523,54944.50,54944.50,54194.10,54194.10,54194.10,11355613,1834,125402334860.00
20210524,53938.50,53948.00,53872.20,53872.20,53872.20,11218612,1593,97589192360.00
20210525,53665.40,53671.40,53421.90,53426.90,53426.90,13473047,2724,130084123800.00
20210526,53423.40,53430.00,53230.90,53283.50,53283.50,9729117,2632,117095357410.00
20210529,53295.40,53494.10,53086.70,53086.70,53086.70,9918583,2900,139707869260.00
20210530,52985.30,52987.30,52800.40,52987.30,52987.30,42475159,6150,428570420890.00
20210531,52991.40,53579.90,52991.40,53579.90,53579.90,10869617,2991,128723175740.00
20210601,53586.40,53591.10,53239.30,53328.90,53328.90,11934864,2861,143148271400.00
20210602,53268.80,53315.20,53134.90,53315.20,53315.20,7324698,1845,93281975750.00
20210607,53137.00,53547.80,53137.00,53458.50,53458.50,28039748,6213,314196998870.00
20210608,53653.80,53954.50,53291.00,53397.00,53397.00,45275817,6899,620575080500.00
20210609,53485.90,53583.90,52929.80,52929.90,52929.90,38036620,6165,327517416720.00
20210612,52973.90,53485.50,52965.80,53415.10,53415.10,20184585,4959,280267572580.00
20210613,53429.20,53748.10,53268.00,53748.10,53748.10,17709396,5037,256888330660.00
20210614,53747.80,53845.80,53705.00,53721.90,53721.90,17748539,4328,213996538990.00
20210615,53657.90,53657.90,53582.20,53588.80,53588.80,20543270,3848,291775937020.00
20210616,53594.60,53857.30,53594.30,53857.20,53857.20,13384527,3436,171613763990.00
20210619,53857.20,54385.30,53857.20,54385.30,54385.30,13092366,2903,164835147080.00
20210620,54470.70,55882.40,54466.00,55862.60,55862.60,29319307,5155,361981379100.00
20210621,55863.70,55863.70,55350.00,55350.00,55350.00,14813996,3956,192903490280.00
20210622,55264.10,55285.40,55149.20,55149.20,55149.20,21804769,4065,269629841220.00
20210623,55319.80,55319.80,54512.50,54512.50,54512.50,69983284,10500,748373934400.00
20210626,54680.00,54684.60,54518.80,54660.70,54660.70,29256988,7339,370961284870.00
20210627,54503.30,54549.90,54277.50,54277.50,54277.50,29593608,6091,436777998990.00
20210628,54565.50,54675.40,54547.50,54547.50,54547.50,58033433,10118,907386431490.00
20210629,54704.30,54833.20,54673.40,54833.20,54833.20,31657269,8210,439345947050.00
20210630,54793.50,55026.20,54772.60,55026.20,55026.20,25264745,6719,385344660690.00
20210703,55089.30,55968.30,55089.30,55927.90,55927.90,43345420,7258,479325913190.00
20210704,55918.40,56594.70,55918.40,56465.90,56465.90,29212019,5810,278795611600.00
20210705,56412.10,56412.10,55971.00,55971.00,55971.00,21835671,4960,239369746610.00
20210706,55894.10,55894.10,55570.70,55570.70,55570.70,28010297,7134,382061461490.00
20210707,55564.70,55742.60,55521.60,55742.60,55742.60,25050125,6087,331380090180.00
20210710,55798.20,56219.20,55798.20,56219.20,56219.20,31071132,6045,364486898260.00
20210711,56430.90,56784.10,56430.90,56732.80,56732.80,30055413,5645,355976467440.00
20210712,57246.50,57246.50,57042.30,57042.30,57042.30,36433188,6264,490582226600.00
20210713,57387.00,57619.50,57387.00,57605.30,57605.30,39000923,6084,450882912350.00
20210714,57974.40,58166.10,57974.40,58147.20,58147.20,46010168,6468,703631771320.00
20210717,58514.20,59117.60,58514.20,59117.60,59117.60,43576974,8675,612650425680.00
20210718,59029.90,59315.00,59014.50,59315.00,59315.00,44020463,7823,588677923040.00
20210719,59508.10,59613.50,59371.90,59371.90,59371.90,58603332,7425,957481285610.00
20210726,59449.70,59449.70,58839.90,58839.90,58839.90,48111024,9838,749126849530.00
20210727,58950.70,58950.70,58089.40,58089.40,58089.40,34746910,7608,492795568100.00
20210728,58045.10,58045.10,57660.90,57660.90,57660.90,19512287,4804,230966574530.00
20210731,57533.50,57533.50,57349.10,57349.10,57349.10,21687325,4702,248274084280.00
20210801,57314.30,58355.10,57210.40,57283.20,57283.20,17772687,4072,196899206780.00
