date,open,high,low,last,close,vol,count,value
20210502,800.10,848.70,800.10,845.90,845.90,540166,38,5509693200.00
20210503,845.50,845.50,845.40,845.40,845.40,11602,15,117876320.00
20210505,845.50,845.50,845.30,845.30,845.30,42689,19,433720240.00
20210508,845.40,845.40,845.30,845.30,845.30,39456,24,400872960.00
20210509,845.50,845.50,845.40,845.40,845.40,17432,13,177109120.00
20210510,845.40,845.40,845.10,845.10,845.10,66501,18,675650160.00
20210511,845.30,845.30,844.30,844.30,844.30,225104,64,2287056640.00
20210512,844.10,844.10,839.50,839.50,839.50,495684,198,4877530560.00
20210515,839.10,839.10,838.00,838.00,838.00,144314,53,1425822320.00
20210516,838.20,838.20,837.80,837.80,837.80,34359,37,339123330.00
20210517,837.40,837.40,837.20,837.20,837.20,16639,14,164060540.00
20210518,837.40,837.40,837.20,837.20,837.20,19799,11,195218140.00
20210519,837.40,837.40,837.30,837.30,837.30,11221,9,110639060.00
20210522,837.40,837.40,837.20,837.20,837.20,21425,9,211250500.00
20210523,837.40,837.40,836.80,836.80,836.80,53032,12,522895520.00
20210524,836.60,836.60,836.50,836.50,836.50,11198,10,110300300.00
20210525,836.60,836.60,836.10,836.10,836.10,43589,29,429351650.00
20210526,835.70,835.70,835.20,835.20,835.20,45122,30,444000480.00
20210529,834.90,834.90,829.50,829.50,829.50,448727,131,4410986410.00
20210530,829.20,829.20,827.70,827.70,827.70,130225,72,1270996000.00
20210531,827.70,827.70,827.40,827.40,827.40,27213,17,265054620.00
20210601,827.70,827.70,827.50,827.50,827.50,22266,21,216870840.00
20210602,827.70,827.70,826.60,826.60,826.60,89832,45,874963680.00
20210607,826.80,826.80,824.40,824.40,824.40,200940,55,1955146200.00
20210608,824.40,824.40,821.40,821.40,821.40,254894,52,2472471800.00
20210609,815.50,815.50,739.70,739.70,739.70,3649415,480,33428641400.00
20210612,703.40,703.40,703.40,703.40,703.40,23874194,873,207944229740.00
20210613,699.50,699.50,695.50,695.50,695.50,755092,136,6252161760.00
20210614,694.30,694.30,690.90,690.90,690.90,420253,115,3437669540.00
20210615,691.00,691.00,685.70,685.70,685.70,546239,140,4446385460.00
20210622,661.10,674.00,661.10,672.70,672.70,74010975,6676,610010116800.00
20210623,684.00,702.00,684.00,702.00,702.00,57923182,6610,498214236070.00
20210626,697.20,700.20,686.10,686.10,686.10,44890245,7742,377332197570.00
20210627,678.40,678.40,670.10,670.10,670.10,25916004,4605,212757775030.00
20210628,671.10,671.10,668.70,668.70,668.70,20195019,3457,165450071270.00
20210629,667.90,670.70,664.60,670.70,670.70,37972046,4894,312013879060.00
20210630,675.30,699.80,675.30,699.80,699.80,32570096,3797,279244322290.00
20210703,700.60,700.60,691.20,691.20,691.20,35551049,4078,301085401410.00
20210704,687.90,693.60,683.40,689.30,689.30,17334868,2747,146397076830.00
20210705,691.20,701.60,691.20,701.60,701.60,17787715,3072,152912476350.00
20210706,706.30,721.90,706.30,712.50,712.50,29764405,3815,259848221580.00
20210707,690.30,702.50,690.30,702.50,702.50,23970324,3460,206303649190.00
20210710,704.00,708.60,700.00,708.60,708.60,32096333,4126,278662481180.00
20210711,718.50,726.60,718.50,722.30,722.30,20286024,3535,179531505270.00
20210712,721.50,727.40,714.50,714.50,714.50,22881883,3987,200311471330.00
20210713,710.00,710.00,696.00,696.00,696.00,20150224,3654,171830557950.00
20210714,689.60,689.60,687.40,689.50,689.50,19340479,3351,163382988780.00
20210717,692.90,695.40,681.80,681.80,681.80,25284955,4441,211207544910.00
20210718,678.90,678.90,669.70,673.90,673.90,24547589,3874,202673786590.00
20210719,704.50,706.40,704.50,706.40,706.40,14784144,1170,127949666580.00
20210726,741.10,741.10,741.10,741.10,741.10,14059661,1074,127661721880.00
20210727,735.00,735.50,729.30,729.30,729.30,57504007,6427,513849374550.00
20210728,718.70,718.70,711.60,711.60,711.60,19862443,2685,173173326530.00
20210731,705.60,709.50,703.90,704.40,704.40,30229017,3710,260892810690.00
20210801,699.60,736.50,699.60,736.50,736.50,105347341,6151,950633574280.00
