date,open,high,low,last,close,vol,count,value
20090215,217.80,223.80,217.80,223.80,223.80,986,3,6795488.00
20090301,292.20,292.20,292.20,292.20,292.20,26599,3,239391000.00
20090302,292.30,292.30,292.10,292.10,292.10,315,4,2806440.00
20090314,287.60,287.60,287.60,287.60,287.60,5200,2,45385600.00
20090419,279.00,279.00,279.00,279.00,279.00,100,1,859200.00
20090420,270.60,270.60,270.60,270.60,270.60,30,2,250050.00
20090421,266.60,266.60,266.60,266.60,266.60,5000,2,40425000.00
20090422,258.60,258.60,258.60,258.60,258.60,17347,9,138151508.00
20090427,258.50,258.50,255.20,255.20,255.20,4347,4,33589922.00
20090502,253.10,253.10,253.10,253.10,253.10,2880,2,21970640.00
20090503,250.70,250.70,250.70,250.70,250.70,3120,2,23590320.00
20090504,250.20,250.20,246.40,246.40,246.40,5767,3,43194830.00
20090510,246.40,246.40,246.40,246.40,246.40,50,1,390750.00
20090511,250.10,250.10,250.10,250.10,250.10,5000,1,39075000.00
20090512,250.40,250.40,250.40,250.40,250.40,500,1,3966500.00
20090513,251.00,251.00,251.00,251.00,251.00,1847,1,14434305.00
20090516,252.50,252.50,252.50,252.50,252.50,5000,1,39115000.00
20090518,252.60,254.00,252.60,254.00,254.00,1962,4,15717582.00
20090519,254.80,254.80,254.80,254.80,254.80,1000,2,8058000.00
20090520,254.80,254.80,254.80,254.80,254.80,105,1,848610.00
20090524,254.90,254.90,254.90,254.90,254.90,182754,19,1434628900.00
20090527,254.50,254.50,254.50,254.50,254.50,3003,1,23468445.00
20090606,254.50,254.50,254.50,254.50,254.50,60,1,468900.00
20090623,251.00,251.00,251.00,251.00,251.00,4637,1,35259748.00
20090712,251.00,251.00,251.00,251.00,251.00,3000,2,23190000.00
20090714,251.20,251.20,251.20,251.20,251.20,351,2,2794311.00
20090715,251.60,252.40,251.60,252.40,252.40,1649,3,13127689.00
20090727,328.60,328.60,328.60,328.60,328.60,8732,2,65490000.00
20090728,329.10,329.40,329.10,329.40,329.40,801,2,6187725.00
20090802,329.40,329.40,329.40,329.40,329.40,499,1,3751482.00
20090804,329.50,329.50,329.50,329.50,329.50,50,1,387000.00
20090805,331.10,331.10,331.10,331.10,331.10,1690,1,13087360.00
