date,open,high,low,last,close,vol,count,value
20090223,74.00,74.00,74.00,74.00,74.00,200,1,131400.00
20090613,112.70,112.70,112.70,112.70,112.70,75200,16,75200000.00
20090614,113.10,113.10,113.10,113.10,113.10,26820,3,27624600.00
20090616,113.10,113.10,113.10,113.10,113.10,1450,1,1499300.00
20090622,113.20,113.20,113.20,113.20,113.20,1819,8,1880846.00
20090623,113.20,113.20,113.20,113.20,113.20,2449,1,2532266.00
20090624,113.20,113.20,113.20,113.20,113.20,1,1,1034.00
20090628,116.50,116.50,116.50,116.50,116.50,204,1,210936.00
20090630,120.00,120.00,120.00,120.00,120.00,1091,1,1161915.00
20090701,123.50,123.50,123.50,123.50,123.50,3200,1,3507200.00
20090711,123.50,123.50,123.50,123.50,123.50,3888,9,4385664.00
20090713,0.00,123.50,123.50,123.50,123.50,5362,2,6053698.00
20090715,123.60,123.60,123.60,123.60,123.60,3888,2,4393440.00
20090721,123.60,123.60,123.60,123.60,123.60,1937,1,2190747.00
20090726,127.40,127.40,127.40,127.40,127.40,460,2,520260.00
20090728,131.10,131.10,131.10,131.10,131.10,6450,2,7507800.00
20090729,135.00,135.00,135.00,135.00,135.00,37099,8,44444602.00
20090801,135.00,135.00,135.00,135.00,135.00,488,1,601704.00
20090802,135.00,135.00,135.00,135.00,135.00,1280,1,1578240.00
20090803,135.60,135.60,135.60,135.60,135.60,30000,6,36990000.00
20090818,135.70,135.70,135.70,135.70,135.70,7920,1,9812880.00
20090824,135.80,135.80,135.80,135.80,135.80,5120,1,6348800.00
20090826,139.80,139.80,139.80,139.80,139.80,770000,77,955570000.00
20090830,139.80,139.80,139.80,139.80,139.80,250,1,319500.00
20090901,139.80,139.90,139.80,139.90,139.90,5440,3,6952320.00
20090905,140.00,140.00,140.00,140.00,140.00,5500,2,7034500.00
20090906,140.10,140.10,140.10,140.10,140.10,5400,1,6912000.00
20090909,140.20,140.20,140.20,140.20,140.20,174,1,222894.00
20090913,144.30,144.30,144.30,144.30,144.30,100,1,128100.00
20090915,148.60,148.60,148.60,148.60,148.60,100,1,131900.00
20090916,153.00,153.00,153.00,153.00,153.00,100,1,135800.00
20090921,153.00,153.00,153.00,153.00,153.00,362,1,506076.00
20090922,162.10,162.10,162.10,162.10,162.10,100,1,143900.00
20090923,167.00,167.00,167.00,167.00,167.00,10,1,14820.00
20090926,171.90,171.90,171.90,171.90,171.90,220000,39,335720000.00
20090927,172.10,172.10,172.10,172.10,172.10,6000,1,9426000.00
20090930,172.10,172.20,172.10,172.20,172.20,5565,2,8748180.00
20091003,177.20,177.20,177.20,177.20,177.20,250000,26,393250000.00
20091004,177.40,177.40,177.40,177.40,177.40,5400,2,8748000.00
20091005,177.60,179.80,177.60,179.80,179.80,90000,18,145890000.00
20091007,179.90,181.90,179.90,181.90,181.90,80000,16,131360000.00
20091010,182.00,182.00,182.00,182.00,182.00,5400,1,8974800.00
20091011,182.20,182.20,182.20,182.20,182.20,5400,1,8980200.00
20091013,185.40,185.40,185.40,185.40,185.40,120000,12,199680000.00
20091018,185.40,185.50,185.40,185.50,185.50,5400,2,9147600.00
20091019,185.70,185.70,185.70,185.70,185.70,5400,1,9153000.00
20091020,191.10,191.10,191.10,191.10,191.10,288705,29,489643680.00
20091025,191.10,191.10,191.10,191.10,191.10,725,1,1265850.00
20091031,191.10,191.10,191.10,191.10,191.10,1721,7,3004866.00
20091102,191.10,191.20,191.10,191.20,191.20,3016,3,5265936.00
20091107,197.80,197.80,197.80,197.80,197.80,840,1,1475040.00
20091108,204.70,204.70,204.70,204.70,204.70,5674,1,10309658.00
20091109,211.80,211.80,211.80,211.80,211.80,10,1,18800.00
20100726,212.00,212.00,212.00,212.00,212.00,3808,1,7444640.00
20100802,212.00,212.00,212.00,212.00,212.00,854,1,1670424.00
20100807,220.40,220.40,220.40,220.40,220.40,10,1,19560.00
20100808,229.20,229.20,229.20,229.20,229.20,10,1,20340.00
20100809,238.30,238.30,238.30,238.30,238.30,10,1,21150.00
20100810,238.30,238.30,238.30,238.30,238.30,344,1,756456.00
20100811,247.80,247.80,247.80,247.80,247.80,10,1,21990.00
20100814,257.60,257.60,257.60,257.60,257.60,858,2,1961388.00
20100815,267.90,267.90,267.90,267.90,267.90,7388,2,17561276.00
20100816,267.90,267.90,267.90,267.90,267.90,576,1,1423872.00
20100817,278.60,278.60,278.60,278.60,278.60,886,2,2190192.00
20100818,289.60,289.60,289.60,289.60,289.60,10,1,25700.00
20100821,301.10,301.10,301.10,301.10,301.10,5376,1,14364672.00
20100822,313.00,313.00,313.00,313.00,313.00,640,1,1777920.00
20100823,325.60,325.60,325.60,325.60,325.60,10,1,28890.00
20100825,338.50,338.50,338.50,338.50,338.50,10,1,30040.00
20100828,352.00,352.00,352.00,352.00,352.00,10,1,31240.00
20100829,366.00,366.00,366.00,366.00,366.00,10,1,32480.00
20100830,380.50,380.50,380.50,380.50,380.50,10,1,33770.00
20100831,395.80,395.80,395.80,395.80,395.80,108,1,379296.00
20100904,395.80,395.80,395.80,395.80,395.80,492,1,1796784.00
20100905,411.50,411.50,411.50,411.50,411.50,1792,2,6544384.00
20100906,428.00,428.00,428.00,428.00,428.00,4771,4,18120258.00
20100907,445.00,445.00,445.00,445.00,445.00,2000,3,7898000.00
20100908,445.00,445.20,445.00,445.20,445.20,1942,8,7973852.00
20100912,463.00,463.00,463.00,463.00,463.00,10,1,41090.00
20100913,481.50,481.50,481.50,481.50,481.50,20,2,85460.00
20100914,500.60,500.60,500.60,500.60,500.60,682,1,3030126.00
20100915,520.50,520.50,520.50,520.50,520.50,320,7,1478400.00
20100918,541.30,541.30,541.30,541.30,541.30,1908,1,9166032.00
20100920,562.90,562.90,562.90,562.90,562.90,1300,1,6494800.00
20100921,562.90,562.90,562.90,562.90,562.90,50,1,259750.00
20100922,585.30,585.30,585.30,585.30,585.30,10,1,51950.00
20100925,608.70,608.70,608.70,608.70,608.70,233,1,1258666.00
20100926,633.00,633.00,633.00,633.00,633.00,9840,3,55281120.00
20100927,658.20,658.20,658.20,658.20,658.20,10,1,58420.00
20100928,684.50,684.50,684.50,684.50,684.50,10,1,60750.00
20100929,684.60,685.10,684.60,685.10,685.10,4652,5,29391336.00
20101002,712.50,712.50,712.50,712.50,712.50,10,1,63240.00
20101003,740.90,740.90,740.90,740.90,740.90,10,1,65760.00
