date,open,high,low,last,close,vol,count,value
20090125,153.40,153.40,153.40,153.40,153.40,50000,10,45750000.00
20090126,152.80,152.80,151.90,151.90,151.90,50000,5,45300000.00
20090128,149.10,149.10,149.10,149.10,149.10,100000,23,89800000.00
20090131,148.70,148.70,148.60,148.60,148.60,20000,7,17706160.00
20090413,148.60,148.60,148.60,148.60,148.60,1510,2,1325780.00
20090422,148.60,148.60,148.60,148.60,148.60,10000,1,9050000.00
20090526,139.50,139.50,139.50,139.50,139.50,10000,1,8500000.00
20090824,139.50,139.50,139.50,139.50,139.50,10000,1,8500000.00
20090829,139.60,139.60,139.60,139.60,139.60,1114,1,974750.00
20090923,139.60,139.60,139.60,139.60,139.60,8886,1,7553100.00
20091013,139.60,139.80,139.60,139.80,139.80,10008,3,8746992.00
20091109,140.00,140.20,140.00,140.20,140.20,10000,4,7817000.00
20091123,140.20,140.20,140.20,140.20,140.20,1000,1,808000.00
20100123,140.50,140.50,140.50,140.50,140.50,10000,1,7770000.00
20100126,141.40,141.40,141.40,141.40,141.40,29353,2,22846542.00
20100307,141.50,141.50,141.50,141.50,141.50,5000,1,3850000.00
20100308,141.80,143.30,141.80,143.30,143.30,60000,8,47040000.00
20100309,148.30,148.30,148.30,148.30,148.30,2330088,93,1850089872.00
20100310,148.90,153.30,148.90,153.30,153.30,220000,9,180620000.00
20100313,158.50,158.50,158.50,158.50,158.50,300049,7,254741601.00
20100314,163.90,163.90,163.90,163.90,163.90,400000,8,351200000.00
20100315,169.50,169.50,169.50,169.50,169.50,400000,18,363200000.00
20100316,175.30,175.30,175.30,175.30,175.30,700000,27,657300000.00
20100317,181.00,181.10,181.00,181.10,181.10,819628,60,794774219.00
20100327,181.10,181.10,181.10,181.10,181.10,500,1,501500.00
20100330,175.00,175.00,175.00,175.00,175.00,200000,10,187400000.00
20100331,174.90,174.90,173.60,173.60,173.60,35000,4,31675000.00
20100403,173.70,173.70,173.70,173.70,173.70,11168,2,10405648.00
20100410,169.90,169.90,167.70,167.70,167.70,245014,15,220022572.00
20100411,166.90,166.90,166.90,166.90,166.90,20000,2,17340000.00
20100418,161.10,161.20,161.10,161.20,161.20,726621,33,627228923.00
20100419,161.10,161.10,158.70,158.70,158.70,75000,10,62595200.00
20100420,157.00,157.00,155.60,155.60,155.60,92000,6,75532000.00
20100421,155.90,155.90,155.90,155.90,155.90,10000,2,8620000.00
20100427,155.90,155.90,155.30,155.30,155.30,50200,3,41422800.00
20100501,155.50,155.50,155.50,155.50,155.50,4600,1,3956000.00
20100502,155.20,155.20,155.20,155.20,155.20,10000,2,8040000.00
20100503,154.50,154.50,153.90,153.90,153.90,51190,7,41457415.00
20100505,154.20,154.20,154.20,154.20,154.20,9990,1,8501490.00
20100509,154.70,156.10,154.70,156.10,156.10,65400,8,55666000.00
20100510,156.20,156.20,156.20,156.20,156.20,5000,1,4245000.00
20100512,156.20,156.60,156.20,156.60,156.60,11419,4,9850685.00
20100519,156.60,156.80,156.60,156.80,156.80,117500,5,98700000.00
20100524,157.50,157.60,157.50,157.60,157.60,61313,3,52116050.00
20100526,157.70,157.70,157.70,157.70,157.70,10000,2,8500000.00
20100529,157.70,157.70,157.70,157.70,157.70,1800,1,1530000.00
20100601,158.10,158.10,158.10,158.10,158.10,15000,2,12970000.00
20100602,158.30,163.30,158.30,163.30,163.30,164651,13,143759974.00
20100606,165.10,165.10,165.10,165.10,165.10,50000,1,45150000.00
20100607,170.70,170.70,170.70,170.70,170.70,257273,16,234632976.00
20100608,170.90,171.10,170.90,171.10,171.10,10640,3,10033520.00
20100614,171.10,171.10,171.10,171.10,171.10,5000,1,4600000.00
20100615,171.10,171.10,171.10,171.10,171.10,2000,1,1840000.00
20100616,171.10,171.10,169.80,169.80,169.80,85011,8,76584930.00
20100619,169.50,169.50,169.50,169.50,169.50,10000,2,8807759.00
20100620,169.20,169.20,168.80,168.80,168.80,46439,4,41455686.00
20100621,168.80,168.80,168.80,168.80,168.80,2000,1,1800000.00
20100623,168.70,168.70,167.80,167.80,167.80,33834,6,29575580.00
20100627,167.70,167.70,167.70,167.70,167.70,1100,1,950400.00
20100628,168.10,168.80,168.10,168.80,168.80,208242,8,187467800.00
20100629,170.40,175.50,170.40,175.50,175.50,210804,18,197312544.00
20100630,178.00,182.40,178.00,182.40,182.40,212000,15,206276000.00
20100703,182.50,184.20,180.20,180.20,180.20,316035,30,303760902.00
20100704,180.20,181.50,179.90,179.90,179.90,242715,11,232779840.00
20100705,179.90,180.20,179.90,180.20,180.20,15000,5,14634909.00
20100706,180.20,180.30,180.20,180.30,180.30,4986,3,4898694.00
20100707,180.30,180.30,180.30,180.30,180.30,1922,2,1893170.00
20100712,191.70,195.50,191.70,195.50,195.50,2212668,96,2307952134.00
20100713,192.90,195.00,192.90,195.00,195.00,520000,24,541083060.00
20100714,195.20,195.20,195.20,195.20,195.20,15000,2,15745000.00
20100717,195.20,197.30,195.20,197.30,197.30,1156127,59,1218014520.00
20100718,199.30,200.20,199.30,200.00,200.00,121236,12,130093309.00
20100719,200.00,200.00,198.50,198.50,198.50,52840,6,55144000.00
20100720,198.40,198.40,198.20,198.20,198.20,27160,5,28518000.00
20100721,198.20,198.20,197.50,197.50,197.50,43000,7,44905000.00
20100724,197.50,197.60,197.50,197.60,197.60,12000,4,12686970.00
20100725,197.50,197.80,197.50,197.50,197.50,55238,13,58185915.00
20100726,200.40,204.80,200.40,204.70,204.70,260065,19,284135575.00
20100728,212.60,212.80,212.60,212.80,212.80,3319022,188,3770178992.00
20100731,221.20,221.20,221.20,221.20,221.20,3280000,148,3873680000.00
20100801,230.00,230.00,230.00,230.00,230.00,3650000,134,4482200000.00
20100802,238.60,238.60,237.50,237.50,237.50,6787182,351,8605051743.00
20100803,235.70,235.70,230.80,230.80,230.80,1527741,148,1882676734.00
20100804,229.60,232.80,229.10,232.80,232.80,975037,72,1211560342.00
