date,open,high,low,last,close,vol,count,value
20081206,347.00,347.00,347.00,347.00,347.00,537,1,276555.00
20081207,347.10,347.10,345.50,345.50,345.50,25841,7,23191941.00
20081208,345.60,345.60,345.60,345.60,345.60,6000,1,6882000.00
20081210,345.60,345.60,345.60,345.60,345.60,27892,10,31473527.00
20081213,345.60,345.60,345.60,345.60,345.60,12004,4,13589001.00
20081214,345.60,345.60,345.60,345.60,345.60,500,2,1595600.00
20081215,345.60,345.60,345.50,345.50,345.50,19660,8,19909136.00
20081216,345.50,345.50,345.40,345.40,345.40,36550,11,41422350.00
20081220,345.40,345.50,345.40,345.50,345.50,14000,11,31873582.00
20081221,345.50,345.50,345.50,345.50,345.50,2744,2,4382092.00
20081222,345.50,345.50,345.40,345.40,345.40,6570,6,13100804.00
20081223,345.40,345.50,345.30,345.50,345.50,15608,6,20151400.00
20081224,345.50,345.60,345.50,345.60,345.60,14472,4,17422044.00
20081227,345.60,345.60,345.60,345.60,345.60,3050,4,9950600.00
20081228,345.60,345.60,345.60,345.60,345.60,50,1,165000.00
20081229,345.60,345.60,345.60,345.60,345.60,50,1,164950.00
20081230,345.60,345.60,334.30,345.60,345.60,50,1,165000.00
20081231,345.60,345.80,345.60,345.80,345.80,18091,7,21632088.00
20090103,345.80,345.80,345.80,345.80,345.80,50,1,156550.00
20090104,345.80,345.80,345.70,345.70,345.70,9965,3,14185315.00
20090105,345.70,346.10,345.70,346.10,346.10,29054,5,29163408.00
20090110,346.10,346.20,346.10,346.10,346.10,26291,8,32185516.00
20090111,346.20,346.20,340.80,340.80,340.80,3341,3,1161151.00
20090112,340.80,340.80,340.80,340.80,340.80,450,2,379300.00
20090113,340.80,340.80,340.60,340.60,340.60,3050,2,9522100.00
20090114,340.60,340.60,340.60,340.60,340.60,50,1,155600.00
20090117,340.60,340.60,340.60,340.60,340.60,1398,2,4350576.00
20090118,340.60,340.60,340.50,340.50,340.50,2650,2,8233550.00
20090119,340.50,340.50,340.50,340.50,340.50,100,2,319400.00
20090124,340.50,340.50,340.50,340.50,340.50,10000,2,3100000.00
20090125,340.50,340.50,340.50,340.50,340.50,10000,1,3140000.00
20090126,339.80,339.80,334.80,334.80,334.80,73115,17,25775814.00
20090127,335.00,335.00,335.00,335.00,335.00,23750,7,8224850.00
20090128,335.10,335.10,334.90,335.00,335.00,25050,7,22689950.00
20090131,335.00,335.10,335.00,335.10,335.10,11550,5,7244100.00
20090201,335.20,335.20,335.10,335.10,335.10,626250,36,241298750.00
20090202,335.10,335.10,327.60,327.60,327.60,5907,5,16795367.00
20090203,327.60,327.60,327.10,327.10,327.10,141297,22,216294888.00
20090204,327.10,327.10,307.60,307.60,307.60,11596,13,19809250.00
20090207,307.40,307.40,307.10,307.10,307.10,39405,14,58789309.00
20090208,306.70,306.70,306.40,306.40,306.40,45035,44,71672985.00
20090209,306.00,306.10,306.00,306.10,306.10,54830,13,56021258.00
20090211,305.60,305.60,304.50,304.50,304.50,284658,8,824926665.00
20090214,304.50,305.30,304.10,305.30,305.30,205950,44,383287300.00
20090215,305.20,305.20,305.10,305.20,305.20,230328,57,189737958.00
20090217,305.50,305.60,305.50,305.60,305.60,46700,9,62749200.00
20090218,305.20,305.20,305.20,305.20,305.20,24000,3,29256000.00
20090221,304.80,304.80,304.80,304.80,304.80,26630,6,33630290.00
20090222,304.50,309.00,304.50,309.00,309.00,32500,5,65775000.00
20090223,309.00,310.10,308.70,310.10,310.10,53986,14,50091054.00
20090225,310.10,310.10,310.00,310.00,310.00,6000,2,10341000.00
20090228,310.50,310.50,310.50,310.50,310.50,19000,8,45414000.00
20090301,310.90,310.90,307.60,308.40,308.40,44221,8,64033255.00
20090302,308.80,308.90,308.80,308.90,308.90,65500,9,54406000.00
20090303,309.10,309.10,309.10,309.10,309.10,5000,1,19125000.00
20090304,309.60,309.70,309.60,309.70,309.70,14000,3,42715000.00
20090307,310.40,310.50,310.30,310.50,310.50,38187,8,74684190.00
20090308,310.50,311.70,310.40,310.70,310.70,135739,28,333175792.00
20090309,310.70,310.90,310.70,310.90,310.90,21485,12,23630150.00
20090310,311.00,311.00,272.90,276.90,276.90,78445,33,125013972.00
20090311,276.80,276.80,276.00,276.00,276.00,100020,29,183000800.00
20090316,276.00,276.00,276.00,276.00,276.00,2550,2,1353300.00
20090317,275.70,275.70,275.60,275.60,275.60,121000,25,90875000.00
20090318,275.60,275.70,275.60,275.70,275.70,38575,13,17942425.00
20090328,275.70,275.80,275.70,275.80,275.80,22134,8,8675226.00
20090329,275.80,275.80,275.80,275.80,275.80,2308,2,920832.00
20090331,275.40,275.40,275.40,275.40,275.40,30000,7,28530000.00
20090404,275.30,276.00,275.30,276.00,276.00,18887,5,55162558.00
20090405,276.00,276.20,276.00,276.20,276.20,5210,3,19700240.00
20090406,276.40,276.40,276.40,276.40,276.40,15740,4,29015500.00
20090407,276.80,276.80,276.80,276.80,276.80,48000,10,35762000.00
20090408,276.80,276.90,276.80,276.90,276.90,1700,2,6545000.00
20090411,276.90,276.90,276.60,276.60,276.60,11000,8,25884714.00
20090412,277.10,277.10,277.10,277.10,277.10,10000,2,38610000.00
20090413,277.20,277.60,277.20,277.60,277.60,390000,22,203940000.00
20090414,278.00,278.10,278.00,278.10,278.10,12705,4,36339550.00
20090415,278.30,278.30,278.30,278.30,278.30,10000,2,4120000.00
20090418,278.50,278.80,278.50,278.80,278.80,12382,6,35516068.00
20090419,278.80,279.20,278.80,279.00,279.00,43129,14,67216788.00
20090420,279.10,279.10,278.90,279.10,279.10,80583,18,94336500.00
20090421,279.10,279.10,279.10,279.10,279.10,500,1,637500.00
20090422,278.70,278.90,278.70,278.90,278.90,71864,19,72608873.00
20090425,279.00,279.00,279.00,279.00,279.00,13130,4,13378520.00
20090426,279.10,279.10,279.10,279.10,279.10,10000,1,9450000.00
20090427,279.20,279.40,279.20,279.40,279.40,18410,9,20726670.00
20090428,279.70,280.30,279.70,280.30,280.30,160260,15,520934540.00
20090429,280.40,287.40,280.40,280.40,280.40,12750,3,12531530.00
20090502,280.40,280.50,280.40,280.50,280.50,1190,2,4733420.00
20090503,280.90,281.00,279.50,279.80,279.80,23357,7,61000589.00
20090504,280.00,280.00,279.90,280.00,280.00,32502,6,44343087.00
20090505,280.10,280.30,279.90,279.90,279.90,14660,7,23970420.00
20090506,280.80,281.10,280.70,281.10,281.10,74576,15,161875475.00
20090509,282.60,282.80,282.60,282.80,282.80,46275,10,130623875.00
20090510,284.40,284.40,284.40,284.40,284.40,29114,9,125748920.00
20090511,286.00,286.00,285.80,285.80,285.80,345694,54,1516917674.00
20090512,284.60,284.60,284.10,284.30,284.30,49284,15,217427731.00
20090513,284.40,285.00,284.40,285.00,285.00,17710,10,25839060.00
20090516,286.00,287.10,286.00,287.10,287.10,151010,33,307975620.00
20090517,287.30,288.00,287.30,288.00,288.00,39890,12,70184590.00
20090518,288.20,289.90,288.20,289.90,289.90,55800,13,147174600.00
20090519,289.90,289.90,289.90,289.90,289.90,21700,6,29924350.00
20090520,289.90,289.90,289.90,289.90,289.90,2010,2,2005590.00
20090523,290.00,290.00,290.00,290.00,290.00,25224,6,26239784.00
20090524,290.10,290.40,290.10,290.40,290.40,35420,6,24871070.00
20090525,290.60,290.60,289.60,289.60,289.60,100399,21,119923564.00
20090526,289.70,289.90,289.70,289.90,289.90,22245,6,22898840.00
20090527,290.20,290.20,289.40,289.40,289.40,78976,26,99059593.00
20090530,289.30,289.30,289.30,289.30,289.30,7000,3,11476088.00
20090531,289.40,289.40,289.20,289.20,289.20,39428,11,41535154.00
20090601,289.30,289.30,289.20,289.20,289.20,10821,3,12468364.00
20090602,289.20,289.20,289.10,289.10,289.10,9739,6,15517290.00
20090603,289.10,289.10,289.10,289.10,289.10,6700,4,22878500.00
20090606,289.20,289.20,289.20,289.20,289.20,1072,2,542220.00
20090607,288.90,289.10,288.90,289.10,289.10,25200,8,56095008.00
20090608,288.10,288.10,287.90,287.90,287.90,31142,6,108839240.00
20090609,287.90,287.90,287.90,287.90,287.90,3000,12,10545000.00
20090610,287.90,287.90,287.90,287.90,287.90,5100,4,5026300.00
20090613,287.90,287.90,287.90,287.90,287.90,500,1,1800500.00
20090614,288.00,288.00,288.00,288.00,288.00,14900,4,10487700.00
20090615,288.10,288.20,288.10,288.20,288.20,12962,6,14811714.00
20090616,288.60,288.90,288.60,288.90,288.90,57990,16,71447015.00
20090617,288.90,288.90,288.90,288.90,288.90,1000,1,3603000.00
20090620,288.90,288.90,288.90,288.90,288.90,500,1,1804000.00
20090621,288.90,288.90,288.90,288.90,288.90,500,1,1805000.00
20090622,289.00,289.00,289.00,289.00,289.00,500,1,1806000.00
20090623,289.00,289.00,289.00,289.00,289.00,445,3,1019315.00
20090624,289.00,289.00,289.00,289.00,289.00,100,1,361400.00
20090627,289.00,289.10,289.00,289.10,289.10,1500,6,5421000.00
20090628,289.10,289.10,289.10,289.10,289.10,500,1,1810000.00
20090629,289.10,289.10,289.10,289.10,289.10,200,1,724400.00
20090630,289.10,289.10,289.10,289.10,289.10,200,1,724600.00
20090701,289.10,289.10,289.10,289.10,289.10,200,1,724800.00
20090704,289.10,289.10,289.10,289.10,289.10,1491,3,2196740.00
20090705,290.50,290.50,279.10,279.10,279.10,548,3,934000.00
20090707,280.50,280.50,280.50,280.50,280.50,200,1,746800.00
20090711,281.90,281.90,281.90,281.90,281.90,12900,5,49613400.00
20090712,283.30,283.30,283.30,283.30,283.30,65657,10,249279530.00
20090713,283.50,284.00,283.50,284.00,284.00,12000,6,48948000.00
20090714,284.00,284.00,283.60,283.60,283.60,8000,5,31270626.00
20090715,283.60,283.60,282.20,282.20,282.20,28786,13,107243314.00
20090718,282.00,282.00,282.00,282.00,282.00,3830,4,14390479.00
20090719,282.00,282.60,282.00,282.60,282.60,7096,2,3351966.00
20090721,282.60,282.80,282.60,282.80,282.80,8542,4,11203571.00
20090722,282.80,282.80,282.80,282.80,282.80,603,1,2291400.00
20090725,282.60,282.60,282.60,282.60,282.60,3500,1,13300000.00
20090726,282.70,282.70,281.70,281.80,281.80,42985,9,90184833.00
20090727,281.90,281.90,281.30,281.30,281.30,16161,4,45966379.00
20090728,281.30,281.30,280.80,280.80,280.80,10000,7,34947150.00
20090729,279.20,279.20,279.20,279.20,279.20,25680,10,28972512.00
20090801,279.20,279.20,279.20,279.20,279.20,4000,2,8306000.00
20090802,279.10,281.70,279.10,281.50,281.50,39331,15,77178864.00
20090803,281.60,282.50,281.60,281.60,281.60,57140,13,83287620.00
20090804,281.60,283.20,281.60,283.20,283.20,28928,6,107944872.00
20090805,283.70,283.70,283.30,283.30,283.30,45959,13,75875664.00
20090808,284.90,284.90,284.90,284.90,284.90,26496,4,106142976.00
20090809,284.80,286.40,284.80,286.40,286.40,53831,14,135153668.00
20090810,286.60,286.90,286.40,286.90,286.90,67030,24,96252140.00
20090811,287.50,287.80,287.50,287.80,287.80,14000,2,59906000.00
20090812,289.90,290.30,289.90,290.30,290.30,227027,38,669407394.00
20090815,291.10,296.20,291.10,296.20,296.20,83422,26,205458723.00
20090816,298.10,298.10,298.10,298.10,298.10,170793,32,779930284.00
20090817,298.10,298.10,298.10,298.10,298.10,2713,4,10683942.00
20090818,298.10,298.60,296.80,296.80,296.80,67000,21,164590000.00
20090819,296.90,297.50,296.90,297.50,297.50,26807,8,45110806.00
20090822,297.50,298.10,297.50,298.00,298.00,25462,8,86970590.00
20090823,298.00,298.00,297.00,297.00,297.00,46338,7,98900898.00
20090824,297.10,297.10,296.50,296.50,296.50,26750,7,93869650.00
20090825,296.50,296.50,295.30,295.30,295.30,25704,7,83372803.00
20090826,294.80,294.90,294.80,294.90,294.90,52950,13,42005100.00
20090829,295.10,295.20,295.10,295.20,295.20,31724,7,42462780.00
20090830,295.20,295.80,295.20,295.80,295.80,33607,24,39972580.00
20090831,296.40,296.40,296.40,296.40,296.40,10000,2,44800000.00
20090901,297.10,297.80,297.10,297.80,297.80,73555,15,116091206.00
20090902,297.80,297.80,296.10,296.10,296.10,31775,7,124922577.00
20090905,296.50,296.60,296.50,296.60,296.60,42300,7,36471000.00
20090906,296.90,297.10,296.80,297.10,297.10,32759,7,45398841.00
20090907,297.20,297.20,297.20,297.20,297.20,6710,2,6732130.00
20090908,296.70,296.70,295.50,295.60,295.60,462492,13,1946871956.00
20090909,295.60,295.60,295.60,295.60,295.60,3982,3,6840172.00
20090913,296.20,296.20,294.90,294.90,294.90,56198,17,132334546.00
20090914,295.10,306.10,295.10,306.10,306.10,718478,141,1486253797.00
20090915,305.40,306.30,305.40,306.30,306.30,123501,36,230032118.00
20090916,305.60,306.60,305.60,306.60,306.60,170195,50,312517781.00
20090919,307.00,307.90,306.90,307.90,307.90,105297,23,194571786.00
20090921,307.80,308.30,307.30,308.30,308.30,22987,9,41416238.00
20090922,308.20,308.20,307.80,307.80,307.80,18741,5,32684304.00
20090923,307.80,308.30,307.80,308.30,308.30,123245,40,221875460.00
20090926,308.30,309.50,308.30,309.50,309.50,30607,11,56795738.00
20090927,309.40,309.40,309.40,309.40,309.40,4000,1,7184000.00
20090928,309.60,310.20,309.60,310.20,310.20,7497,5,15017692.00
20090929,310.30,312.30,310.30,312.30,312.30,55251,14,110351384.00
20090930,313.00,335.00,313.00,335.00,335.00,295820,82,708984802.00
20091003,335.40,340.80,335.40,340.80,340.80,170370,41,265694460.00
20091004,341.30,346.00,341.30,346.00,346.00,243075,58,486875305.00
20091005,346.40,348.10,346.40,348.10,348.10,346362,48,474598634.00
20091006,350.70,351.00,349.00,351.00,351.00,656775,129,1298867584.00
20091007,350.60,353.20,350.60,353.20,353.20,45020,13,197026780.00
20091010,353.10,353.10,351.20,351.50,351.50,80670,23,295199303.00
20091011,351.40,351.40,351.20,351.40,351.40,47149,10,97004553.00
20091012,352.00,352.10,352.00,352.10,352.10,8904,3,46414644.00
20091013,352.10,352.90,352.10,352.80,352.80,62379,14,144367606.00
20091017,352.80,353.00,352.80,353.00,353.00,5499,5,12764911.00
20091018,353.90,354.60,353.90,354.60,354.60,115,3,136175.00
20091019,355.00,356.30,355.00,356.30,356.30,28852,12,76417417.00
20091020,356.60,359.00,356.60,359.00,359.00,38028,15,125764516.00
20091021,359.20,362.20,359.10,362.20,362.20,40411,17,181554326.00
20091024,362.70,364.60,362.70,364.60,364.60,17436,12,26714920.00
20091025,364.60,369.10,364.60,369.10,369.10,85609,24,250726200.00
20091026,369.10,372.90,369.10,372.90,372.90,96636,18,272531141.00
20091027,375.10,376.20,375.10,376.10,376.10,95894,28,395844059.00
20091028,376.10,378.40,376.10,378.40,378.40,53020,14,231510420.00
20091031,379.80,380.70,379.80,380.70,380.70,46010,9,90626870.00
20091101,380.80,382.50,380.80,382.50,382.50,118248,25,342690480.00
20091102,382.70,384.10,382.70,384.10,384.10,186865,20,250453505.00
20091103,384.70,384.70,382.80,384.40,384.40,102378,13,320701922.00
20091104,385.00,386.50,385.00,386.20,386.20,425307,42,760014463.00
20091107,386.10,388.70,386.10,388.70,388.70,48576,9,123871126.00
20091108,389.30,390.30,389.30,389.70,389.70,186425,26,303486075.00
20091109,389.70,391.80,389.70,391.80,391.80,74294,18,202789606.00
20091110,390.70,391.00,390.20,390.20,390.20,215826,21,499423422.00
20091111,390.10,392.60,390.10,392.60,392.60,95658,14,213340211.00
20091114,392.70,392.70,390.40,391.10,391.10,110436,24,254042065.00
20091115,390.80,392.50,390.50,392.50,392.50,54817,9,160783067.00
20091116,393.10,393.20,392.70,392.70,392.70,112254,29,298542654.00
20091117,392.60,392.60,392.20,392.20,392.20,40918,9,80009704.00
20091118,395.30,395.90,395.30,395.90,395.90,129174,12,638425788.00
20091121,396.20,396.80,394.60,394.60,394.60,39239,11,173235189.00
20091122,391.50,393.40,391.50,393.40,393.40,198259,37,730040523.00
20091123,393.40,393.40,389.60,389.60,389.60,66565,13,265633855.00
20091124,389.40,389.40,386.90,386.90,386.90,58370,20,196353548.00
20091125,386.60,386.60,383.70,383.80,383.80,388411,33,1358915766.00
20091129,382.70,382.70,382.30,382.40,382.40,67301,22,230904690.00
20091130,382.40,382.40,377.50,377.50,377.50,116161,14,347710170.00
20091201,377.70,378.10,377.70,377.80,377.80,27893,9,69644981.00
