date,open,high,low,last,close,vol,count,value
20081206,689.40,689.40,688.40,688.90,688.90,213922,13,603337844.00
20081207,688.90,688.90,686.60,686.60,686.60,2914068,78,3424237758.00
20081208,686.60,686.60,684.80,684.80,684.80,1189312,52,1553743192.00
20081210,684.20,684.20,683.50,684.00,684.00,212530,14,584099100.00
20081213,683.80,683.80,683.30,683.30,683.30,183300,13,554817700.00
20081214,683.00,683.00,682.50,682.50,682.50,299340,31,727508812.00
20081215,682.50,682.50,681.70,681.70,681.70,774000,35,1173290000.00
20081216,681.60,681.60,680.50,680.50,680.50,629752,61,991853161.00
20081220,680.40,680.40,679.70,679.70,679.70,231974,17,604094490.00
20081221,679.60,680.00,679.40,679.50,679.50,5456665,27,5833262288.00
20081222,679.50,679.50,679.00,679.00,679.00,2980078,10,3294028100.00
20081223,678.80,678.80,678.30,678.30,678.30,180000,12,545500000.00
20081224,678.00,678.00,677.60,677.60,677.60,195138,14,568497488.00
20081227,677.30,677.30,676.80,676.80,676.80,397740,16,761663250.00
20081228,676.80,676.80,676.40,676.40,676.40,84435,11,392882950.00
20081229,676.40,676.40,675.90,675.90,675.90,1106101,13,1419236000.00
20081230,675.90,675.90,675.50,675.50,675.50,115622,13,429659775.00
20081231,675.40,675.40,675.00,675.00,675.00,92673,5,404216610.00
20090103,675.00,675.00,674.40,674.40,674.40,546950,44,535101500.00
20090104,665.70,665.70,665.70,665.70,665.70,26128,5,41171160.00
20090105,665.70,665.70,657.10,657.10,657.10,216633,14,213994414.00
20090110,648.90,648.90,648.90,648.90,648.90,4100,3,9321900.00
20090111,648.90,648.90,641.00,641.00,641.00,21039,7,24258906.00
20090112,640.90,640.90,632.90,634.80,634.80,3168966,111,4972502016.00
20090114,627.40,627.40,626.80,626.80,626.80,488290,16,465098340.00
20090117,619.60,619.60,619.60,619.60,619.60,194160,15,555909840.00
20090118,612.60,612.60,612.60,612.60,612.60,299291,310,1156516465.00
20090119,605.60,605.60,605.50,605.50,605.50,387587,393,1419095571.00
20090120,598.80,605.90,598.80,599.80,599.80,5891673,5631,19766335240.00
20090121,598.10,598.10,593.20,593.20,593.20,2227950,2269,7893626850.00
20090124,593.20,593.20,587.10,588.60,588.60,6682940,6222,21488733333.00
20090125,588.40,588.40,581.60,581.60,581.60,2706600,3191,9104609586.00
20090126,580.10,580.10,578.10,579.40,579.40,611995,564,1843361383.00
20090127,577.90,577.90,575.70,577.10,577.10,6074053,92,6269554311.00
20090128,575.60,577.10,575.60,577.10,577.10,325474,144,570242232.00
20090131,576.30,576.30,575.60,575.80,575.80,189732,144,493538772.00
20090201,575.80,575.80,549.80,555.40,555.40,22684702,1257,38239294277.00
20090202,555.40,555.40,551.40,551.40,551.40,2267142,251,3900106452.00
20090203,551.40,551.40,540.80,540.80,540.80,4231355,1737,9316245490.00
20090204,536.40,537.70,536.30,537.70,537.70,4069365,141,6216538222.00
