date,open,high,low,last,close,vol,count,value
20081206,308.00,308.00,307.50,307.50,307.50,66300,17,230656903.00
20081207,307.60,307.60,307.60,307.60,307.60,9083,4,72562273.00
20081208,307.70,307.70,307.60,307.60,307.60,18150,11,51729265.00
20081210,307.60,307.60,307.60,307.60,307.60,4019,5,10342360.00
20081213,307.60,307.60,307.60,307.60,307.60,23770,5,52847850.00
20081214,307.60,307.70,307.60,307.60,307.60,11500,3,21452000.00
20081215,307.60,307.60,307.60,307.60,307.60,50111,15,84854867.00
20081216,307.60,307.60,307.60,307.60,307.60,15514,7,33210738.00
20081220,307.70,307.70,307.70,307.70,307.70,8749,2,73157686.00
20081221,307.70,307.70,307.70,307.70,307.70,5000,1,12140000.00
20081222,307.70,307.70,307.70,307.70,307.70,23500,5,68766500.00
20081223,307.60,307.60,307.50,307.50,307.50,35277,6,80358278.00
20081224,307.40,307.40,307.40,307.40,307.40,40153,15,91330195.00
20081227,307.10,307.10,307.00,307.00,307.00,90015,24,216458500.00
20081228,307.00,307.00,303.80,303.80,303.80,26613,14,56240515.00
20081229,303.80,303.80,303.70,303.70,303.70,933828,13,1057619570.00
20081230,303.70,303.70,302.00,302.00,302.00,199937,51,733399582.00
20081231,300.50,300.50,300.50,300.50,300.50,191000,25,712701000.00
20090103,300.30,300.30,296.70,296.70,296.70,64419,24,230060808.00
20090104,296.70,296.70,296.70,296.70,296.70,6659,7,14707741.00
20090105,296.70,296.70,293.50,293.50,293.50,16136,10,39954964.00
20090110,293.50,293.50,293.30,293.30,293.30,201783,29,631443912.00
20090111,293.30,293.30,290.30,290.30,290.30,1537482,247,1706281038.00
20090112,290.30,290.30,290.30,290.30,290.30,3784,6,5836048.00
20090113,290.30,290.30,290.10,290.10,290.10,41210,12,112681020.00
20090114,290.10,290.10,289.90,289.90,289.90,31559,8,81537266.00
20090117,289.90,289.90,289.90,289.90,289.90,8409,4,18808062.00
20090118,289.90,289.90,289.80,289.80,289.80,88197,13,112074052.00
20090119,289.80,290.40,289.30,290.40,290.40,243212,163,546497242.00
20090120,290.30,292.60,289.90,292.60,292.60,150342,34,226489223.00
20090121,292.60,292.60,289.90,289.90,289.90,1446168,184,1567459080.00
20090124,289.80,289.90,280.60,288.30,288.30,602861,128,704402895.00
20090125,288.20,288.20,279.30,280.40,280.40,858198,194,1449504845.00
20090126,280.40,280.40,279.80,279.80,279.80,435061,111,949765124.00
20090127,279.70,279.70,279.50,279.50,279.50,151390,35,212613914.00
20090128,279.40,279.60,279.30,279.50,279.50,253867,70,605605532.00
20090131,279.30,279.30,279.00,279.10,279.10,164680,175,335887911.00
20090201,279.20,279.30,279.10,279.10,279.10,262197,186,828406894.00
20090202,279.30,279.30,276.90,276.90,276.90,983006,214,1249126209.00
20090203,277.10,277.10,276.70,276.70,276.70,315702,86,874193398.00
20090204,276.90,277.00,276.50,276.90,276.90,505829,98,1535461394.00
20090207,276.80,276.90,276.60,276.70,276.70,169503,39,257852722.00
20090208,276.80,276.80,275.70,276.30,276.30,531602,158,2294489534.00
20090209,276.30,276.30,276.10,276.10,276.10,123551,45,685009075.00
20090211,276.00,276.00,266.80,275.50,275.50,196448,54,245277766.00
20090214,275.50,275.50,275.40,275.40,275.40,49509,10,81313819.00
20090215,275.30,276.50,275.30,276.50,276.50,40698,21,141158497.00
20090217,276.30,276.30,275.80,275.80,275.80,335057,91,592760015.00
20090218,275.70,275.70,275.20,275.20,275.20,234436,55,352805741.00
20090221,275.20,275.20,275.10,275.10,275.10,55064,19,113167885.00
20090222,275.10,275.40,275.10,275.40,275.40,14175,6,31603250.00
20090223,275.20,275.20,275.00,275.00,275.00,167891,54,381288005.00
20090225,275.00,275.00,274.70,274.70,274.70,109352,25,267413430.00
20090228,274.60,274.60,274.50,274.50,274.50,53437,23,114030955.00
20090301,274.40,274.40,271.80,271.80,271.80,141684,40,242057770.00
20090302,271.80,271.80,271.50,271.50,271.50,282015,21,856080477.00
20090303,271.50,271.50,269.60,269.60,269.60,870501,162,870071570.00
20090304,269.60,269.60,269.60,269.60,269.60,26123,12,44446011.00
20090307,269.60,269.60,269.50,269.50,269.50,58157,31,61972221.00
20090308,269.50,269.50,269.30,269.30,269.30,77897,29,83926618.00
20090309,269.30,269.30,269.00,269.00,269.00,93262,28,160183529.00
20090310,268.50,268.50,268.40,268.40,268.40,80770,30,119248900.00
20090311,268.30,268.30,268.10,268.10,268.10,123191,50,187696958.00
20090314,268.10,268.10,268.10,268.10,268.10,52396,12,57033272.00
20090316,268.10,269.00,268.10,269.00,269.00,94663,29,198204616.00
20090317,269.00,269.00,268.90,268.90,268.90,42992,11,59272818.00
20090318,268.90,269.00,268.90,269.00,269.00,43048,8,44319824.00
20090325,269.00,269.10,269.00,269.10,269.10,64108,14,61094924.00
20090328,269.10,269.20,269.10,269.20,269.20,47834,12,45681470.00
20090329,269.20,269.30,269.20,269.30,269.30,24155,12,25246168.00
20090330,263.20,265.50,263.20,265.50,265.50,26485,18,37388090.00
20090331,274.90,275.00,274.90,275.00,275.00,45856,36,123165098.00
20090404,275.00,275.00,275.00,275.00,275.00,9738,11,15797051.00
20090405,275.10,275.10,270.80,270.80,270.80,95890,31,126613937.00
20090406,270.80,271.00,270.50,270.50,270.50,154971,37,120098910.00
20090407,270.50,270.50,270.40,270.50,270.50,218712,52,159916562.00
20090408,270.50,270.70,270.40,270.70,270.70,132983,41,230811379.00
20090411,270.70,271.00,270.40,271.00,271.00,369050,101,437937089.00
20090412,271.00,271.20,271.00,271.20,271.20,176363,49,203409607.00
20090413,271.30,272.40,271.30,272.30,272.30,564985,119,594210030.00
20090414,272.40,272.40,272.40,272.40,272.40,139575,35,172444297.00
20090415,272.30,272.80,272.30,272.80,272.80,424217,107,524555468.00
20090418,272.80,275.40,272.80,275.40,275.40,1905172,65,2011173429.00
20090419,275.40,275.40,272.40,275.40,275.40,114823,25,209975150.00
20090420,275.30,275.60,273.20,275.60,275.60,468386,85,1270333466.00
20090421,275.60,275.90,275.60,275.90,275.90,78311,29,200806155.00
20090422,275.90,276.10,275.90,275.90,275.90,114443,31,207502119.00
20090425,275.90,276.10,275.90,276.10,276.10,141709,45,266021125.00
20090426,276.10,276.70,276.10,276.70,276.70,140263,42,284632208.00
20090427,276.30,276.30,276.30,276.30,276.30,106913,23,242702132.00
20090428,276.30,277.70,276.30,277.70,277.70,619890,92,746175202.00
20090429,277.70,277.70,276.80,277.70,277.70,63505,25,117999992.00
20090502,277.70,277.80,277.70,277.80,277.80,57630,17,141334862.00
20090503,277.90,279.20,277.90,279.20,279.20,591802,73,656474698.00
20090504,279.20,279.30,276.40,276.50,276.50,90155,34,169658302.00
20090505,277.10,279.50,277.10,279.50,279.50,1455645,263,1494770016.00
20090506,281.20,281.80,281.20,281.80,281.80,1082885,251,1315373807.00
20090509,282.70,283.20,282.00,283.20,283.20,462333,125,611931741.00
20090510,283.30,283.70,283.30,283.70,283.70,128962,36,300679182.00
20090511,283.80,284.20,283.80,284.20,284.20,602533,130,1519056299.00
20090512,284.40,284.40,283.70,283.90,283.90,103825,30,220945192.00
20090513,283.90,285.30,283.90,285.30,285.30,1023552,81,1457071167.00
20090516,285.30,285.90,285.30,285.90,285.90,62510,22,249418904.00
20090517,286.40,286.40,286.30,286.40,286.40,75198,23,196971392.00
20090518,286.80,289.50,286.80,289.50,289.50,2566042,402,2789034292.00
20090519,289.50,289.50,289.20,289.20,289.20,360422,91,402946020.00
