date,open,high,low,last,close,vol,count,value
20081206,332.20,332.20,330.80,330.80,330.80,1043498,47,4274574754.00
20081207,330.80,330.80,329.50,329.50,329.50,1031361,151,3002717874.00
20081208,329.50,329.50,319.80,319.80,319.80,432008,99,874544082.00
20081210,316.00,316.00,315.80,315.90,315.90,228326,67,589162572.00
20081213,312.30,312.30,312.10,312.10,312.10,421547,85,980285976.00
20081214,312.10,312.10,308.40,308.40,308.40,389260,96,641311928.00
20081215,305.00,305.00,304.70,304.70,304.70,180231,65,354957906.00
20081216,304.60,304.60,303.70,303.70,303.70,404017,105,1471033437.00
20081220,303.70,303.70,300.20,300.20,300.20,152870,37,336419394.00
20081221,300.20,300.20,300.00,300.00,300.00,284119,69,493881555.00
20081222,300.00,300.00,296.60,296.60,296.60,180852,44,225411770.00
20081223,293.50,293.50,293.20,293.20,293.20,157911,49,435492487.00
20081224,293.00,293.00,292.70,292.70,292.70,242545,53,772586992.00
20081227,292.60,292.70,289.50,289.50,289.50,246169,73,598489420.00
20081228,289.50,289.50,286.40,286.40,286.40,797745,188,5346859989.00
20081229,285.80,285.80,285.40,285.40,285.40,3511931,866,10436989517.00
20081230,285.40,285.40,285.00,285.00,285.00,636322,146,1637664609.00
20081231,285.00,285.00,282.10,282.10,282.10,860043,189,5008649249.00
20090103,281.90,281.90,279.30,279.40,279.40,2019041,377,13244909507.00
20090104,279.30,279.40,278.90,278.90,278.90,781445,190,1837078049.00
20090105,278.90,281.40,278.80,281.40,281.40,2200842,364,13625746326.00
20090110,281.40,281.40,280.00,280.00,280.00,714799,204,2986502248.00
20090111,280.00,280.00,279.70,279.70,279.70,1549845,111,3862491865.00
20090112,279.70,279.70,276.90,276.90,276.90,173268,67,568514948.00
20090113,276.90,276.90,276.80,276.90,276.90,214559,82,839727552.00
20090114,277.00,277.10,276.90,277.00,277.00,148309,64,802590408.00
20090117,277.00,278.30,277.00,278.30,278.30,393768,121,2580916398.00
20090118,278.90,280.60,278.90,280.60,280.60,1038775,238,5287188801.00
20090119,280.60,280.90,280.60,280.90,280.90,183113,55,798001950.00
20090120,280.80,281.00,280.80,281.00,281.00,818272,186,2280194615.00
20090121,281.20,282.40,281.20,282.40,282.40,642959,161,3124151927.00
20090124,282.40,285.00,282.10,285.00,285.00,2032158,466,12379241341.00
20090125,287.40,287.50,286.20,286.20,286.20,1686685,448,10241765170.00
20090126,286.10,286.10,286.00,286.00,286.00,471719,163,1764640568.00
20090127,286.00,286.10,285.30,286.10,286.10,742790,221,2534812864.00
20090128,286.30,287.30,286.10,286.10,286.10,2627099,305,6764362884.00
20090131,287.40,287.70,287.30,287.70,287.70,593848,220,1627577736.00
20090201,287.70,287.90,287.70,287.90,287.90,456793,203,1624506631.00
20090202,287.90,287.90,287.90,287.90,287.90,333438,135,1399342100.00
20090203,287.90,287.90,286.80,286.80,286.80,1485917,383,5872110695.00
20090204,286.80,286.80,283.70,283.70,283.70,1018786,339,5714418950.00
20090207,283.70,283.80,283.70,283.80,283.80,487175,185,1675288394.00
20090208,283.80,283.90,283.80,283.90,283.90,1131432,693,3764982109.00
20090209,283.80,283.90,283.80,283.80,283.80,813611,272,2129301556.00
20090211,283.80,283.80,283.80,283.80,283.80,328441,138,945739022.00
20090214,283.80,283.80,283.40,283.40,283.40,524248,268,1676103261.00
20090215,283.40,283.40,283.30,283.30,283.30,355524,143,951534233.00
20090217,283.30,283.30,283.10,283.10,283.10,355191,112,816966416.00
20090218,283.10,283.10,282.70,282.70,282.70,138743,40,366977369.00
20090221,282.70,282.70,282.50,282.50,282.50,181614,65,487830554.00
20090222,282.50,282.50,282.50,282.50,282.50,275706,88,729047596.00
20090223,282.50,282.70,272.60,274.50,274.50,510053,194,2565548291.00
20090225,274.50,274.50,274.00,274.00,274.00,345493,133,1188626458.00
20090228,273.90,274.00,273.50,273.50,273.50,370469,120,1414999993.00
20090301,273.60,273.60,273.30,273.30,273.30,950281,279,3304980558.00
20090302,273.30,273.30,273.20,273.20,273.20,248878,101,644828248.00
20090303,273.20,273.20,272.10,272.40,272.40,554034,205,1394286383.00
20090304,272.40,272.40,272.30,272.30,272.30,361933,127,805879342.00
20090307,272.30,272.30,254.50,254.50,254.50,424008,145,1123550849.00
20090308,254.00,254.00,253.70,253.70,253.70,654027,223,1506116488.00
20090309,253.70,253.70,253.40,253.40,253.40,204972,72,780883838.00
20090310,252.60,252.60,251.70,251.70,251.70,792818,246,3079067319.00
20090311,251.20,252.50,251.20,252.30,252.30,1848889,372,7086192417.00
20090314,252.40,252.90,252.40,252.90,252.90,433323,180,1593359314.00
20090316,253.00,253.80,253.00,253.80,253.80,525451,166,2141054487.00
20090317,254.20,254.30,253.40,254.30,254.30,240336,64,977264857.00
20090318,254.80,255.00,248.90,254.70,254.70,694427,271,3148668938.00
20090325,254.80,254.80,254.80,254.80,254.80,327243,91,910784679.00
20090328,254.80,255.20,254.70,254.70,254.70,341445,142,1424955702.00
20090329,254.80,254.80,254.80,254.80,254.80,82669,34,279728626.00
20090330,254.80,255.60,254.80,255.60,255.60,185691,48,375277066.00
20090331,255.70,256.90,255.70,256.90,256.90,389128,103,2007732208.00
20090404,256.90,257.70,256.80,257.70,257.70,145792,55,437995498.00
20090405,257.70,258.70,257.70,258.70,258.70,113065,32,303059289.00
20090406,258.80,260.10,258.80,260.10,260.10,1459490,322,1934607513.00
20090407,260.10,261.00,260.10,261.00,261.00,1203092,348,2020724807.00
20090408,260.90,262.00,260.90,262.00,262.00,329980,93,596001040.00
20090411,262.00,263.40,261.90,263.40,263.40,754695,215,3125382353.00
20090412,263.40,264.30,263.40,264.30,264.30,610005,144,1029640356.00
20090413,264.00,266.60,264.00,266.60,266.60,619374,138,2961314054.00
20090414,267.60,267.80,267.60,267.80,267.80,245693,94,631383443.00
20090415,268.80,270.30,268.80,270.30,270.30,514623,97,2523115875.00
20090418,270.30,270.30,270.20,270.20,270.20,196051,63,281291359.00
20090419,270.20,273.10,270.00,273.10,273.10,3749541,809,4401500673.00
20090420,273.20,277.90,273.20,277.90,277.90,3471829,888,13923767083.00
20090421,277.90,277.90,277.10,277.30,277.30,2149145,517,1611759687.00
20090422,277.40,277.60,277.40,277.60,277.60,1329034,315,1159246510.00
20090425,277.60,279.00,277.60,279.00,279.00,1461417,437,3927335295.00
20090426,279.00,280.80,279.00,280.80,280.80,958364,243,1957410342.00
20090427,280.80,282.00,280.80,282.00,282.00,434023,135,1435830669.00
20090428,282.00,283.30,282.00,283.30,283.30,381682,108,909179633.00
20090429,283.20,285.40,283.20,285.40,285.40,634293,191,2138520137.00
20090502,286.60,286.70,286.60,286.70,286.70,1034438,250,3900780854.00
20090503,288.00,288.00,288.00,288.00,288.00,1332781,373,4937715271.00
20090504,288.40,288.70,288.40,288.70,288.70,717771,198,2091466899.00
20090505,288.70,291.80,288.70,291.80,291.80,375114,108,1692373487.00
20090506,291.70,291.70,291.70,291.70,291.70,71600,26,94164996.00
20090509,291.70,292.20,291.70,292.20,292.20,68931,40,120840374.00
20090510,292.80,293.40,292.80,293.40,293.40,1397052,351,4297217941.00
20090511,293.30,294.80,293.30,294.80,294.80,953095,269,2086760354.00
20090512,294.80,295.30,294.80,295.30,295.30,270199,83,634379786.00
20090513,296.30,299.50,295.70,299.50,299.50,2771078,625,8140245395.00
20090516,299.60,302.00,299.60,302.00,302.00,842944,240,3761603936.00
20090517,302.10,304.30,302.10,304.30,304.30,779152,199,3682962397.00
20090518,305.40,308.30,305.40,308.30,308.30,1080635,290,7137252613.00
20090519,311.90,312.70,311.90,312.60,312.60,4218955,1159,30451153119.00
20090520,312.70,316.60,312.70,316.60,316.60,1529964,434,11446734069.00
20090523,316.60,333.10,316.60,333.10,333.10,6811498,1420,9080503447.00
20090524,333.40,333.50,330.30,330.30,330.30,2126796,523,9413037547.00
20090525,330.80,330.80,330.00,330.00,330.00,4094866,1004,7307178324.00
