date,open,high,low,last,close,vol,count,value
20081206,327.80,327.80,327.20,327.20,327.20,107201,18,58214845.00
20081207,327.20,327.50,327.20,327.50,327.50,88385,17,48952350.00
20081208,327.70,327.70,327.70,327.70,327.70,78040,18,43200135.00
20081210,327.70,328.10,327.70,328.10,328.10,63482,15,35393702.00
20081213,328.10,328.10,328.00,328.00,328.00,71879,30,39615768.00
20081214,328.00,328.00,327.90,327.90,327.90,18018,5,9744638.00
20081215,327.90,327.90,326.90,326.90,326.90,106752,23,57533850.00
20081216,326.70,326.70,325.20,325.20,325.20,135018,33,72054746.00
20081220,325.20,325.20,325.20,325.20,325.20,2211,2,1200950.00
20081221,325.10,325.10,324.20,324.20,324.20,76500,21,40548100.00
20081222,324.20,324.20,323.70,323.70,323.70,40716,10,21508808.00
20081223,323.50,323.50,319.80,319.80,319.80,288071,48,151813417.00
20081224,319.60,319.60,318.50,318.50,318.50,109506,24,57188626.00
20081227,318.40,318.40,318.00,318.00,318.00,40799,7,21185480.00
20081228,317.80,317.80,317.30,317.30,317.30,55185,15,28607830.00
20081229,317.20,317.20,316.90,316.90,316.90,35137,10,18201139.00
20081230,316.90,316.90,316.40,316.40,316.40,53079,12,27636413.00
20081231,316.30,316.30,316.00,316.00,316.00,28191,6,14554747.00
20090103,315.90,315.90,315.80,315.80,315.80,43411,13,22743072.00
20090104,315.50,315.50,315.40,315.40,315.40,31640,9,16306474.00
20090105,312.90,312.90,311.80,311.80,311.80,330654,16,170676156.00
20090110,311.80,311.80,311.80,311.80,311.80,5396,3,2830440.00
20090111,311.40,311.40,310.40,310.40,310.40,208584,36,107586697.00
20090112,310.20,310.20,309.80,309.80,309.80,78089,16,39926686.00
20090113,309.80,309.80,309.80,309.80,309.80,25448,9,13228518.00
20090114,309.80,314.30,309.80,314.30,314.30,605084,58,320693886.00
20090117,315.20,318.60,315.20,318.60,318.60,367171,56,199373853.00
20090118,318.60,318.90,318.60,318.90,318.90,18057,13,9949407.00
20090119,318.90,319.50,318.90,319.50,319.50,54966,25,30286266.00
20090120,319.70,324.50,319.70,321.90,321.90,1416351,110,766177959.00
20090121,322.10,323.10,322.10,323.10,323.10,94673,20,52723922.00
20090124,323.80,325.30,323.80,325.30,325.30,172891,35,96646069.00
20090125,326.70,326.80,326.60,326.80,326.80,187055,37,104151875.00
20090126,326.10,326.10,317.20,317.20,317.20,757521,17,403787353.00
20090127,317.00,317.00,309.90,310.00,310.00,1155531,35,601869527.00
20090128,310.00,310.20,309.80,309.80,309.80,1043259,23,529457682.00
20090131,302.40,302.50,295.80,295.80,295.80,1204343,60,598611185.00
20090201,295.80,296.50,295.80,296.50,296.50,76862,24,39129400.00
20090202,296.60,298.80,296.60,298.80,298.80,209782,43,107408384.00
20090203,298.90,299.20,298.90,299.20,299.20,28669,7,14821873.00
20090204,299.20,308.30,299.20,308.30,308.30,8938638,62,4630214484.00
20090207,308.30,309.90,308.30,309.90,309.90,134085,28,71467305.00
20090208,310.10,315.70,310.10,315.60,315.60,490491,60,262611876.00
20090209,315.60,315.60,314.70,314.70,314.70,77506,22,39938590.00
20090211,314.60,320.30,314.30,320.30,320.30,659270,129,355705870.00
20090214,320.10,320.10,319.60,319.60,319.60,63051,27,32980079.00
20090215,319.30,319.30,316.20,316.20,316.20,269532,38,140516704.00
20090217,316.20,316.20,311.00,311.00,311.00,431651,93,222822066.00
20090218,310.90,310.90,310.60,310.60,310.60,37190,9,18913820.00
20090221,310.40,310.40,309.10,309.10,309.10,132885,30,67399771.00
20090222,309.00,309.00,306.50,306.50,306.50,298169,65,151654576.00
20090223,306.50,306.50,306.50,306.50,306.50,1845,1,977850.00
20090225,306.50,306.50,306.40,306.40,306.40,25148,4,12785184.00
20090228,306.40,306.40,306.10,306.10,306.10,90578,40,46205358.00
20090301,306.10,306.10,306.00,306.00,306.00,12250,4,6220450.00
20090302,305.90,305.90,304.90,304.90,304.90,152590,33,77123543.00
20090303,304.30,304.30,302.30,302.30,302.30,8236993,45,4183514477.00
20090304,302.20,302.20,301.70,301.70,301.70,154999,34,78071406.00
20090307,302.40,305.30,302.40,305.30,305.30,342587,74,178199987.00
20090308,304.60,309.40,304.60,309.40,309.40,480760,104,251855644.00
20090309,309.50,310.20,309.50,310.20,310.20,66996,14,35842860.00
20090310,310.20,319.00,310.20,319.00,319.00,2969958,322,1591897488.00
20090311,328.50,328.50,328.50,328.50,328.50,2119834,421,1170148368.00
20090314,329.20,330.20,329.20,330.20,330.20,136118,31,77315024.00
20090316,330.30,330.70,330.30,330.70,330.70,34313,7,19592723.00
20090317,331.70,333.30,331.70,333.30,333.30,204334,41,116879048.00
20090318,333.50,335.40,333.50,335.40,335.40,165400,33,95270400.00
20090325,335.90,335.90,335.90,335.90,335.90,40000,4,23200000.00
20090328,335.90,335.90,335.90,335.90,335.90,800,1,464800.00
20090329,336.00,345.80,336.00,345.80,345.80,801544,82,465697064.00
20090330,345.80,345.80,345.80,345.80,345.80,880,1,526240.00
20090404,346.40,346.40,346.40,346.40,346.40,50000,10,29900000.00
20090405,346.50,346.50,346.50,346.50,346.50,1866,1,1117734.00
20090407,346.60,347.30,346.60,347.30,347.30,61799,13,37017601.00
20090408,347.30,347.30,347.30,347.30,347.30,3154,1,1892400.00
20090411,347.50,347.50,347.50,347.50,347.50,15650,4,9390000.00
20090412,347.70,347.70,347.70,347.70,347.70,16759,4,10055400.00
20090413,347.80,347.80,347.80,347.80,347.80,2240,2,1344000.00
20090414,357.10,357.10,357.10,357.10,357.10,40290,9,24174000.00
20090415,367.80,367.80,367.80,367.80,367.80,10000,1,6180000.00
20090418,378.50,378.50,378.50,378.50,378.50,87777,10,55826172.00
20090419,389.80,389.80,389.80,389.80,389.80,5010,2,3281550.00
20090420,401.10,401.10,401.10,401.10,401.10,20000,2,13480000.00
20090421,401.10,401.10,401.10,401.10,401.10,2820,1,1957080.00
20090422,860.80,860.80,671.90,671.90,671.90,38722289,7490,43721481353.00
20090425,672.20,680.40,672.20,680.40,680.40,24615087,4060,28141986830.00
20090426,691.70,691.70,684.50,684.50,684.50,4613134,818,5305872493.00
20090427,683.70,694.70,682.50,694.70,694.70,12358092,2395,14426241167.00
20090428,715.30,715.30,714.30,714.30,714.30,83322023,10569,100010021194.00
20090429,694.80,695.20,694.60,695.10,695.10,8912473,1740,10409269608.00
20090502,697.50,710.30,697.50,710.30,710.30,4420904,822,5276760506.00
20090503,731.40,731.40,731.40,731.40,731.40,2007007,405,2466611603.00
20090504,752.70,752.70,752.30,752.40,752.40,20624604,4118,26077423310.00
20090505,771.50,773.10,771.50,773.10,773.10,12847677,2152,16690872827.00
20090506,774.80,795.70,774.80,795.70,795.70,896184,99,1198198008.00
20090509,795.70,819.50,795.70,819.50,819.50,755489,78,1040308353.00
20090510,819.60,843.40,819.60,843.40,843.40,734524,79,1041555032.00
20090511,844.00,866.70,844.00,866.70,866.70,703267,145,1026066553.00
20090512,867.70,892.10,867.70,892.10,892.10,41487959,6411,62190450541.00
20090513,897.20,904.10,897.20,904.10,904.10,16971129,3466,25783979230.00
20090516,927.90,928.40,927.90,928.40,928.40,4051548,844,6320664559.00
20090517,932.00,940.80,932.00,940.80,940.80,338749,69,544030894.00
20090518,957.30,968.80,957.30,968.80,968.80,1533040,215,2495789120.00
20090519,997.40,997.40,997.40,997.40,997.40,30252732,4439,50703578832.00
20090825,1737.60,1790.60,1737.60,1790.60,1790.60,48992218,9536,147407710520.00
20090826,1841.20,1841.20,1811.80,1811.80,1811.80,13170516,2077,40096982559.00
20090829,1811.00,1811.00,1804.50,1804.50,1804.50,99988,30,295264564.00
20090830,1804.50,1804.50,1804.40,1804.40,1804.40,1030,3,3030260.00
20090831,1804.20,1804.20,1802.60,1802.60,1802.60,25380,6,74667960.00
20090901,1788.00,1788.00,1783.80,1783.80,1783.80,263370,36,774044430.00
20090902,1782.80,1782.80,1764.20,1764.20,1764.20,276364,57,803666512.00
20090905,1763.80,1763.80,1763.70,1763.70,1763.70,7688,2,22110688.00
20090908,1759.20,1759.20,1717.30,1717.30,1717.30,659309,143,1895513375.00
20090909,1699.30,1699.30,1668.90,1668.90,1668.90,710010,131,1988028000.00
20090913,1668.70,1668.70,1618.90,1618.90,1618.90,800001,187,2176802721.00
20090914,1578.10,1578.10,1570.70,1570.70,1570.70,750000,105,1980000000.00
20090915,1550.00,1550.00,1545.60,1545.60,1545.60,400631,70,1026015991.00
20090916,1545.30,1545.30,1538.80,1538.80,1538.80,111339,29,280685619.00
20090919,1493.40,1493.40,1493.40,1493.40,1493.40,2514944,528,6312509440.00
20090921,1483.30,1493.40,1448.70,1448.70,1448.70,806000,175,1962610000.00
20090922,1409.70,1431.50,1409.70,1431.50,1431.50,28839425,5469,69386801617.00
20090923,1435.60,1474.30,1435.60,1474.30,1474.30,750000,160,1858500000.00
20090926,1494.50,1504.10,1494.50,1504.10,1504.10,17409884,3132,44012449976.00
20090927,1502.80,1502.80,1468.10,1468.10,1468.10,5821111,1463,14363791031.00
