date,open,high,low,last,close,vol,count,value
20081206,139.40,139.40,139.10,139.10,139.10,296600,49,320448800.00
20081207,138.90,138.90,138.70,138.70,138.70,167122,35,175468732.00
20081208,138.70,138.70,138.50,138.50,138.50,65205,15,65516655.00
20081210,138.50,138.50,138.40,138.40,138.40,21075,7,39726375.00
20081213,138.40,138.40,138.10,138.10,138.10,78134,14,102519258.00
20081214,138.00,138.00,137.90,138.00,138.00,104807,23,131989093.00
20081215,138.00,138.10,138.00,138.00,138.00,21649,8,26045371.00
20081216,138.10,138.30,138.10,138.30,138.30,85000,10,97070000.00
20081220,138.40,138.40,138.40,138.40,138.40,53098,8,64795016.00
20081221,138.50,138.50,138.40,138.40,138.40,113831,24,120132487.00
20081222,138.20,138.20,138.20,138.20,138.20,234795,54,224741520.00
20081223,138.30,138.30,138.30,138.30,138.30,1119267,240,1094713479.00
20081224,138.30,138.40,138.30,138.30,138.30,442729,65,448027123.00
20081227,138.40,138.40,138.10,138.10,138.10,265179,61,264934395.00
20081228,138.10,138.40,138.10,138.40,138.40,97688,46,404027951.00
20081229,138.20,138.40,138.20,138.30,138.30,849930,193,664429039.00
20081230,138.30,138.30,138.10,138.10,138.10,440751,106,389656159.00
20081231,138.10,138.10,137.80,137.80,137.80,284185,62,237289732.00
20090103,137.80,138.00,137.70,137.70,137.70,377052,82,311503963.00
20090104,137.80,137.80,137.60,137.60,137.60,156100,37,129463537.00
20090105,137.60,138.00,137.60,138.00,138.00,509796,106,417798880.00
20090110,138.00,138.20,138.00,138.20,138.20,517093,119,446620797.00
20090111,138.20,138.40,138.20,138.40,138.40,201564,58,252656947.00
20090112,138.30,138.40,138.00,138.00,138.00,419214,109,430330414.00
20090113,137.90,137.90,137.80,137.90,137.90,329388,74,349688769.00
20090114,137.90,138.10,137.80,138.10,138.10,553014,123,399255844.00
20090117,138.10,138.20,138.00,138.00,138.00,242323,57,171596113.00
20090118,137.90,138.00,137.90,138.00,138.00,482614,83,398832707.00
20090119,138.00,138.00,138.00,138.00,138.00,507035,108,538897331.00
20090120,138.00,138.30,138.00,138.30,138.30,290121,153,345807551.00
20090121,138.30,138.50,138.30,138.50,138.50,279787,67,297719727.00
20090124,138.80,138.80,138.30,138.30,138.30,252545,50,311342048.00
20090125,138.20,138.70,138.20,138.40,138.40,186879,43,190894964.00
20090126,138.30,138.50,138.30,138.50,138.50,344673,66,379697560.00
20090127,138.50,138.50,138.50,138.50,138.50,133484,32,154621287.00
20090128,138.50,138.50,138.50,138.50,138.50,85706,20,89418362.00
20090131,138.50,138.50,137.90,137.90,137.90,61657,17,78856900.00
20090201,138.00,138.00,137.90,137.90,137.90,91296,36,154099965.00
20090202,138.10,138.10,136.30,136.30,136.30,503888,105,524719359.00
20090203,136.30,136.30,136.00,136.10,136.10,306303,64,322234460.00
20090204,136.10,136.10,136.10,136.10,136.10,351776,71,342029801.00
20090207,136.10,136.10,136.10,136.10,136.10,123589,28,122652125.00
20090208,136.10,136.10,135.80,135.80,135.80,193163,55,241652557.00
20090209,135.80,135.80,135.80,135.80,135.80,115357,47,112171072.00
20090211,135.80,135.80,135.60,135.60,135.60,29961,9,28880258.00
20090214,135.50,135.50,135.30,135.30,135.30,207314,52,198995723.00
20090215,135.30,135.30,135.20,135.20,135.20,276982,92,267285006.00
20090217,135.00,135.00,134.90,134.90,134.90,450387,101,413636816.00
20090218,134.90,135.00,134.90,135.00,135.00,70371,18,90860254.00
20090221,135.10,135.10,135.00,135.00,135.00,188403,65,178748062.00
20090222,135.00,135.60,134.90,135.60,135.60,253642,77,238957919.00
20090223,135.50,135.50,135.30,135.30,135.30,252528,72,256135574.00
20090225,135.30,135.30,128.90,129.10,129.10,253653,59,213025242.00
