date,open,high,low,last,close,vol,count,value
20090316,100.00,100.80,98.40,100.80,100.80,48433103,2611,67541860342.00
20090317,100.90,101.10,100.90,100.90,100.90,16769795,931,23400288259.00
20090318,100.80,101.00,99.40,100.90,100.90,57300929,1911,79961950266.00
20090325,100.90,100.90,100.80,100.80,100.80,991152,74,1368868058.00
20090328,100.80,100.80,100.60,100.60,100.60,2035908,168,2797958491.00
20090329,100.60,100.60,99.50,99.50,99.50,7657372,546,10360445502.00
20090330,99.50,99.50,99.20,99.20,99.20,2125073,210,2851976602.00
20090331,99.10,99.10,98.50,98.50,98.50,4612821,362,6145830889.00
20090404,98.40,98.50,98.40,98.50,98.50,3485858,299,4755440722.00
20090405,98.50,99.30,98.50,99.30,99.30,7364425,395,10247377703.00
20090406,99.30,99.40,99.30,99.40,99.40,451135,26,638356025.00
20090407,99.40,99.40,99.40,99.40,99.40,169810,22,240450960.00
20090408,99.50,99.50,99.50,99.50,99.50,283709,38,401731944.00
20090411,99.50,99.70,99.50,99.70,99.70,1311292,80,1858100764.00
20090412,99.70,99.70,99.70,99.70,99.70,275686,31,391474120.00
20090413,99.70,99.90,99.70,99.90,99.90,945456,59,1343492976.00
20090414,102.90,102.90,102.70,102.80,102.80,34947526,1662,49679370008.00
20090415,102.80,103.20,102.80,103.20,103.20,4129901,411,5980243763.00
20090418,103.20,105.60,103.20,105.60,105.60,15145795,880,22242986826.00
20090419,105.70,105.80,105.70,105.80,105.80,896393,51,1349071465.00
20090420,105.80,105.80,105.80,105.80,105.80,310589,29,468057623.00
20090422,105.90,106.00,105.90,106.00,106.00,760356,54,1146616848.00
20090425,106.00,106.00,106.00,106.00,106.00,175041,22,264486951.00
20090426,106.00,106.10,106.00,106.10,106.10,689626,51,1042024886.00
20090427,106.10,106.20,106.10,106.20,106.20,213594,20,323167722.00
20090428,106.20,106.30,106.20,106.30,106.30,730185,84,1105500090.00
20090429,106.30,106.30,106.30,106.30,106.30,309857,27,469743212.00
20090502,106.30,106.40,106.30,106.40,106.40,336987,25,511209279.00
20090503,109.70,109.70,109.70,109.70,109.70,88752,9,134725536.00
20090504,113.00,113.00,113.00,113.00,113.00,91029,13,142278327.00
20090505,116.30,116.30,116.30,116.30,116.30,12259,5,19724731.00
20090506,119.80,119.80,119.80,119.80,119.80,89560,12,148400920.00
20090509,123.30,123.30,123.30,123.30,123.30,142037,24,242315122.00
20090510,123.40,123.50,123.40,123.50,123.50,1051247,68,1847040979.00
20090511,127.20,127.20,127.20,127.20,127.20,97958041,4062,172364667582.00
20090512,127.40,127.60,125.00,125.00,125.00,39810265,2165,68847229838.00
20090513,121.40,121.40,121.30,121.30,121.30,19765214,795,33177704944.00
20090516,119.90,119.90,117.90,117.90,117.90,32322658,1745,52739820522.00
20090517,117.80,117.80,114.60,115.00,115.00,39211855,1805,62389944518.00
20090518,115.60,116.80,115.60,116.80,116.80,9957985,666,16310707406.00
20090519,116.90,116.90,116.40,116.40,116.40,4964890,431,7910431816.00
20090520,116.40,116.60,116.40,116.60,116.60,4259523,338,6903771554.00
20090523,116.60,116.60,116.30,116.30,116.30,2461340,240,3905204640.00
20090524,116.30,116.30,114.50,114.50,114.50,9923156,427,15498355673.00
20090525,114.10,114.10,111.70,111.70,111.70,14995076,587,23051714469.00
20090526,111.40,111.40,109.40,109.40,109.40,13259470,698,19893468631.00
20090527,109.40,109.90,109.40,109.90,109.90,3058023,281,4752167506.00
20090530,109.90,109.90,109.80,109.80,109.80,2503206,231,3778921436.00
20090531,109.70,109.70,108.60,108.60,108.60,7155925,560,10579312021.00
20090601,108.60,108.60,107.10,107.10,107.10,9251071,556,13520467056.00
