date,open,high,low,last,close,vol,count,value
20081206,22172.80,22172.80,22159.60,22159.70,22159.70,648824,150,1033023694.00
20081207,22159.70,22159.70,22082.50,22082.50,22082.50,2060667,330,2737467270.00
20081208,22075.00,22075.00,21985.80,21985.80,21985.80,3085482,474,4510718842.00
20081210,21976.90,21976.90,21945.20,21945.20,21945.20,1897076,365,1927103391.00
20081213,21944.20,21944.20,21907.70,21907.70,21907.70,2367650,692,3158360334.00
20081214,21907.60,21907.60,21819.00,21819.00,21819.00,4046639,595,5374954072.00
20081215,21819.10,21819.10,21778.20,21778.20,21778.20,1443819,275,1877250532.00
20081216,21778.40,21779.20,21742.90,21744.40,21744.40,1977432,320,2150575071.00
20081220,21744.40,21744.40,21672.90,21675.00,21675.00,1754526,199,2681532395.00
20081221,21674.90,21704.00,21671.80,21704.00,21704.00,1523751,268,2151306553.00
20081222,21702.70,21715.60,21702.70,21713.60,21713.60,1426300,335,1530882900.00
20081223,21715.60,21739.60,21715.60,21739.60,21739.60,1563153,326,1690821311.00
20081224,21740.80,21800.60,21735.90,21735.90,21735.90,3134593,433,5135188445.00
20081227,21784.30,21835.70,21784.30,21815.30,21815.30,5354105,947,6497457184.00
20081228,21815.90,21815.90,21807.10,21814.70,21814.70,11122299,1197,15100940495.00
20081229,21808.80,21808.80,21736.20,21738.50,21738.50,9671917,481,15168501623.00
20081230,21734.30,21734.30,21669.30,21670.00,21670.00,14145052,475,24075123075.00
20081231,21656.10,21656.10,21609.10,21609.10,21609.10,1038656,216,2251805742.00
20090103,21597.80,21597.80,21593.10,21593.10,21593.10,631410,178,1425775101.00
20090104,21593.10,21593.90,21581.70,21581.70,21581.70,1902559,231,3151196221.00
20090105,21582.70,21584.50,21560.60,21584.50,21584.50,3008962,391,3325329393.00
20090110,21583.30,21583.30,21572.60,21572.60,21572.60,1895023,182,1953477130.00
20090111,21568.10,21568.10,21471.10,21471.10,21471.10,3101343,316,5198609071.00
20090112,21468.70,21470.90,21463.50,21463.50,21463.50,2080994,284,3066693926.00
20090113,21464.70,21464.70,21425.60,21425.60,21425.60,3438029,370,5615461026.00
20090114,21425.60,21432.60,21420.40,21432.60,21432.60,3726785,581,4114915337.00
20090117,21432.70,21441.90,21432.50,21439.60,21439.60,4342694,833,5037071504.00
20090118,21440.10,21473.10,21440.10,21473.10,21473.10,12334769,452,30143625058.00
20090119,21475.30,21530.50,21475.30,21527.30,21527.30,1711533,288,2981070523.00
20090120,21531.50,21579.70,21531.50,21579.70,21579.70,1872870,451,2985782736.00
20090121,21588.60,21610.50,21588.60,21610.50,21610.50,1121512,271,1725316439.00
20090124,21611.00,21704.50,21610.90,21704.50,21704.50,1844702,298,3018964907.00
20090125,21723.90,21726.10,21720.50,21724.40,21724.40,4134567,864,3706588104.00
20090126,21725.70,21744.10,21704.40,21741.00,21741.00,7582982,817,13815005218.00
20090127,21742.50,21813.60,21742.50,21812.20,21812.20,9900937,1262,12173800180.00
20090128,21794.20,21794.20,21730.50,21730.50,21730.50,8695539,878,13387632158.00
20090131,21699.40,21699.40,21534.40,21534.40,21534.40,5688550,816,9654348432.00
20090201,21608.50,21608.50,21519.80,21519.80,21519.80,10644102,613,16574200074.00
20090202,21521.30,21522.30,21499.90,21508.00,21508.00,2769214,589,4041182487.00
20090203,21511.20,21511.30,21457.00,21457.00,21457.00,3885700,431,6893919951.00
20090204,21457.80,21460.10,21436.60,21436.60,21436.60,3930139,624,5969585880.00
20090207,21437.70,21437.70,21393.50,21394.10,21394.10,4467931,523,7433152410.00
20090208,21363.00,21363.00,21232.70,21232.70,21232.70,5834056,870,7909690023.00
20090209,21231.40,21231.40,21177.30,21177.50,21177.50,4527497,571,6968674147.00
