date,open,high,low,last,close,vol,count,value
20100815,1239.50,1239.50,1220.00,1220.10,1220.10,58210461,4381,180546223014.00
20100816,1217.90,1228.30,1217.90,1228.30,1228.30,76812555,5738,216943259576.00
20100817,1229.80,1242.60,1229.80,1242.60,1242.60,65800913,4584,188328079692.00
20100818,1244.90,1248.20,1244.90,1247.20,1247.20,96741181,5845,262575343361.00
20100821,1247.80,1247.90,1237.40,1237.40,1237.40,50232990,4450,140196405551.00
20100822,1237.30,1000.00,1000.00,1000.00,1000.00,31202833,3464,95398794535.00
20100823,1000.20,1012.20,1000.20,1012.20,1012.20,74604943,5106,250832438773.00
20100824,1012.50,1014.50,1011.10,1014.50,1014.50,154929537,5258,382161106668.00
20100825,1014.80,1018.30,1014.80,1017.40,1017.40,80419219,5490,293280746799.00
20100828,1018.60,1029.30,1018.60,1029.30,1029.30,211008397,5603,549073295255.00
20100829,1030.70,1054.40,1030.70,1054.40,1054.40,142352838,8758,448814686194.00
20100830,1055.80,1065.50,1055.80,1064.80,1064.80,178770795,6613,588376457390.00
20100831,1065.00,1065.50,1063.20,1064.70,1064.70,617744341,7186,1569464732860.00
20100904,1066.80,1088.50,1066.80,1088.50,1088.50,132991651,8116,536408046579.00
20100905,1093.50,1112.70,1093.50,1111.80,1111.80,184858173,9378,578295419457.00
20100906,1119.80,1119.90,1113.10,1113.50,1113.50,91329330,6320,286711651621.00
20100907,1114.10,1114.50,1096.90,1096.90,1096.90,565661124,10101,1556221109716.00
20100908,1095.30,1096.40,1088.90,1096.40,1096.40,319413074,6754,1062307629376.00
20100912,1096.60,1107.30,1096.60,1106.50,1106.50,64038395,4974,220564271338.00
20100913,1109.40,1114.60,1108.90,1108.90,1108.90,104527986,7003,346322611136.00
20100914,1108.80,1109.50,1105.30,1107.10,1107.10,64073667,5217,211360571436.00
20100915,1107.90,1109.00,1105.30,1106.90,1106.90,68888779,5084,204632260951.00
20100918,1105.70,1109.80,1105.50,1106.30,1106.30,80589752,6175,244264566543.00
20100919,1106.20,1106.20,1089.20,1089.20,1089.20,109399088,7187,363742041664.00
20100920,1088.90,1088.90,1074.10,1074.10,1074.10,72941741,5662,263314297254.00
20100921,1073.40,1086.40,1071.40,1086.40,1086.40,80071775,6350,246375167612.00
20100922,1091.60,1099.50,1091.60,1099.30,1099.30,67999138,5762,236851627852.00
20100925,1101.20,1111.30,1101.20,1109.60,1109.60,86155748,6197,301114974057.00
20100926,1110.00,1110.40,1093.60,1093.60,1093.60,62594122,5550,203560427836.00
20100927,1093.00,1093.00,1085.00,1085.40,1085.40,154198181,4450,422424913576.00
20100928,1085.30,1097.10,1085.30,1096.60,1096.60,147771816,8686,467823168914.00
20100929,1098.70,1109.40,1098.70,1109.20,1109.20,88924767,7317,362469240515.00
20101002,1112.20,1117.00,1112.20,1115.20,1115.20,87133322,7609,309558529490.00
20101003,1116.00,1116.20,1108.40,1108.40,1108.40,101155357,6787,288047823971.00
20101005,1108.30,1108.30,1104.30,1104.30,1104.30,74725173,6152,229456381070.00
