date,open,high,low,last,close,vol,count,value
20081206,12798.70,12799.20,12772.60,12773.20,12773.20,3310001,281,4922701329.00
20081207,12773.20,12773.60,12767.90,12768.70,12768.70,2551044,551,4610256098.00
20081208,12768.50,12768.50,12703.50,12703.80,12703.80,3214107,732,6060771074.00
20081210,12704.50,12707.30,12698.80,12707.30,12707.30,4051236,530,10553305545.00
20081213,12708.00,12708.40,12705.60,12705.60,12705.60,2006628,463,3347298113.00
20081214,12704.50,12706.50,12683.30,12683.30,12683.30,17472014,863,25239363698.00
20081215,12685.10,12714.20,12685.10,12711.70,12711.70,6264790,596,13094931070.00
20081216,12713.30,12713.40,12707.60,12710.20,12710.20,6527468,560,13902350843.00
20081220,12712.60,12716.90,12712.60,12716.50,12716.50,2052776,484,4977625492.00
20081221,12719.20,12726.40,12719.20,12723.50,12723.50,10904975,533,32779153042.00
20081222,12721.90,12735.00,12721.90,12733.20,12733.20,6918055,856,17324922891.00
20081223,12733.00,12733.40,12700.90,12701.00,12701.00,12178271,1620,14050492443.00
20081224,12703.40,12729.50,12703.20,12729.10,12729.10,7881194,1374,19460977729.00
20081227,12722.10,12734.10,12722.10,12733.90,12733.90,4009906,913,8318425047.00
20081228,12735.50,12739.20,12727.20,12727.80,12727.80,5427005,771,11686589329.00
20081229,12728.40,12763.90,12728.40,12728.70,12728.70,10937246,1961,29092300978.00
20081230,12728.30,12753.60,12717.70,12753.60,12753.60,4431684,907,7224361529.00
20081231,12754.90,12761.70,12741.50,12761.70,12761.70,4577452,1083,12330694249.00
20090103,12761.60,12761.60,12754.30,12756.10,12756.10,3868447,939,13803038348.00
20090104,12756.00,12757.10,12755.20,12757.10,12757.10,2332205,616,6709709767.00
20090105,12756.20,12756.20,12734.30,12734.30,12734.30,5991097,873,14484637249.00
20090110,12734.00,12734.50,12724.60,12725.00,12725.00,4615314,987,10843297064.00
20090111,12725.10,12725.10,12710.90,12710.90,12710.90,2635443,671,5542277096.00
20090112,12711.30,12714.00,12707.30,12707.30,12707.30,13852913,2040,41910394534.00
20090113,12706.30,12709.90,12705.00,12706.30,12706.30,6008494,1038,10496342761.00
20090114,12706.10,12706.40,12701.70,12705.90,12705.90,9321259,1221,19378138022.00
20090117,12706.40,12713.50,12705.80,12709.40,12709.40,17238614,826,34851512886.00
20090118,12711.90,12722.30,12711.90,12720.80,12720.80,23313518,898,45066123084.00
20090119,12721.70,12722.50,12688.40,12689.00,12689.00,39301444,1000,53964472419.00
20090120,12688.70,12949.10,12688.70,12782.70,12782.70,5877763,1399,12532020299.00
20090121,12785.30,12796.40,12785.30,12795.50,12795.50,6336012,1331,18195330029.00
20090124,12795.60,12803.00,12731.30,12757.40,12757.40,5910523,1439,15025735392.00
20090125,12759.80,12760.60,12725.80,12728.80,12728.80,7595039,1720,20679807868.00
20090126,12726.50,12726.70,12714.40,12714.40,12714.40,5001785,1204,9850721775.00
