date,open,high,low,last,close,vol,count,value
20150223,9899.10,9940.00,989911.00,9939.30,9939.30,314729140,30912,906755279983.00
20150224,9911.20,9926.00,9893.40,9893.40,9893.40,278521094,31899,619919471382.00
20150225,9894.90,9895.00,9815.10,9815.10,9815.10,271188153,28391,590830040870.00
20150228,9818.10,9823.10,9794.40,9794.40,9794.40,257849083,23864,491439090863.00
20150301,9794.10,9811.50,9788.20,9811.40,9811.40,475683577,37612,1030119242678.00
20150302,9815.80,9839.50,9815.80,9825.70,9825.70,717632564,39724,973530694698.00
20150303,9825.40,9829.10,9805.60,9806.20,9806.20,563828250,34328,1227087205034.00
20150304,9813.60,9828.90,9813.60,9828.90,9828.90,536513887,42539,1113129803994.00
20150308,9818.70,9821.80,9799.50,9799.70,9799.70,318401856,32728,646567578708.00
20150309,9806.10,9810.80,9791.70,9791.70,9791.70,258376699,23737,476597501246.00
20150310,9795.10,9795.10,9729.40,9729.50,9729.50,293088969,31189,571366404947.00
20150311,9736.50,9745.50,9730.10,9730.10,9730.10,263287177,26888,552787939487.00
20150314,9734.40,9810.90,9734.40,9810.90,9810.90,524973256,42131,997313658617.00
20150315,9840.70,9888.00,9840.70,9878.60,9878.60,555231496,52297,1059154634195.00
20150316,9888.70,9890.20,9855.60,9855.60,9855.60,773753824,54825,1086765739438.00
20150317,9851.50,9851.50,9743.70,9743.80,9743.80,375675666,39695,755154751676.00
20150318,9755.30,9862.00,9755.30,9861.50,9861.50,766170725,74720,1356948913078.00
20150325,9868.60,9884.40,9868.60,9884.40,9884.40,284988282,25255,421250307609.00
20150328,9889.50,9980.20,9888.70,9980.20,9980.20,572398187,52510,951657435717.00
20150329,10004.50,10147.60,10004.50,10146.80,10146.80,943264725,66201,1801784911227.00
20150330,10148.30,10152.20,10078.60,10078.60,10078.60,726293674,60749,1237667899950.00
20150331,10072.90,10094.50,10066.40,10081.20,10081.20,615520282,53750,1125091120807.00
20150404,10106.70,10297.00,10106.70,10297.00,10297.00,377740854,23107,1174146137516.00
20150405,10343.80,10559.70,10343.80,10559.70,10559.70,1241892162,63885,3132355543040.00
20150406,10637.30,10637.30,10527.10,10527.30,10527.30,3468340525,177280,6852026520695.00
20150407,10520.30,10520.30,10434.60,10434.60,10434.60,1348343687,136029,2317462942109.00
20150408,10432.00,10458.50,10420.10,10452.60,10452.60,1764432603,146160,3140946917223.00
20150411,10451.00,10451.30,10371.00,10371.00,10371.00,1420866829,131465,2553675209623.00
20150412,10366.50,10366.50,10238.00,10238.00,10238.00,1113319692,106789,1978811466016.00
20150413,10242.80,10250.10,10184.30,10186.20,10186.20,1039215767,91467,1855528684067.00
20150414,10194.50,10228.80,10194.50,10227.40,10227.40,534507404,72849,1249161360105.00
20150415,10237.70,10254.40,10227.70,10227.70,10227.70,798656141,72899,1555290676407.00
20150418,10239.10,10240.40,10205.70,10205.70,10205.70,729338763,70728,1339332332015.00
20150419,10212.30,10237.50,10212.30,10218.40,10218.40,534235296,57504,1124747011929.00
20150420,10222.30,10223.20,10169.20,10169.20,10169.20,399452045,43228,776601863141.00
20150421,10173.70,10183.00,10154.40,10154.40,10154.40,424099393,39724,817878865016.00
20150422,10159.40,10183.20,10159.40,10159.90,10159.90,533240929,61014,1426098966745.00
20150425,10161.50,10166.90,10156.50,10156.70,10156.70,338846311,48326,754359998303.00
20150426,10165.00,10167.10,10154.30,10154.30,10154.30,364260531,43622,757790187913.00
20150427,10157.60,10157.60,10095.90,10095.90,10095.90,368732329,43804,718445264803.00
20150428,10096.70,10104.60,10079.70,10094.20,10094.20,393305200,57371,848663327943.00
20150429,10097.60,10107.20,10083.70,10084.20,10084.20,261281551,34792,561211739788.00
20150503,10087.30,10087.30,10030.10,10030.10,10030.10,324489172,36032,561793252095.00
