date,open,high,low,last,close,vol,count,value
20081206,9248.80,9248.80,9167.80,9178.30,9178.30,8539624,1095,18557689733.00
20081207,9178.30,9178.30,9130.30,9130.50,9130.50,11752353,1666,20519114974.00
20081208,9102.70,9103.40,9079.60,9089.20,9089.20,15299115,1873,60071242548.00
20081210,9071.60,9071.60,9023.70,9023.70,9023.70,15689653,1737,32587689271.00
20081213,8973.30,8973.00,8973.00,8973.30,8973.30,31428174,3108,65622897471.00
20081214,8963.90,8964.50,8907.00,8907.00,8907.00,33424537,2969,63777428978.00
20081215,8901.80,8903.60,8890.70,8890.70,8890.70,15030721,2007,29914269170.00
20081216,8890.80,8890.80,8866.30,8869.00,8869.00,15206608,2053,31287510838.00
20081220,8861.50,8861.90,8854.20,8857.10,8857.10,9680384,1645,24501932703.00
20081221,8857.30,8860.80,8851.60,8851.60,8851.60,23942447,1822,52191445889.00
20081222,8840.10,8840.60,8832.20,8832.20,8832.20,18510368,2600,34656526959.00
20081223,8829.00,8829.50,8803.40,8803.40,8803.40,16750639,2689,23422852530.00
20081224,8796.40,8802.30,8792.50,8795.70,8795.70,15493315,2737,33510695907.00
20081227,8784.90,8795.60,8784.90,8786.70,8786.70,36809581,3449,68956694504.00
20081228,8769.70,8769.70,8757.80,8757.80,8757.80,22322193,3375,52014635966.00
20081229,8750.10,8751.90,8726.20,8726.90,8726.90,37152907,4593,83043189112.00
20081230,8717.20,8717.20,8689.80,8695.00,8695.00,29866547,2908,57777589514.00
20081231,8694.20,8694.20,8654.20,8656.30,8656.30,15827037,2687,40634873923.00
20090103,8655.70,8656.50,8636.80,8641.80,8641.80,15850479,3083,46875998160.00
20090104,8627.20,8629.40,8618.70,8619.60,8619.60,9364342,2126,21524891466.00
20090105,8612.30,8615.50,8596.40,8596.40,8596.40,34895535,3492,81424423487.00
20090110,8592.70,8592.90,8575.70,8575.70,8575.70,17954374,5209,49703739074.00
20090111,8573.60,8573.60,8541.70,8542.00,8542.00,17591612,3883,40250899907.00
20090112,8535.80,8535.80,8518.40,8519.00,8519.00,38577406,8364,97278419610.00
20090113,8518.70,8521.00,8461.30,8463.70,8463.70,21786228,3991,58669143995.00
20090114,8470.90,8471.10,8452.90,8456.90,8456.90,27901910,5387,67710777068.00
20090117,8454.60,8458.20,8449.60,8458.10,8458.10,41437444,3668,97760139624.00
20090118,8449.00,8461.80,8449.00,8459.90,8459.90,41438920,3081,95334641443.00
20090119,8450.60,8471.00,8450.60,8467.40,8467.40,50872473,7192,112117384140.00
20090120,8468.60,8521.00,8468.60,8496.90,8496.90,18145974,8364,49312961779.00
