date,open,high,low,last,close,vol,count,value
20210501,3840.30,3840.30,3768.60,3768.60,3768.60,7184757,989,47270369160.00
20210502,3765.10,3765.10,3763.00,3763.00,3763.00,239098,74,1527836220.00
20210503,3757.70,3757.70,3750.70,3750.70,3750.70,684089,66,4364487820.00
20210505,3746.20,3746.20,3739.60,3739.60,3739.60,665363,87,4231708680.00
20210508,3732.90,3732.90,3731.00,3731.00,3731.00,480246,60,3044759640.00
20210509,3732.00,3732.00,3731.30,3731.30,3731.30,57269,27,362512770.00
20210510,3731.00,3731.00,3626.00,3626.00,3626.00,9240842,1242,58537335000.00
20210511,3617.50,3644.10,3612.40,3626.20,3626.20,15098848,2179,95651845490.00
20210512,3626.30,3626.30,3584.40,3584.40,3584.40,5356636,821,33363363690.00
20210515,3563.90,3563.90,3463.20,3463.40,3463.40,17873050,2251,108141158260.00
20210516,3459.20,3463.00,3439.20,3440.90,3440.90,14139349,1675,84996010140.00
20210517,3436.80,3436.80,3356.30,3356.30,3356.30,12873166,1189,75482657980.00
20210518,3342.20,3344.50,3324.10,3335.40,3335.40,7173676,1051,41801138450.00
20210519,3333.40,3333.40,3237.10,3305.80,3305.80,13518512,2162,78072731290.00
20210522,3302.70,3302.70,3163.00,3163.00,3163.00,4988404,681,27564814790.00
20210523,3152.50,3152.50,3027.40,3027.40,3027.40,3704378,551,19592307290.00
20210524,2998.80,2998.80,2899.70,2900.40,2900.40,12544716,1502,63563390390.00
20210525,2905.70,2940.30,2905.70,2940.30,2940.30,9658449,1376,49612842220.00
20210526,2956.10,3063.10,2956.10,3063.10,3063.10,14992373,1364,80229058360.00
20210529,3173.90,3206.80,3173.90,3206.80,3206.80,6285191,418,35211631380.00
20210530,3358.90,3365.00,3352.60,3353.60,3353.60,37354911,2426,218852772660.00
20210531,3332.90,3379.70,3327.00,3352.70,3352.70,10883671,1441,63748322530.00
20210601,3353.80,3362.80,3336.00,3338.30,3338.30,10809728,1024,63042974940.00
20210602,3340.50,3496.00,3340.50,3496.00,3496.00,20257566,1387,123724358680.00
20210607,3661.80,3661.80,3640.10,3640.50,3640.50,25057399,2188,159366049760.00
20210608,3624.20,3624.20,3538.30,3538.30,3538.30,19974931,2257,123475088080.00
20210609,3509.10,3509.10,3469.30,3471.20,3471.20,7410230,944,44936894650.00
20210612,3457.90,3457.90,3405.20,3405.80,3405.80,7583440,832,45121091650.00
20210613,3407.40,3481.70,3398.20,3481.70,3481.70,9203846,994,55982846070.00
20210614,3482.80,3491.00,3425.60,3432.40,3432.40,12056742,1458,72297756470.00
20210615,3431.20,3431.20,3369.80,3369.80,3369.80,7278092,1091,42846861050.00
20210616,3367.60,3367.60,3313.80,3313.80,3313.80,4994800,798,28916172860.00
20210619,3336.50,3440.40,3336.50,3440.40,3440.40,13278399,1175,79809106650.00
20210620,3447.40,3447.70,3420.90,3422.70,3422.70,6444962,909,38537325600.00
20210621,3424.70,3464.30,3424.70,3464.30,3464.30,6778658,851,41025327190.00
20210622,3619.60,3619.60,3576.40,3576.40,3576.40,12867245,1389,80394175370.00
20210623,3575.00,3709.50,3566.10,3709.50,3709.50,25785601,2018,167104818010.00
20210626,3717.60,3871.80,3717.60,3861.60,3861.60,20153623,1928,135959780480.00
20210627,3842.20,3861.30,3815.40,3815.40,3815.40,9937351,1286,66236949640.00
20210628,3805.70,3805.70,3695.10,3696.50,3696.50,9620071,1277,62125334430.00
20210629,3701.60,3706.60,3674.40,3674.40,3674.40,6893556,1042,44250833060.00
20210630,3671.90,3838.20,3671.90,3838.20,3838.20,33173282,2201,222440343570.00
20210703,3850.30,3850.30,3708.70,3708.70,3708.70,22244363,2207,144125488680.00
20210704,3696.50,3714.80,3686.20,3713.70,3713.70,4817049,922,31252078780.00
20210705,3719.50,3769.60,3719.50,3769.60,3769.60,8166285,1214,53779624750.00
20210706,3776.90,3883.70,3776.90,3883.70,3883.70,13088395,1695,88802320640.00
20210707,3884.40,4010.20,3884.40,3990.40,3990.40,20620755,2651,143753054960.00
20210710,3956.10,3956.10,3854.90,3867.40,3867.40,9373183,1634,63329257650.00
20210711,3876.10,3932.50,3876.10,3929.50,3929.50,9367888,1355,64308928110.00
20210712,3929.90,3963.90,3929.90,3931.20,3931.20,12567348,1735,86309957150.00
20210713,3928.10,3928.10,3845.80,3845.80,3845.80,8376227,1344,56276875780.00
20210714,3838.50,3863.60,3827.50,3863.60,3863.60,7373099,1338,49766536770.00
20210717,3883.30,3953.90,3883.30,3936.80,3936.80,11531136,1604,79306435030.00
20210718,3929.30,3929.30,3878.80,3878.80,3878.80,6738430,1261,45661615810.00
20210719,3882.50,3943.20,3882.50,3926.10,3926.10,9139999,1660,62690896890.00
20210726,3733.20,3733.20,3732.90,3732.90,3732.90,14273080,964,93079963800.00
20210727,3548.90,3557.20,3548.90,3556.70,3556.70,47340240,3001,294153963170.00
20210728,3379.50,3399.80,3379.50,3397.00,3397.00,39999289,3646,237381848000.00
20210731,3423.20,3488.90,3423.20,3488.90,3488.90,17345867,2183,105726539240.00
20210801,3493.90,3493.90,3423.90,3423.90,3423.90,15862679,2221,94884431660.00
