date,open,high,low,last,close,vol,count,value
20210501,2446280.00,2446280.00,2422360.00,2422360.00,2422360.00,450120305,77935,4771905071130.00
20210502,2418830.00,2418830.00,2399940.00,2399940.00,2399940.00,381888886,60939,3274617158833.00
20210503,2395050.00,2395050.00,2376570.00,2376570.00,2376570.00,432267919,74184,2851843029844.00
20210505,2374980.00,2379830.00,2374980.00,2378840.00,2378840.00,466910396,102584,5350518946587.00
20210508,2378280.00,2378380.00,2363930.00,2363930.00,2363930.00,491423603,85320,4497807808715.00
20210509,2361870.00,2361870.00,2338870.00,2338880.00,2338880.00,358756953,69856,3695108727970.00
20210510,2336160.00,2346210.00,2332840.00,2346210.00,2346210.00,624493743,113165,6791541014166.00
20210511,2349070.00,2379690.00,2349070.00,2378260.00,2378260.00,681464351,138693,8191981813882.00
20210512,2385750.00,2395390.00,2385420.00,2385470.00,2385470.00,870863067,146881,8864128690209.00
20210515,2383810.00,2395180.00,2382390.00,2390460.00,2390460.00,749721299,128958,7697611277522.00
20210516,2389170.00,2392130.00,2387860.00,2387860.00,2387860.00,693302038,132963,7336726765111.00
20210517,2386980.00,2387410.00,2373280.00,2373280.00,2373280.00,753118785,115588,6099599889270.00
20210518,2371390.00,2377800.00,2370430.00,2371420.00,2371420.00,873204090,121688,7432259132447.00
20210519,2370960.00,2371010.00,2340150.00,2340150.00,2340150.00,800884327,122931,6485609472806.00
20210522,2336960.00,2336960.00,2293220.00,2294930.00,2294930.00,583617929,87720,5492114298987.00
20210523,2289950.00,2289950.00,2256290.00,2256340.00,2256340.00,607249204,87455,4977318843609.00
20210524,2253200.00,2253750.00,2245110.00,2245110.00,2245110.00,692614833,118337,5801914727598.00
20210525,2248870.00,2267520.00,2248870.00,2263960.00,2263960.00,863838581,171786,7177756085371.00
20210526,2267610.00,2271140.00,2267490.00,2267490.00,2267490.00,762599858,201087,6411758851282.00
20210529,2270880.00,2311820.00,2270880.00,2311820.00,2311820.00,1865301674,228525,12610250028696.00
20210530,2325610.00,2344700.00,2325610.00,2335910.00,2335910.00,1769083996,271429,14350096019012.00
20210531,2335900.00,2335900.00,2320320.00,2320320.00,2320320.00,1065501812,186128,8769263383794.00
20210601,2326100.00,2326410.00,2314640.00,2314660.00,2314660.00,1398298273,177656,7238936471633.00
20210602,2320910.00,2328450.00,2320600.00,2328260.00,2328260.00,1460957237,262657,10079175315756.00
20210607,2332220.00,2340220.00,2332220.00,2339290.00,2339290.00,1488430388,789130,13733195524930.00
20210608,2343700.00,2352090.00,2339620.00,2339620.00,2339620.00,1765722604,531881,13570764813024.00
20210609,2341470.00,2341470.00,2324170.00,2324170.00,2324170.00,1337684859,312428,10808829093708.00
20210612,2324070.00,2326540.00,2312010.00,2312010.00,2312010.00,1813798363,232867,9036724368843.00
20210613,2311420.00,2311420.00,2297230.00,2297230.00,2297230.00,1887560423,198973,7431482315163.00
20210614,2298160.00,2306830.00,2298160.00,2306830.00,2306830.00,2333444843,257293,10917945682613.00
20210615,2312760.00,2315740.00,2300640.00,2300640.00,2300640.00,1815505689,244036,9934572551707.00
20210616,2300490.00,2300760.00,2292110.00,2292120.00,2292120.00,1526264708,268007,9144700919713.00
20210619,2303870.00,2320480.00,2303870.00,2320480.00,2320480.00,1673465535,214196,10413874583231.00
20210620,2340110.00,2342960.00,2335280.00,2335720.00,2335720.00,2118758506,277961,16529555784092.00
20210621,2334950.00,2344390.00,2334950.00,2344380.00,2344380.00,2135412470,284973,13483275160552.00
20210622,2354490.00,2373200.00,2354490.00,2373200.00,2373200.00,2250217268,322249,14863427511351.00
20210623,2373370.00,2408900.00,2373370.00,2408900.00,2408900.00,2513935276,352668,18994073941167.00
20210626,2424470.00,2449860.00,2424470.00,2446300.00,2446300.00,2942276224,397050,23952192356495.00
20210627,2451920.00,2472600.00,2451060.00,2468310.00,2468310.00,3298955643,509316,31624431373660.00
20210628,2479310.00,2479310.00,2473480.00,2476020.00,2476020.00,3375046567,806385,28511757856083.00
20210629,2472410.00,2478880.00,2470660.00,2472470.00,2472470.00,2880954749,759196,26431760038321.00
20210630,2473300.00,2495030.00,2471150.00,2495030.00,2495030.00,2543367301,549851,26005613558380.00
20210703,2500440.00,2505900.00,2485730.00,2485750.00,2485750.00,2799951025,654977,25503188057513.00
20210704,2479770.00,2482790.00,2471100.00,2480390.00,2480390.00,2465131031,614455,19062490388062.00
20210705,2485890.00,2494250.00,2485890.00,2494250.00,2494250.00,2839184709,421625,21258664645837.00
20210706,2513400.00,2540910.00,2513400.00,2540030.00,2540030.00,3055169459,477955,26432609596500.00
20210707,2551610.00,2551610.00,2543950.00,2543950.00,2543950.00,2452670518,389866,22527218390000.00
20210710,2544290.00,2544290.00,2519950.00,2520610.00,2520610.00,2749191966,541940,20963782258608.00
20210711,2514460.00,2535190.00,2514460.00,2535180.00,2535180.00,2989501247,555214,22674770290066.00
20210712,2543670.00,2564180.00,2543670.00,2554100.00,2554100.00,3009996773,568562,23653428717625.00
20210713,2552470.00,2557800.00,2548460.00,2548460.00,2548460.00,3157450618,536564,26592833704208.00
20210714,2549740.00,2559590.00,2549650.00,2559360.00,2559360.00,2775926912,521327,22236477167505.00
20210717,2576790.00,2588130.00,2573740.00,2573740.00,2573740.00,3104417045,483583,24130192046820.00
20210718,2571670.00,2572760.00,2561380.00,2572760.00,2572760.00,2974839517,418013,25619127023242.00
20210719,2580140.00,2590310.00,2580140.00,2587560.00,2587560.00,2600119743,431307,19765292855603.00
20210726,2591610.00,2593800.00,2585680.00,2585680.00,2585680.00,2439852241,448096,21516259339937.00
20210727,2589680.00,2589680.00,2557410.00,2557520.00,2557520.00,2517670121,419068,20989865357755.00
20210728,2558780.00,2560200.00,2551970.00,2551980.00,2551980.00,2590559275,452988,19282065610661.00
20210731,2556730.00,2612980.00,2556730.00,2612920.00,2612920.00,2997058088,436371,23682988932627.00
20210801,2628890.00,2638760.00,2628890.00,2635300.00,2635300.00,2688723126,465054,22179490704979.00
