date,open,high,low,last,close,vol,count,value
20210501,2620210.00,2620210.00,2595940.00,2595940.00,2595940.00,2478902371,100688,8501137354560.00
20210502,2590200.00,2590200.00,2564740.00,2564740.00,2564740.00,711837212,39340,3690767120883.00
20210503,2560000.00,2560000.00,2539020.00,2539020.00,2539020.00,802320476,48457,4461283005281.00
20210505,2536730.00,2537110.00,2532370.00,2532370.00,2532370.00,2291485987,114483,9294333464261.00
20210508,2531720.00,2531720.00,2514790.00,2514790.00,2514790.00,1108800865,85422,6745890952203.00
20210509,2508180.00,2508180.00,2485410.00,2485430.00,2485430.00,1301705287,61420,8376365731812.00
20210510,2480860.00,2480860.00,2473120.00,2474950.00,2474950.00,2921194109,137580,12322988817092.00
20210511,2478340.00,2505340.00,2478340.00,2504090.00,2504090.00,2942587983,165638,14117142220495.00
20210512,2513430.00,2517220.00,2513230.00,2513230.00,2513230.00,1932209382,137407,11166579624022.00
20210515,2512030.00,2535770.00,2512030.00,2534810.00,2534810.00,1468138242,113786,10035570766759.00
20210516,2535600.00,2537940.00,2522780.00,2522800.00,2522800.00,2669324599,126060,11081657909666.00
20210517,2520970.00,2520970.00,2507020.00,2507030.00,2507030.00,2508477706,113129,9662242077101.00
20210518,2503600.00,2507630.00,2503120.00,2504310.00,2504310.00,2423648578,116960,10377304783495.00
20210519,2502420.00,2502420.00,2482490.00,2482490.00,2482490.00,1469963433,80865,6847394216414.00
20210522,2472420.00,2472420.00,2422340.00,2424630.00,2424630.00,2220429736,66876,8194675061072.00
20210523,2417600.00,2417600.00,2374950.00,2375100.00,2375100.00,1615079738,76190,6368565161621.00
20210524,2371250.00,2371250.00,2349680.00,2349680.00,2349680.00,1113181295,76059,5194814240318.00
20210525,2350890.00,2366720.00,2350890.00,2366720.00,2366720.00,1093157186,88755,6893607156277.00
20210526,2368260.00,2377260.00,2368260.00,2377070.00,2377070.00,1391399110,114626,5844937276675.00
20210529,2388890.00,2446410.00,2388890.00,2446410.00,2446410.00,2200017122,99852,10746776082943.00
20210530,2468510.00,2485790.00,2468510.00,2480570.00,2480570.00,3019200808,173059,15173843861916.00
20210531,2476270.00,2476670.00,2464500.00,2464500.00,2464500.00,1818781150,103807,8242326592353.00
20210601,2465970.00,2467910.00,2462110.00,2462610.00,2462610.00,1464156733,83592,6202131896090.00
20210602,2461640.00,2478850.00,2461640.00,2478850.00,2478850.00,1846495288,110588,8712263342639.00
20210607,2486350.00,2515590.00,2486350.00,2515570.00,2515570.00,1821454641,99325,7793547747566.00
20210608,2519000.00,2527830.00,2519000.00,2519720.00,2519720.00,3601613509,135470,12171273020388.00
20210609,2518030.00,2518030.00,2508720.00,2508780.00,2508780.00,2558954650,107078,7901991019396.00
20210612,2508450.00,2508710.00,2502830.00,2502830.00,2502830.00,1556939767,83476,6372273907682.00
20210613,2502960.00,2505710.00,2501650.00,2505690.00,2505690.00,1590563589,80019,5894072728184.00
20210614,2508280.00,2519180.00,2508280.00,2519170.00,2519170.00,2036548752,88747,8043987411299.00
20210615,2520830.00,2522350.00,2519190.00,2519190.00,2519190.00,2848795322,117671,9325107377861.00
20210616,2518830.00,2536970.00,2518830.00,2536910.00,2536910.00,1721167692,91285,7270185964128.00
20210619,2546240.00,2601630.00,2546240.00,2601630.00,2601630.00,2068994679,110275,10615304811609.00
20210620,2605850.00,2605960.00,2596540.00,2602080.00,2602080.00,2055373282,112378,8812352619578.00
20210621,2597670.00,2600150.00,2592240.00,2600150.00,2600150.00,2621667640,112368,10427724831881.00
20210622,2608520.00,2619840.00,2608520.00,2619840.00,2619840.00,3099849705,125788,12712000266744.00
20210623,2627310.00,2674730.00,2627310.00,2674730.00,2674730.00,4339345313,190005,20673200466056.00
20210626,2682780.00,2728770.00,2682780.00,2727370.00,2727370.00,3042968417,186699,16051253599884.00
20210627,2728990.00,2775120.00,2728990.00,2775120.00,2775120.00,3768580021,177691,16559204633019.00
20210628,2777970.00,2822970.00,2777970.00,2822970.00,2822970.00,2683719771,150886,13365228631510.00
20210629,2836950.00,2860140.00,2836950.00,2860140.00,2860140.00,2402108457,135920,12179778639815.00
20210630,2858390.00,2892180.00,2858390.00,2892180.00,2892180.00,2123406725,128680,11568709811570.00
20210703,2905210.00,2943810.00,2905210.00,2927500.00,2927500.00,2035416350,135764,12093083831403.00
20210704,2925420.00,2939220.00,2921220.00,2935700.00,2935700.00,1766503686,116776,9668546933654.00
20210705,2938930.00,2967940.00,2938930.00,2967940.00,2967940.00,1897313391,114671,11200210774734.00
20210706,2977680.00,3014280.00,2977680.00,3014280.00,3014280.00,2285754086,156815,15695241249595.00
20210707,3018430.00,3023140.00,3018430.00,3018780.00,3018780.00,1904375133,148389,12475767044295.00
20210710,3018690.00,3025100.00,3016940.00,3025060.00,3025060.00,1530603942,122861,10171783407510.00
