date,open,high,low,last,close,vol,count,value
20110727,307.31,307,307,307.31,307.31,2000000,138,16400000000.00
20110730,322.68,323,323,322.68,322.68,5051,15,43489110.00
20110731,338.79,339,337,338.79,338.75,1110639,1612,10038932080.00
20110801,348.16,356,346,355.66,352.73,604384,670,5688604527.00
20110802,370.35,370,370,370.35,370.35,97911,135,967556502.00
20110803,388.86,389,389,388.86,388.86,699649,334,7259526024.00
20110806,408.27,408,408,408.27,408.27,22900,18,249472600.00
20110807,428.66,429,429,428.66,428.66,8079,6,92407602.00
20110808,450.06,450,450,450.06,450.06,5500,10,66049500.00
20110809,472.55,473,450,472.55,469.81,774050,478,9703311519.00
20110810,493.27,493,493,493.27,493.27,143023,109,1882468726.00
20110813,517.93,518,495,517.93,517.67,174963,194,2416732666.00
20110814,543.53,544,540,543.53,543.49,223275,264,3237900825.00
20110815,570.66,571,571,570.66,570.66,147073,163,2239480571.00
20110816,599.18,599,599,599.18,599.18,150112,148,2399990656.00
20110817,599.59,625,569,599.63,594.84,833822,1155,13234186776.00
20110820,572.12,572,565,565.12,565.49,163736,247,2470600624.00
20110821,537.23,537,537,537.23,537.23,215,3,3082025.00
20110823,530.30,562,528,543.72,543.57,187489,238,2719377121.00
20110824,570.74,571,571,570.74,570.74,290200,275,4419455800.00
20110827,597.38,597,558,576.77,581.08,108828,158,1687409962.00
20110828,559.19,585,553,562.04,558.89,36182,54,539565479.00
20110829,576.40,576,537,561.74,563.50,25522,46,383740673.00
20110830,576.40,577,542,543.23,566.95,108373,108,1639473722.00
20110903,580.89,581,540,562.12,556.50,14093,32,209263655.00
20110904,562.08,562,543,542.67,548.21,25384,23,371323730.00
20110905,543.42,558,525,524.68,543.64,32244,59,467721036.00
20110906,558.41,558,547,557.28,550.24,51794,77,760424312.00
20110907,557.28,562,551,558.41,555.82,31845,50,472288820.00
20110910,561.41,565,540,562.16,558.89,91002,91,1357093305.00
20110911,562.16,569,551,569.28,560.17,41628,42,622207890.00
20110912,561.03,562,543,560.39,561.41,12400,10,185754300.00
20110913,565.90,566,547,560.24,559.01,27826,38,415057268.00
20110914,563.84,564,534,557.96,555.48,2970,14,44020961.00
20110917,565.72,566,531,561.29,562.34,679,4,10188104.00
20110918,540.91,556,537,553.42,551.32,2818,7,41456869.00
20110919,557.28,557,532,555.48,554.51,3457,11,51150463.00
20110920,554.66,555,530,550.54,546.68,13780,21,201012962.00
20110921,562.12,562,523,562.16,561.33,66246,77,992264761.00
20110925,562.16,562,533,562.01,553.20,5817,14,85864097.00
20110926,561.89,562,542,561.56,557.77,1095,6,16296775.00
20110927,561.97,581,555,580.82,566.43,26125,35,394866075.00
20110928,566.47,583,566,580.86,576.02,16500,18,253610200.00
20111001,580.89,581,577,577.11,577.71,1232,2,18991768.00
20111002,577.71,578,573,577.71,577.67,18894,33,291239560.00
20111003,582.54,606,583,606.49,593.86,29457,46,466788789.00
20111004,597.38,624,597,623.54,614.92,30286,52,496918186.00
20111005,600.01,645,600,632.65,632.65,7585,20,128042443.00
20111008,632.61,645,630,637.00,632.35,19231,41,324483027.00
20111009,640.63,641,611,629.61,623.24,12346,28,205314350.00
20111010,636.85,637,611,625.68,620.32,2778,14,45982556.00
20111011,625.87,626,625,624.74,625.08,627,4,10457840.00
20111012,622.04,622,596,599.63,604.84,3390,11,54710120.00
20111015,620.21,620,575,574.64,584.68,35160,79,548538996.00
20111016,603.38,607,555,555.45,558.60,52928,85,788908719.00
20111017,579.77,580,543,554.66,561.37,10123,30,151628796.00
20111018,573.36,583,562,580.71,574.11,24802,44,379936082.00
20111019,588.28,588,575,588.28,580.52,14960,27,231733720.00
20111022,589.36,600,588,588.39,595.81,9162,31,145653621.00
20111023,610.50,611,607,606.75,609.56,400,2,6506000.00
20111024,580.89,581,579,579.10,580.44,2640,3,40889280.00
20111025,590.26,592,590,591.99,590.60,3150,5,49642400.00
20111026,561.22,590,561,590.08,590.11,2101,4,33081675.00
20111029,578.65,579,579,578.65,578.65,2000,2,30880000.00
20111030,577.11,592,576,589.89,578.98,3816,13,58953640.00
20111031,592.14,592,573,573.40,589.29,2235,6,35142310.00
