date,open,high,low,last,close,vol,count,value
20190216,4815.63,4816,4816,4815.63,4815.63,63086473,386816,1069315717350.00
20190217,5056.27,5056,5056,5056.27,5056.27,1049074,499,18670369978.00
20190218,5308.85,5309,5309,5308.85,5308.85,9565206,1677,178735439316.00
20190219,5574.20,5574,5574,5574.20,5574.20,7023895,6216,137808819900.00
20190220,5852.91,5853,5853,5852.91,5852.91,6452971,11422,132937655571.00
20190223,6102.64,6103,5560,6008.89,6054.06,25466789,128107,542677871272.00
20190224,6250.38,6357,5751,6356.64,6328.79,25213944,80888,561654898968.00
20190225,6435.05,6645,6357,6619.72,6545.57,11095263,54716,255619855360.00
20190226,6525.96,6790,6392,6722.00,6646.71,16400513,22494,383685644787.00
20190227,6676.26,6815,6606,6648.13,6688.19,4226504,11217,99495832290.00
20190302,6619.72,6634,6421,6477.67,6478.23,12839335,15325,292759704454.00
20190303,6423.12,6534,6408,6478.23,6467.72,2954060,8261,67249712809.00
20190304,6449.54,6549,6409,6467.72,6479.09,3220732,5396,73448855258.00
20190305,6531.36,6531,6408,6415.45,6454.65,2804275,4921,63710688111.00
20190306,6409.48,6501,6394,6419.99,6461.47,1601580,3231,36424896065.00
20190309,6449.26,6677,6449,6591.59,6549.83,2604409,5651,60042212837.00
20190310,6591.59,6705,6550,6619.72,6591.31,2234634,6586,51843687051.00
20190311,6538.75,6672,6515,6548.69,6579.66,2086090,5646,48312224606.00
20190312,6579.38,6647,6563,6591.31,6594.15,1513321,6142,35124538974.00
20190313,6510.91,6648,6511,6646.43,6602.96,2760726,11578,64162068770.00
20190316,6619.72,6875,6603,6804.39,6744.73,3894943,5298,92466392545.00
20190317,6819.73,6960,6820,6875.42,6887.07,2176495,2449,52760638736.00
20190318,6932.52,7071,6918,7017.47,6972.87,2890594,2322,70943053084.00
20190319,6989.06,7231,6989,7216.35,7142.48,1938931,1930,48744684175.00
20190325,7236.23,7500,7134,7499.60,7393.63,1978954,1747,51500959037.00
20190326,7761.84,7763,7559,7750.47,7749.33,4128034,3294,112594215327.00
20190327,7812.97,8066,7671,7934.29,7818.94,1896185,2319,52185494460.00
20190330,8037.42,8063,7912,7974.92,7982.87,1729289,2080,48590192512.00
20190331,8096.51,8097,7814,7892.52,7924.34,2132345,2457,59476000708.00
20190406,7909.57,7912,7643,7736.83,7765.81,1467200,2386,40104565822.00
20190407,7696.21,7779,7671,7756.72,7720.07,2783760,2893,75642175014.00
20190408,7727.74,7895,7720,7850.19,7821.78,1691783,1498,46576722528.00
20190409,7821.50,8211,7728,8162.43,8034.29,2170641,2046,61382592731.00
20190410,8324.37,8367,8157,8210.44,8255.90,1159890,1564,33705026812.00
20190413,8344.26,8344,8134,8165.27,8226.35,1624375,1514,47032996543.00
20190414,8230.61,8324,8012,8156.75,8163.00,1688597,1591,48516313053.00
20190415,8157.03,8523,8097,8267.55,8325.22,1465670,1272,42949042969.00
20190416,8352.78,8506,8040,8236.30,8320.96,2091511,1360,61255523370.00
20190417,8097.37,8367,8069,8210.73,8232.32,1584847,1037,45923252710.00
20190420,8210.73,8644,8200,8643.71,8516.71,1553950,1684,46582091313.00
20190422,8740.02,8740,8381,8516.71,8504.21,794115,1132,23770469906.00
20190423,8324.37,8611,8296,8511.60,8530.92,726314,971,21809137769.00
20190424,8523.24,8929,8523,8859.06,8749.68,982889,1099,30269603238.00
20190427,8928.95,9187,8864,9186.92,9123.28,3573794,1560,114761782850.00
20190428,9520.18,9579,9319,9579.28,9546.03,1799556,1741,60465169378.00
20190429,9815.94,10023,9689,10023.34,9950.32,1528412,2403,53529088542.00
20190430,10051.46,10256,9453,9744.63,9889.24,1582865,2189,55095846719.00
20190501,9915.37,10342,9745,10113.97,10042.94,1306096,1331,46169442937.00
20190504,10113.97,10370,10114,10327.33,10288.69,817348,1270,29599434314.00
