date,open,high,low,last,close,vol,count,value
20180804,9945.00,9945,9945,9945.00,9945.00,4067324,508,40673240000.00
20180805,9945.00,9945,9945,9945.00,9945.00,1069842,119,10698420000.00
20180806,9945.00,9945,9945,9945.00,9945.00,100927,107,1009270000.00
20180807,9945.00,9945,9945,9945.00,9945.00,1002000,111,10020000000.00
20180808,9945.00,9945,9945,9945.00,9945.00,4058445,161,40584450000.00
20181015,10330.86,10337,10331,10335.84,10335.84,3383391,90,35163703363.00
20181016,10342.80,10343,10338,10342.80,10342.80,2524305,69,26252770345.00
20181017,10349.76,10350,10343,10348.76,10345.78,4172217,106,43401541309.00
20181020,10361.69,10362,10358,10361.69,10361.69,133090,16,1386664350.00
20181021,10367.66,10368,10365,10367.66,10367.66,1075137,19,11208084375.00
20181022,10373.63,10374,10371,10373.63,10373.63,1033120,28,10776409920.00
20181023,10380.59,10381,10376,10377.60,10377.60,3724560,80,38865780340.00
20181024,10381.58,10387,10382,10386.55,10384.57,3981310,81,41571196750.00
20181027,10405.45,10405,10399,10403.46,10405.45,250782,15,2623931953.00
20181028,10405.45,10412,10405,10412.41,10410.42,4722,9,49429150.00
20181029,10417.38,10417,10411,10417.38,10417.38,165004,8,1728403220.00
20181031,10422.36,10425,10422,10425.34,10424.35,178340,8,1869307100.00
20181103,10448.21,10448,10445,10448.21,10447.22,80982,14,850742832.00
20181104,10453.19,10453,10450,10453.19,10453.19,133526,10,1403491483.00
20181105,10456.17,10459,10456,10456.17,10459.15,16183,7,170194571.00
20181106,10463.13,10467,10463,10463.13,10465.12,298126,22,3137090938.00
20181110,10491.97,10492,10488,10487.99,10487.99,71824,10,757456704.00
20181111,10494.96,10499,10495,10498.93,10498.93,51759,6,546411519.00
20181112,10601.37,10602,10505,10504.90,10506.89,27800,8,293719555.00
20181113,10512.86,10513,10508,10507.88,10511.86,55910,5,590985315.00
20181114,10518.82,10519,10519,10518.82,10518.82,25000,1,264425000.00
20181117,10533.74,10539,10534,10538.71,10537.72,37290,6,395133180.00
20181118,10539.71,10544,10540,10543.69,10543.69,216731,13,2297713594.00
20181119,10548.66,10550,10546,10545.67,10549.65,756530,33,8025251078.00
20181120,10556.61,10557,10551,10550.65,10551.64,765970,19,8127000490.00
20181121,10557.61,10562,10558,10561.59,10559.60,1023700,15,10869604354.00
20181124,10576.50,10579,10577,10576.50,10579.49,135311,17,1439437308.00
20181126,10589.43,10595,10589,10595.40,10595.40,134631,10,1434353330.00
20181127,10602.36,10602,10597,10602.36,10602.36,891709,25,9506509399.00
20181128,10609.32,10609,10603,10609.32,10607.33,357762,46,3815922756.00
20181201,10625.23,10629,10623,10625.23,10625.23,1098498,32,11736358812.00
20181202,10632.20,10635,10632,10632.20,10632.20,1563589,41,16716387821.00
20181203,10641.15,10641,10641,10641.15,10641.15,75091,5,803473700.00
20181204,10642.14,10648,10642,10645.12,10644.13,795010,15,8509129790.00
20181205,10651.09,10653,10651,10651.09,10653.08,649760,17,6960033660.00
20181208,10668.99,10675,10669,10674.96,10672.97,110828,12,1189352735.00
20181209,10675.95,10681,10676,10675.95,10676.95,1191429,38,12790972865.00
20181210,10687.89,10688,10682,10687.89,10684.90,627159,21,6738328839.00
20181212,10700.82,10703,10701,10702.81,10701.81,5121110,125,55108363110.00
20181215,10722.70,10724,10716,10723.69,10722.70,4920423,64,53051946389.00
20181216,10729.66,10730,10723,10729.66,10727.67,3158082,74,34067450206.00
20181217,10734.63,10736,10730,10734.63,10734.63,1863236,40,20112425734.00
20181218,10735.62,10749,10736,10748.55,10741.59,1504211,45,16246473910.00
20181219,10743.58,10755,10743,10754.52,10749.55,1115187,24,12054086248.00
20181222,10764.46,10768,10764,10768.44,10768.44,89536,17,969493168.00
20181223,10770.43,10780,10770,10780.38,10779.38,121814,11,1320295370.00
20181224,10785.35,10800,10784,10800.27,10788.33,977545,28,10604605670.00
20181225,10793.31,10830,10790,10830.10,10798.28,2068546,57,22460072559.00
20181226,10803.25,10804,10800,10804.24,10804.24,1860300,43,20209998000.00
20181229,10821.15,10826,10821,10826.12,10823.14,178318,18,1940568034.00
20181230,10829.11,10829,10829,10829.11,10829.11,228054,14,2483280006.00
20181231,10832.09,10845,10832,10845.02,10837.06,1163025,39,12673263945.00
20190101,10844.02,10845,10840,10845.02,10844.02,593659,25,6473488113.00
20190102,10849.00,10857,10845,10856.95,10851.98,956938,40,10442118083.00
20190105,10873.86,10880,10874,10879.83,10876.84,2283371,71,24972454652.00
20190106,10881.82,10939,10878,10884.80,10881.82,1052183,43,11512975959.00
20190107,10888.78,10900,10884,10899.72,10893.75,649550,28,7114953660.00
20190108,10894.74,10939,10895,10899.72,10904.69,811581,40,8899140628.00
20190109,10909.66,10939,10906,10905.68,10906.68,618090,39,6778893226.00
20190112,10926.57,10932,10927,10927.56,10927.56,461391,16,5069782927.00
20190113,10934.52,11136,10935,10935.52,10934.52,1415659,83,15565446539.00
20190114,10941.49,10941,10941,10941.49,10941.49,199500,9,2194899000.00
20190115,10948.45,11050,10948,10950.44,10949.44,261400,9,2877904500.00
