date,open,high,low,last,close,vol,count,value
20201209,38557.72,38558,38558,38557.72,38557.72,341995463,4519898,14168872032090.00
20201212,40484.21,40484,40484,40484.21,39553.54,725635,10094,31565122500.00
20201213,41526.56,41527,41527,41526.56,40512.13,680143,9494,30347980660.00
20201215,42533.30,42533,42533,42533.30,42533.30,2666831,16318,127954551380.00
20201216,44651.99,44652,44652,44651.99,44651.99,1782330,17291,89775962100.00
20201219,46877.05,46877,46877,46877.05,46877.05,2245301,17189,118731516880.00
20201220,49217.36,49217,49217,49217.36,49217.36,5705781,29029,316784961120.00
20201221,51672.91,51673,51673,51672.91,51672.91,3762180,30369,219297472200.00
20201222,54252.57,54253,54253,54252.57,54252.57,13068350,70051,799783020000.00
20201223,56965.20,56965,56965,56965.20,56965.20,6526820,53845,419413453200.00
20201226,59810.80,59811,59421,59810.80,59810.80,108133476,579968,7295672842810.00
20201227,60227.44,62054,58330,59961.50,59952.63,46113231,375224,3118787665800.00
20201228,59216.85,59217,56956,56956.33,57284.33,7357217,19405,475410362290.00
20201229,54421.00,54421,54421,54421.00,54421.00,3303882,3252,202825315980.00
20201230,51708.37,54120,51708,51708.37,52009.77,85944794,507703,5042767599160.00
20210102,50618.00,51239,49412,49412.39,49607.41,18778812,63412,1050870879000.00
20210103,48446.12,52081,48313,52080.69,51601.99,58655954,199725,3414317611800.00
20210104,52639.17,53632,49022,49022.34,49899.95,41445964,111866,2332894454340.00
20210105,48579.10,49918,47409,47408.94,47985.15,35518298,87992,1922580434140.00
20210106,47213.92,47737,45592,45591.66,45919.66,24597041,78000,1274053116690.00
20210109,45210.47,46939,43624,43632.54,43960.54,22088792,63608,1095396375110.00
20210110,44944.53,46097,44315,45343.44,45396.63,16697872,49943,855064599650.00
20210111,45378.90,46469,43615,44394.91,45015.45,16144031,44783,819854300820.00
20210112,43712.32,43712,42773,42772.65,42799.25,16699353,34995,806249649990.00
20210113,40955.37,42400,40698,40857.86,41123.80,10739965,35347,498178703430.00
20210116,40334.83,40654,39076,39076.03,39129.22,15533442,34878,685697127250.00
20210118,37941.34,38110,37179,38109.77,37391.72,10618890,35237,447934982550.00
20210119,37586.75,39253,37587,39253.33,39155.82,4479860,15440,197853781030.00
20210120,41106.07,41106,41106,41106.07,41106.07,3044522,11450,141174485140.00
20210123,43144.97,43154,41753,43153.84,43100.65,31528545,32625,1533033715220.00
20210124,43703.46,43703,40947,40946.50,41629.09,15086105,22757,708413471870.00
20210125,39554.73,40982,39555,39563.60,39749.76,15903881,25609,713177055080.00
20210126,38748.03,40556,37817,37888.15,38490.96,9766182,23112,424030910390.00
20210127,38588.47,40415,37516,40414.62,39678.84,9482611,26100,424488647430.00
20210130,41221.31,41656,40867,41655.69,41620.23,10350397,21457,485923004030.00
20210131,42551.03,42932,39918,41159.26,40928.77,11635126,24941,537144675970.00
20210201,40769.21,41886,38916,39217.87,40201.86,6464539,19479,293157699720.00
20210202,39005.11,40335,38207,38934.20,38898.74,5429996,19598,238256354610.00
20210203,38517.55,40512,37232,38154.09,37932.47,6003775,21434,256897286720.00
20210206,38278.20,38278,36745,36797.78,37028.26,8531031,16661,356332489870.00
20210207,38029.99,38872,38030,38872.14,38783.49,3723068,12567,162865891110.00
20210208,39802.95,39803,37560,38233.88,38694.85,6711959,17426,292974815100.00
20210209,38712.58,40158,37755,39519.27,38881.01,7476589,21085,327926708220.00
20210213,40334.83,41212,39439,40911.05,40414.62,7435022,20770,338988030630.00
20210214,41567.04,41567,39608,39607.92,40343.70,6389557,11756,290781158990.00
