date,open,high,low,last,close,vol,count,value
20030716,1037.84,1165,1038,1113.78,1113.78,400000,123,1769338790.00
20030719,1139.09,1139,1139,1139.09,1139.09,8000,5,36000000.00
20030720,1150.23,1153,1150,1152.51,1152.51,9760,5,44381480.00
20030721,1166.93,1173,1167,1173.26,1173.26,14540,9,67199400.00
20030722,1191.99,1192,1159,1159.34,1159.34,28742,39,134649197.00
20030723,1108.71,1109,1104,1103.65,1103.65,5029,4,22007620.00
20030726,1101.37,1101,1098,1098.08,1098.08,6440,7,27948450.00
20030727,1085.93,1086,1070,1069.73,1069.73,21960,16,93289500.00
20030728,1049.73,1050,1043,1042.65,1042.65,2996,2,12410244.00
20030729,990.75,1038,991,1020.12,1020.12,33334,17,134190266.00
20030730,1041.13,1048,1041,1041.38,1041.38,15000,10,61742220.00
20030803,1040.62,1041,1041,1040.62,1040.62,7685,7,31593035.00
20030804,1012.52,1063,1013,1062.90,1062.90,7928,15,32690399.00
20030805,1062.90,1063,1063,1062.90,1062.90,1100,10,4618900.00
20030809,1062.90,1063,1063,1062.90,1062.90,1828,9,7675772.00
20030810,1062.64,1063,1063,1062.64,1062.64,1152,11,4836096.00
20030811,1062.64,1063,1062,1061.63,1061.63,1572,11,6594856.00
20030812,1061.63,1062,1060,1059.86,1059.86,3276,17,13718922.00
20030813,1058.09,1058,1058,1058.09,1058.09,1250,2,5225000.00
20030816,1052.77,1053,1053,1052.77,1052.77,2000,1,8318000.00
20030817,1049.73,1050,1042,1042.39,1042.39,5844,4,24138820.00
20030818,1012.27,1035,1012,1012.52,1012.52,2145,3,8589145.00
20030819,1012.27,1013,962,1012.52,1012.52,6500,7,25595770.00
20030820,962.66,1013,962,1012.52,1012.52,9500,4,36141592.00
20030823,1012.52,1013,1013,1012.52,1012.52,100,1,400000.00
20030824,1012.27,1013,1012,1012.52,1012.52,3927,5,15706650.00
20030825,1012.02,1013,1012,1012.52,1012.52,3385,4,13535500.00
20030831,1012.27,1013,1012,1012.52,1012.52,2093,4,8370000.00
20030902,1012.27,1013,1012,1012.52,1012.52,10000,4,39996976.00
20030903,1012.52,1013,1013,1012.52,1012.52,1995,1,7980000.00
20030906,1012.52,1013,1013,1012.52,1012.52,2000,1,8000000.00
20030907,1012.52,1013,1013,1012.52,1012.52,2000,1,8000000.00
20030908,1012.52,1013,1013,1012.52,1012.52,4960,2,19840000.00
20030909,1009.99,1013,1010,1012.27,1012.27,3604,4,14408396.00
20030913,1012.52,1013,1013,1012.52,1012.52,5945,2,23780000.00
20030914,987.21,1013,987,1012.27,1012.27,4177,3,16489033.00
20030916,1011.76,1013,1012,1012.27,1012.27,13890,6,55554478.00
20030917,1012.52,1013,1012,1012.27,1012.27,1010,3,4039990.00
20030920,1012.27,1012,1012,1012.27,1012.27,5000,1,19995000.00
20030921,1012.27,1012,1012,1012.27,1012.27,5000,1,19995000.00
20030923,1011.26,1011,1011,1011.26,1011.26,10000,1,39950000.00
20030927,1010.50,1010,1010,1010.25,1010.25,48010,7,191607910.00
20030928,1010.50,1010,1009,1009.99,1009.99,57010,11,227493900.00
20030929,1007.46,1007,1007,1007.46,1007.46,45800,7,182284000.00
20030930,1006.70,1007,1005,1005.44,1005.44,63350,14,251662540.00
20031001,1004.42,1005,1004,1004.68,1004.68,58861,14,233443709.00
20031004,1004.42,1004,1002,1002.40,1002.40,64982,17,257347230.00
20031006,1003.16,1003,1002,1002.40,1002.40,1010,2,4002600.00
20031013,1000.88,1001,1001,1000.88,1000.88,10000,1,39540000.00
20031018,986.96,998,987,997.84,997.84,1010,2,3938420.00
20031021,956.58,997,957,996.83,996.83,117,2,443733.00
20031025,947.22,955,947,952.53,952.53,29116,11,109590882.00
20031026,904.94,905,905,904.94,904.94,6693,3,23927475.00
20031027,904.94,950,905,942.41,942.41,6010,3,22378476.00
20031028,989.49,989,989,989.49,989.49,147248,31,575592432.00
20031029,1011.26,1011,993,992.78,992.78,755,2,3015495.00
20031101,992.27,993,992,992.78,992.78,15840,5,62125862.00
