date,open,high,low,last,close,vol,count,value
20190429,1124.46,1124,1124,1124.46,1124.46,1999995105,427528,4399989231000.00
20190430,1180.68,1181,1181,1180.68,1151.03,2162395,776,4995132450.00
20190501,1208.28,1208,1208,1208.28,1208.28,5011239,1550,11846568996.00
20190504,1268.59,1269,1269,1268.59,1268.59,11484445,3243,28504392490.00
20190505,1331.97,1332,1332,1331.97,1331.97,21636727,5670,56385310562.00
20190506,1331.97,1348,1266,1344.24,1332.48,231040139,52790,602288996202.00
20190507,1344.24,1345,1266,1300.28,1297.72,273802211,64790,695046977697.00
20190508,1301.81,1362,1298,1362.12,1344.75,401627194,83540,1056864602081.00
20190511,1359.57,1390,1283,1311.01,1337.08,261449773,52302,683980426765.00
20190512,1308.46,1316,1273,1305.90,1285.46,162748555,32855,409347580591.00
20190513,1311.01,1349,1289,1349.35,1330.44,145711339,23628,379318315139.00
20190514,1367.24,1380,1334,1344.24,1359.57,123974514,22267,329812928814.00
20190515,1344.75,1347,1306,1324.81,1325.32,87431118,15713,226717892007.00
20190518,1324.81,1346,1306,1307.43,1317.15,97395236,17824,250980615685.00
20190519,1313.57,1314,1284,1290.57,1292.61,77327148,15586,195528798938.00
20190520,1283.41,1326,1268,1308.46,1290.06,71446994,16186,180334512989.00
20190521,1303.35,1324,1293,1299.77,1301.81,46984979,21531,119676301670.00
20190522,1299.77,1300,1283,1291.08,1288.52,43487153,9589,109613025046.00
20190525,1277.79,1288,1270,1278.81,1279.83,44601128,10096,111702122182.00
20190526,1280.35,1303,1280,1282.39,1285.46,58668453,21151,147527893766.00
20190528,1300.28,1342,1291,1332.48,1322.77,111187358,17207,287739404690.00
20190529,1328.90,1341,1296,1298.23,1306.92,49700952,8888,127108204949.00
20190601,1289.03,1297,1273,1286.99,1284.95,56758230,8881,142673254437.00
20190602,1286.99,1306,1287,1300.79,1298.23,45106900,8016,114586802933.00
20190603,1302.83,1328,1298,1299.77,1304.88,45218307,8307,115446775369.00
20190608,1293.12,1307,1278,1296.70,1293.12,45012451,7400,113886345283.00
20190609,1293.12,1342,1291,1340.66,1327.37,83088986,13472,215808959316.00
20190610,1341.17,1390,1334,1388.19,1360.08,126060766,17212,335481130190.00
20190611,1389.72,1428,1363,1428.06,1414.26,157148973,14266,434814334261.00
20190612,1436.24,1467,1380,1390.24,1419.37,110979697,12572,308241575619.00
20190615,1370.30,1408,1355,1367.75,1375.41,68434677,10558,184190355217.00
20190616,1365.19,1403,1343,1354.46,1370.81,82726061,13775,221883428466.00
20190617,1340.66,1379,1339,1355.99,1351.39,91538088,24439,242046908689.00
20190618,1348.84,1369,1334,1356.50,1350.88,46942661,7222,124078667505.00
20190619,1344.24,1372,1344,1369.28,1357.52,43659964,5971,115972807982.00
20190622,1342.19,1371,1331,1362.12,1352.41,37538126,5353,99334251366.00
20190623,1344.75,1393,1345,1385.64,1382.06,36855016,10738,99667665054.00
20190624,1405.57,1451,1396,1451.06,1437.77,50978263,6506,143426190492.00
20190625,1470.48,1476,1419,1462.30,1449.01,59849674,6865,169693822848.00
20190626,1481.73,1507,1442,1465.37,1476.61,66417262,6974,191911414683.00
20190630,1472.01,1482,1413,1415.79,1438.79,44862521,7221,126290901794.00
20190701,1426.01,1430,1394,1422.44,1404.55,36333499,4846,99842349738.00
20190702,1415.79,1434,1405,1420.90,1417.32,38342820,4788,106309463929.00
20190703,1407.61,1431,1400,1400.46,1409.15,36486161,5817,100580199037.00
20190706,1407.61,1416,1367,1374.39,1381.04,31441551,4636,84967779046.00
20190707,1374.39,1405,1365,1387.17,1384.61,21783307,3699,59009708439.00
20190708,1390.24,1452,1389,1430.61,1427.55,42352159,5405,118278398185.00
20190709,1415.79,1436,1381,1401.48,1408.64,36986678,6582,101944057604.00
20190710,1385.12,1420,1380,1400.97,1389.72,43069197,7443,117125033069.00
20190713,1390.24,1431,1390,1424.48,1407.61,55151469,13211,151880000086.00
20190714,1437.77,1475,1424,1441.35,1445.95,49153643,6568,139038659214.00
20190715,1446.46,1452,1409,1410.68,1424.48,24098305,3629,67160943682.00
20190716,1406.59,1415,1353,1358.55,1359.57,60326536,6169,160487281832.00
20190717,1355.48,1399,1344,1357.01,1365.70,27822610,4042,74349520226.00
20190720,1354.46,1370,1329,1348.32,1351.39,20080775,4073,53096285818.00
20190721,1349.86,1402,1350,1384.10,1384.61,26426350,3774,71585098442.00
20190722,1387.68,1420,1388,1398.92,1404.55,31174299,4128,85664570866.00
