date,open,high,low,last,close,vol,count,value
20180319,1081.70,1130,1082,1130.31,1118.97,223150421,86930,308256830966.00
20180325,1085.75,1133,1066,1126.26,1097.90,70962053,40287,96176536389.00
20180326,1113.30,1142,1112,1140.85,1127.07,19686450,10274,27388907283.00
20180327,1138.41,1147,1117,1142.47,1131.93,12615424,6198,17626514785.00
20180328,1142.47,1146,1130,1142.47,1139.22,10121861,4689,14233159493.00
20180403,1149.76,1151,1131,1146.52,1144.90,11184549,5688,15806713671.00
20180404,1150.57,1151,1138,1144.90,1145.71,9337185,4476,13206813351.00
20180407,1149.76,1150,1118,1120.59,1133.55,9248505,3951,12942511901.00
20180408,1142.47,1142,1114,1134.36,1131.12,6902149,3299,9632085390.00
20180409,1131.12,1132,1111,1126.26,1127.07,7988987,3607,11111726270.00
20180410,1130.31,1131,1122,1127.88,1126.26,4896818,2071,6807617972.00
20180411,1126.26,1129,1094,1118.16,1123.83,4581867,2169,6357098926.00
20180415,1126.26,1129,1103,1126.26,1124.64,3627840,1823,5034675080.00
20180416,1126.26,1126,1114,1118.16,1123.02,2310323,1188,3201633290.00
20180417,1123.02,1126,1117,1126.26,1122.21,2023439,1055,2803039314.00
20180418,1123.02,1126,1116,1126.26,1123.02,1634801,833,2266204947.00
20180421,1126.26,1142,1123,1127.07,1132.74,2530408,1395,3537421707.00
20180422,1126.26,1130,1108,1119.78,1123.83,1449718,714,2011245451.00
20180423,1130.31,1134,1122,1130.31,1127.88,1975120,1020,2749309632.00
20180424,1133.55,1134,1126,1128.69,1128.69,1225995,553,1708317486.00
20180425,1132.74,1133,1124,1128.69,1128.69,1257831,589,1751851829.00
20180428,1129.50,1130,1118,1126.26,1124.64,1152521,588,1599159043.00
20180429,1125.45,1125,1106,1117.35,1118.97,1331312,515,1838193528.00
20180430,1118.97,1119,1112,1118.16,1117.35,1263644,620,1742968073.00
20180501,1118.16,1119,1110,1118.16,1115.73,893012,423,1229930380.00
20180505,1118.16,1118,1112,1114.11,1116.54,1081550,548,1490542018.00
20180506,1117.35,1118,1094,1118.16,1114.92,1656190,797,2279164109.00
20180507,1118.16,1126,1118,1123.02,1122.21,738196,452,1022341338.00
20180508,1126.26,1143,1126,1142.47,1135.98,1865122,1114,2614757833.00
20180509,1134.36,1147,1125,1146.52,1135.98,2504371,1158,3511817578.00
20180512,1138.41,1151,1138,1150.57,1144.90,1817317,1004,2568653851.00
20180513,1150.57,1202,1151,1201.61,1186.22,4974568,2382,7283302937.00
20180514,1207.29,1245,1192,1245.37,1233.21,6456295,2777,9826214295.00
20180515,1282.64,1283,1233,1239.70,1243.75,3304292,1570,5071821229.00
20180516,1243.75,1305,1244,1305.33,1291.55,5291700,2108,8435557596.00
20180519,1304.52,1352,1296,1345.03,1327.21,4183119,1665,6853032790.00
20180520,1349.08,1373,1330,1345.03,1344.22,2042558,899,3388871083.00
20180521,1349.08,1377,1346,1345.84,1357.18,2569943,1056,4305356844.00
20180522,1357.99,1424,1357,1424.44,1393.65,4748405,1831,8168731716.00
20180523,1450.36,1463,1418,1442.26,1453.61,5618584,1868,10081445615.00
20180526,1458.47,1458,1394,1425.25,1413.09,10456720,3472,18241114650.00
20180527,1441.45,1454,1419,1442.26,1436.59,2378970,917,4217731887.00
20180528,1448.74,1449,1418,1417.95,1422.01,2573604,821,4516690601.00
20180529,1420.38,1442,1420,1425.25,1426.06,1462369,615,2573775992.00
20180530,1420.38,1423,1418,1417.95,1417.95,3157349,1111,5526804482.00
20180602,1420.38,1421,1418,1417.95,1418.76,3045581,1331,5331474934.00
20180603,1418.76,1420,1418,1418.76,1418.76,9326437,1717,16328539156.00
20180609,1422.01,1426,1417,1426.06,1418.76,8945661,724,15660949826.00
20180610,1393.65,1430,1394,1424.44,1420.38,937213,274,1643165100.00
20180611,1417.95,1433,1406,1417.95,1417.95,3256896,462,5699431665.00
20180612,1417.95,1558,1418,1434.97,1473.05,2417600,600,4396313875.00
20180613,1437.40,1499,1423,1426.87,1466.57,2747465,469,4971573390.00
20180617,1430.11,1486,1430,1442.26,1464.14,10465754,1313,18912875622.00
20180618,1473.86,1475,1427,1434.16,1462.52,9315794,689,16816907227.00
20180619,1423.63,1515,1422,1458.47,1459.28,2855050,469,5143238573.00
20180620,1428.49,1472,1428,1436.59,1446.31,1604571,237,2863851124.00
20180623,1450.36,1471,1431,1460.90,1448.74,1358980,323,2430377446.00
20180624,1462.52,1569,1463,1539.49,1530.58,2054995,465,3881073930.00
20180625,1539.49,1674,1539,1539.49,1598.64,4423846,651,8729535702.00
20180626,1539.49,1539,1458,1476.29,1497.36,1254922,209,2319576452.00
20180627,1459.28,1548,1459,1515.19,1524.10,1752462,269,3295588312.00
20180630,1528.15,1564,1467,1498.98,1511.13,636663,125,1187296555.00
20180701,1517.62,1518,1459,1460.09,1473.05,377693,99,686697148.00
20180702,1474.67,1479,1458,1468.19,1466.57,613302,167,1110113795.00
20180703,1466.57,1514,1467,1502.22,1496.55,417662,217,771411734.00
20180704,1460.90,1511,1458,1458.47,1491.69,4131289,615,7607650326.00
20180707,1498.98,1499,1458,1462.52,1459.28,410672,118,739646727.00
