date,open,high,low,last,close,vol,count,value
20040317,930.51,931,931,930.51,930.51,165000,43,247500000.00
20040328,936.71,937,937,936.71,936.71,10000,3,15100000.00
20040405,983.23,983,983,983.23,983.23,69500,16,110157500.00
20040406,1032.24,1032,1032,1032.24,1032.24,476000,98,792064000.00
20040407,1083.73,1084,1084,1083.73,1083.73,10000,9,17470000.00
20040410,1137.70,1138,1138,1137.70,1137.70,50000,7,91700000.00
20040412,1194.15,1194,1194,1194.15,1194.15,620000,115,1193500000.00
20040413,1253.70,1254,1254,1253.70,1253.70,16000,3,32336000.00
20040417,1316.35,1316,1316,1316.35,1316.35,11000,4,23342000.00
20040418,1382.11,1382,1382,1382.11,1382.11,9175,4,20441900.00
20040421,1450.97,1451,1451,1450.97,1450.97,10000,1,23390000.00
20040424,1522.93,1523,1523,1522.93,1522.93,308440,88,757220200.00
20040425,1598.61,1599,1599,1598.61,1598.61,10000,6,25770000.00
20040426,1678.01,1678,1678,1678.01,1678.01,9500,7,25697500.00
20040427,1761.76,1762,1762,1761.76,1761.76,13600,4,38624000.00
20040428,1849.84,1850,1850,1849.84,1849.84,12500,9,37275000.00
20040501,1942.27,1942,1757,1890.79,1890.79,801207,369,2442266952.00
20040502,1796.50,1821,1796,1806.42,1806.42,135636,52,395104976.00
20040503,1884.58,1896,1861,1890.79,1890.79,72524,43,221087011.00
20040504,1985.08,1985,1984,1984.46,1984.46,269282,69,861692400.00
20040505,1923.04,2083,1911,2032.22,2032.22,30451,15,99779234.00
20040508,2133.34,2133,2133,2133.34,2133.34,31145,12,107107655.00
20040509,2239.42,2239,2239,2239.42,2239.42,21500,11,77615000.00
20040510,2351.08,2351,2273,2272.91,2272.91,2672,5,10125620.00
20040511,2386.44,2386,2386,2386.44,2386.44,523519,171,2013977593.00
20040512,2505.54,2506,2506,2505.54,2505.54,159557,33,644450723.00
20040515,2630.23,2630,2630,2630.23,2630.23,29933,11,126915920.00
20040516,2761.74,2762,2762,2761.74,2761.74,9322,7,41501544.00
20040517,2899.45,2899,2899,2899.45,2899.45,111000,51,518814000.00
20040518,3043.99,3044,2854,3021.04,3021.04,775336,278,3776275048.00
20040519,3171.78,3172,2985,3150.07,3150.07,288787,82,1466703481.00
20040522,3307.02,3307,3307,3307.02,3307.02,125485,51,668960535.00
20040523,3472.02,3472,3297,3371.53,3371.53,150930,89,820315314.00
20040524,3380.84,3381,3203,3255.53,3255.53,377658,150,1982071328.00
20040525,3253.67,3254,3093,3102.92,3102.92,208387,83,1042388198.00
20040526,3151.31,3225,2965,3129.60,3129.60,203512,89,1026820064.00
20040529,3191.63,3286,3130,3263.59,3263.59,102667,38,540170299.00
20040530,3426.74,3427,3102,3249.94,3249.94,532321,167,2788845657.00
20040531,3109.75,3406,3095,3146.35,3146.35,299779,80,1520519964.00
20040601,3303.29,3303,3208,3298.33,3298.33,51938,22,276155128.00
20040602,3462.72,3463,3455,3460.86,3460.86,189883,69,1059534853.00
20040605,3633.31,3633,3633,3633.31,3633.31,25309,9,148234813.00
20040606,3814.45,3814,3661,3803.90,3803.90,645079,198,3955706951.00
20040607,3993.73,3994,3824,3959.61,3959.61,234147,149,1494591759.00
20040608,4039.63,4094,3977,4055.14,4055.14,207599,95,1357185530.00
20040609,4076.23,4095,3858,3972.64,3972.64,181697,91,1163588422.00
20040612,3884.55,3885,3774,3780.95,3780.95,149783,65,912957340.00
20040613,3774.13,3774,3660,3699.69,3699.69,378143,135,2255422542.00
20040614,3720.78,3885,3721,3859.11,3859.11,305868,152,1903061349.00
20040719,5583.65,8685,4963,6635.74,6635.74,171330,117,1832735955.00
20040720,6967.00,6967,6661,6660.56,6660.56,690,2,7744450.00
20040724,6993.06,6993,6993,6993.06,6993.06,26606,17,299929438.00
20040725,7342.31,7342,7295,7295.16,7295.16,7674,13,90828704.00
20040726,7659.92,7660,7660,7659.92,7659.92,656554,312,8107128792.00
20040727,8042.67,8043,8043,8042.67,8042.67,15200,8,197068000.00
20040728,8444.64,8445,8445,8444.64,8444.64,26320,26,358294160.00
20040731,8866.47,8866,8866,8866.47,8866.47,125820,87,1798345260.00
20040801,9309.39,9309,9309,9309.39,9309.39,54000,15,810378000.00
20040802,9774.65,9775,9775,9774.65,9774.65,14700,8,231627900.00
20040803,10262.85,10263,10263,10262.85,10262.85,26245,11,434197280.00
20040804,10775.87,10776,10776,10775.87,10775.87,54630,60,948977730.00
20040807,11314.32,11314,11314,11314.32,11314.32,173146,210,3158009894.00
20040808,11314.32,11314,10749,10795.10,10795.10,94124,100,1637987227.00
20040809,10255.41,10255,10255,10255.41,10255.41,92218,47,1524547976.00
20040810,9743.01,10763,9743,10069.93,10069.93,269506,254,4375000102.00
