date,open,high,low,last,close,vol,count,value
20130508,631.72,632,632,631.72,631.72,29616269,10014,62194164900.00
20130511,663.30,663,663,663.30,663.30,15072,29,33233760.00
20130512,696.39,696,696,696.39,696.39,182828,167,423246820.00
20130513,721.96,722,662,674.73,682.55,14449311,9667,32781427976.00
20130514,658.49,672,649,662.40,651.87,4620654,3213,10014218581.00
20130515,664.81,677,641,645.25,652.47,1847820,1229,4007020943.00
20130518,644.05,647,620,632.32,630.81,2215106,1235,4644736169.00
20130519,632.02,661,632,661.20,648.56,1375045,877,2964390624.00
20130520,658.49,658,631,637.73,639.24,1874721,909,3983038893.00
20130521,632.32,638,620,629.31,629.01,1007732,502,2107296664.00
20130522,613.67,632,614,630.21,622.99,835688,392,1730930496.00
20130525,629.91,654,623,653.98,647.96,1812915,1058,3905587424.00
20130526,655.78,668,647,654.88,655.78,2052031,1070,4473644161.00
20130527,651.27,656,638,646.76,646.76,1644215,791,3535414355.00
20130528,649.47,679,636,678.95,671.12,3726672,1380,8312971115.00
20130529,691.88,705,686,704.51,703.31,7550375,3061,17655594622.00
20130601,721.96,735,678,697.60,704.21,3140167,1251,7350863719.00
20130602,691.88,713,671,671.42,684.96,1422344,599,3238827568.00
20130603,663.90,686,662,682.86,671.12,2012010,891,4488228939.00
20130608,682.25,682,653,654.28,661.50,856711,359,1883954474.00
20130609,661.50,661,642,644.35,650.07,640030,311,1383057384.00
20130610,644.05,671,644,653.07,656.38,492563,289,1074601004.00
20130611,647.96,680,648,680.15,669.62,1319474,507,2937486461.00
20130612,676.84,680,659,676.54,675.03,3356173,926,7530652268.00
20130615,685.86,709,686,708.73,708.12,3544593,933,8344663562.00
20130616,737.00,737,681,682.86,707.22,2148947,810,5051837541.00
20130617,683.16,695,674,684.36,682.86,1045710,462,2373495628.00
20130618,682.86,704,678,692.48,692.48,1861432,758,4284251048.00
20130619,691.88,707,680,682.86,690.98,962892,457,2211484056.00
20130622,691.88,725,692,725.27,721.66,2859050,1036,6859991105.00
20130623,755.65,757,740,757.46,756.56,3524543,856,8865455522.00
20130625,794.16,794,759,792.96,789.35,7357514,2893,19305019516.00
20130626,770.09,812,764,767.08,790.55,3701815,1554,9727271223.00
20130629,782.13,806,770,781.82,787.24,2852661,1002,7466563583.00
20130630,782.13,824,764,814.91,800.17,4026873,1725,10709837183.00
20130701,824.24,840,812,840.18,838.98,4823001,1237,13453396054.00
20130702,868.76,869,797,827.25,835.37,3206866,1054,8904417693.00
20130703,811.91,866,812,829.05,845.90,2254260,790,6339390005.00
20130706,888.01,888,881,888.01,888.01,1206124,248,3560323234.00
20130707,932.23,932,844,868.76,895.23,2777444,973,8266590906.00
20130708,860.34,872,851,850.71,853.12,1617087,530,4586741985.00
20130709,818.83,851,816,832.36,832.66,1276531,488,3533050958.00
20130710,813.11,872,813,839.28,855.22,1654604,572,4703724406.00
20130713,881.40,881,816,815.52,843.19,1809156,672,5070270945.00
20130714,836.27,836,801,820.93,808.90,1458942,607,3922646014.00
20130715,815.52,848,816,842.29,839.58,1403853,650,3918640992.00
20130716,848.31,851,822,830.26,833.26,874835,364,2423435332.00
20130717,833.26,872,830,857.33,855.83,1714373,770,4877403236.00
20130720,872.37,899,872,893.43,884.40,1176929,473,3460424891.00
20130721,893.43,893,852,852.52,865.15,662071,316,1903946464.00
20130722,868.76,869,834,837.78,843.79,881567,319,2472639313.00
20130723,827.25,875,827,855.83,861.54,797784,348,2285250133.00
20130724,872.37,872,837,851.31,849.81,1200973,505,3393139172.00
20130727,851.31,863,813,818.22,823.94,1648997,615,4516909514.00
20130728,813.11,865,800,864.85,859.44,4139426,1211,11828201750.00
20130729,877.79,895,851,855.83,875.98,1984643,704,5778387896.00
20130731,856.13,856,832,841.39,840.48,1387191,579,3875582045.00
20130803,845.60,867,831,833.87,846.50,814337,358,2291633520.00
20130804,857.33,857,830,838.08,840.48,786149,294,2196290041.00
20130805,837.78,857,831,832.36,840.48,670428,259,1873115839.00
20130806,854.02,854,832,836.27,838.98,1217722,529,3396802050.00
20130807,836.27,860,836,840.79,847.10,1084579,436,3054535162.00
20130811,842.29,855,832,836.57,845.60,777499,369,2185556135.00
20130812,849.81,850,833,836.27,836.87,618504,275,1720417933.00
20130813,827.25,839,809,817.02,818.52,803419,395,2186334256.00
20130814,817.02,835,808,821.23,820.93,1097395,640,2994278822.00
20130817,827.55,837,800,806.19,812.21,1471238,609,3972555426.00
20130818,812.21,821,785,806.19,800.78,1514182,589,4030223951.00
20130819,826.95,841,820,840.79,839.28,2634043,743,7350075134.00
20130820,881.09,881,881,881.09,881.09,6783530,1409,19868959370.00
20130821,925.01,925,925,925.01,925.01,2263755,488,6961046625.00
20130824,971.04,971,936,971.04,969.23,15047657,3591,48484946546.00
20130825,989.69,1018,939,1017.67,981.57,9405307,4030,30686494210.00
20130826,1013.76,1031,994,1030.60,1025.79,1500996,519,5117945911.00
20130827,1073.62,1074,975,974.65,1008.94,6183661,1688,20738571702.00
20130828,958.71,963,959,958.71,958.71,2619863,550,8349690876.00
20130831,944.87,958,911,910.88,922.91,1541544,474,4730168062.00
20130901,929.53,969,930,962.62,964.12,1767487,587,5665022481.00
20130903,965.62,986,916,915.99,929.83,1206945,380,3730382606.00
20130904,883.80,884,884,883.50,883.50,165337,99,485595069.00
20130907,840.48,872,840,857.33,842.29,1633725,611,4574247083.00
20130908,872.07,884,851,884.40,877.18,705534,258,2057605334.00
20130909,902.45,921,902,919.90,919.90,1177508,503,3601150046.00
20130910,947.58,966,933,965.62,963.82,1761451,847,5643153946.00
20130911,977.66,993,916,938.25,946.37,738757,307,2324184669.00
20130914,932.53,933,904,917.49,911.18,868663,412,2631529235.00
20130915,902.45,954,902,920.80,940.05,825764,326,2580483764.00
20130916,947.27,947,894,914.49,904.86,880653,350,2648862610.00
20130917,917.49,932,885,893.43,904.86,1013641,541,3049045288.00
20130918,912.38,941,897,908.77,915.99,831417,345,2531572538.00
20130921,904.86,962,905,926.82,946.37,1276438,491,4016170838.00
20130922,928.32,941,911,915.99,922.61,491016,198,1506014943.00
20130923,932.53,963,924,947.58,948.18,1299183,484,4094380431.00
20130924,956.60,957,921,935.54,931.93,757368,278,2346467771.00
20130925,935.54,956,924,936.75,933.74,489966,213,1520610469.00
20130928,935.84,942,917,929.53,922.61,1150925,606,3530433635.00
20130929,943.97,944,908,917.19,916.29,425627,176,1296260085.00
