date,open,high,low,last,close,vol,count,value
20171009,1177.56,1178,1178,1177.56,1177.56,80000000,126817,96000000000.00
20171010,1236.43,1236,1236,1236.43,1236.43,55411,149,69817860.00
20171011,1298.26,1298,1298,1298.26,1298.26,184833,324,244534059.00
20171014,1363.02,1363,1363,1363.02,1363.02,188194,348,261401466.00
20171015,1430.73,1431,1431,1430.73,1430.73,1023241,592,1491885378.00
20171016,1501.38,1501,1492,1501.38,1501.38,73337321,50101,112202875674.00
20171017,1472.93,1496,1429,1438.58,1449.38,48383810,55720,71445089456.00
20171018,1441.53,1461,1423,1433.68,1435.64,22480302,19041,32881563327.00
20171021,1433.68,1440,1379,1381.67,1392.46,15300074,8793,21717972383.00
20171022,1374.80,1384,1327,1347.32,1344.38,12190255,6809,16701046618.00
20171023,1344.38,1369,1306,1316.90,1329.66,5916996,4287,8014725177.00
20171024,1309.05,1349,1286,1296.29,1311.01,3954464,2861,5282993448.00
20171025,1286.48,1343,1286,1287.46,1299.24,4211975,2299,5576113025.00
20171028,1285.50,1338,1285,1305.13,1311.99,4124094,2123,5513524848.00
20171029,1305.13,1315,1287,1290.41,1294.33,2619909,1235,3454645150.00
20171030,1289.42,1308,1260,1264.89,1270.78,4287865,1719,5554618927.00
20171031,1267.84,1278,1255,1259.00,1264.89,2347883,1215,3026114008.00
20171101,1257.04,1272,1247,1253.12,1255.08,2094368,929,2679021159.00
20171104,1243.30,1315,1214,1301.20,1283.54,6455561,2841,8446282015.00
20171105,1303.16,1305,1253,1269.80,1271.76,2528998,981,3277268990.00
20171106,1255.08,1288,1253,1259.00,1263.91,1159123,567,1492353590.00
20171107,1269.80,1270,1232,1244.29,1238.40,1953900,724,2465674235.00
20171108,1237.42,1247,1220,1225.64,1225.64,2229015,886,2782998546.00
20171111,1225.64,1240,1208,1212.88,1217.79,2399453,868,2976901488.00
20171112,1216.81,1231,1211,1222.70,1218.77,1605958,632,1994757571.00
20171113,1221.72,1223,1212,1215.83,1214.85,1621371,625,2007381444.00
20171114,1221.72,1227,1211,1213.86,1214.85,1519980,695,1881056247.00
20171115,1216.81,1219,1202,1204.05,1209.94,1981923,750,2443263518.00
20171118,1204.05,1216,1197,1200.13,1202.09,1068745,434,1309201288.00
20171120,1196.20,1206,1189,1199.15,1198.16,885532,435,1081109169.00
20171121,1196.20,1199,1178,1182.46,1183.44,2304569,807,2780099061.00
20171122,1187.37,1216,1183,1198.16,1197.18,1377052,640,1680196705.00
20171125,1199.15,1257,1199,1257.04,1248.21,5473545,1824,6962209520.00
20171126,1275.69,1276,1251,1270.78,1261.95,3793291,1540,4878061610.00
20171128,1260.97,1267,1232,1236.43,1248.21,2312564,917,2941537373.00
20171129,1229.57,1253,1222,1230.55,1230.55,1409424,560,1768102030.00
20171202,1230.55,1263,1228,1251.15,1247.23,765413,366,972874530.00
20171203,1232.51,1264,1218,1218.77,1224.66,803418,345,1002359246.00
20171204,1226.62,1232,1222,1224.66,1224.66,1191614,365,1487394566.00
